,Predicted_Type
138,1
172,6
209,3
177,5
171,4
74,1
186,6
27,5
96,5
153,5
204,3
28,1
90,1
66,2
117,5
115,5
68,2
205,3
208,3
41,5
185,6
7,5
133,5
154,1
71,1
160,5
89,1
18,2
80,1
131,2
207,3
73,1
4,5
55,5
214,3
14,5
158,2
25,5
198,3
100,5
156,1
182,3
67,2
70,2
157,1
144,1
122,1
136,5
72,5
125,2
128,2
106,4
56,5
6,1
146,5
163,2
43,5
210,3
140,1
202,3
124,1
169,3
203,3
150,1
29,5
15,5
95,1
123,1
30,5
139,1
23,5
127,1
40,2
10,5
24,5
197,3
199,3
114,5
2,5
91,5
176,2
16,5
193,3
21,5
152,2
92,1
76,1
44,2
79,1
75,1
170,3
192,3
191,3
94,1
135,5
86,1
93,1
159,5
183,3
99,1
141,1
165,5
211,3
9,5
78,1
81,1
31,5
166,2
45,5
187,5
39,2
162,5
60,5
50,5
88,1
107,4
116,5
181,6
118,1
77,1
184,3
53,5
179,5
83,1
132,4
121,5
111,4
65,2
69,2
188,2
168,3
149,1
213,3
64,2
105,2
22,5
3,1
59,5
85,1
54,5
19,5
173,6
51,2
151,1
101,1
97,5
35,5
119,1
13,1
36,1
112,4
11,1
37,5
5,5
42,5
196,3
49,2
180,5
190,2
1,2
104,4
142,5
134,5
46,5
137,5
201,3
98,5
8,5
195,3
143,1
175,2
108,4
84,1
126,5
174,2
164,1
61,5
63,2
155,1
20,5
206,3
200,3
34,5
38,5
87,1
148,1
110,3
47,5
161,5
113,4
189,2
17,5
12,5
212,3
102,5
33,5
103,5
178,5
57,6
109,2
147,5
120,1
194,3
167,2
48,2
52,5
58,5
145,1
130,2
62,5
32,5
26,5
129,2
82,1
