,Predicted_Species
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,2
52,2
53,1
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,1
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,1
102,2
103,1
104,1
105,1
106,1
107,2
108,1
109,1
110,1
111,1
112,1
113,1
114,2
115,2
116,1
117,1
118,1
119,1
120,2
121,1
122,2
123,1
124,2
125,1
126,1
127,2
128,2
129,1
130,1
131,1
132,1
133,1
134,2
135,1
136,1
137,1
138,1
139,2
140,1
141,1
142,1
143,2
144,1
145,1
146,1
147,2
148,1
149,1
150,2
