,Predicted_Type
1,2
2,2
3,2
4,2
5,3
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,3
21,3
22,3
23,2
24,2
25,3
26,3
27,2
28,2
29,3
30,2
31,2
32,2
33,2
34,2
35,2
36,3
37,3
38,2
39,2
40,3
41,3
42,2
43,2
44,3
45,3
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,1
61,3
62,1
63,3
64,1
65,1
66,3
67,1
68,1
69,3
70,3
71,3
72,1
73,1
74,2
75,3
76,1
77,1
78,1
79,3
80,1
81,1
82,3
83,3
84,1
85,1
86,1
87,1
88,1
89,3
90,3
91,1
92,1
93,1
94,1
95,1
96,3
97,3
98,1
99,3
100,1
101,3
102,1
103,1
104,1
105,3
106,1
107,1
108,1
109,1
110,3
111,1
112,1
113,3
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,3
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,3
132,1
133,1
134,3
135,3
136,3
137,3
138,1
139,1
140,3
141,3
142,3
143,1
144,1
145,3
146,3
147,1
148,3
149,3
150,1
151,1
152,1
153,1
154,3
155,3
156,3
157,1
158,3
159,3
160,3
161,1
162,3
163,1
164,3
165,3
166,1
167,3
168,3
169,3
170,3
171,1
172,1
173,3
174,3
175,3
176,3
177,3
178,1
