,Predicted_censored,CensoredProbability,NonCensoredProbability
1,0,0.70172140749335,0.29827859250665
2,0,0.798021006866289,0.201978993133711
3,1,0.302090944988008,0.697909055011992
4,0,0.757306377570956,0.242693622429044
5,1,0.32495714862157,0.67504285137843
6,1,0.212693152142432,0.787306847857568
7,0,0.889581685937675,0.110418314062325
8,0,0.8524253654038,0.1475746345962
9,1,0.0753545423501872,0.924645457649813
10,0,0.722557146423746,0.277442853576254
11,1,0.25284646947944,0.74715353052056
12,1,0.161939688447268,0.838060311552732
13,0,0.775581820283503,0.224418179716497
14,0,0.776975839669654,0.223024160330346
15,0,0.777822533102586,0.222177466897414
16,0,0.584457896235507,0.415542103764493
17,0,0.587840391327019,0.412159608672981
18,0,0.76587684088593,0.23412315911407
19,0,0.877957905425847,0.122042094574154
20,0,0.546173633928017,0.453826366071983
21,0,0.666098238183078,0.333901761816922
22,0,0.707697278952913,0.292302721047087
23,0,0.736057613984861,0.263942386015139
24,0,0.739986045285056,0.260013954714944
25,1,0.0943519142173346,0.905648085782665
26,0,0.688240684045074,0.311759315954926
27,1,0.382117788947676,0.617882211052324
28,0,0.635699407958845,0.364300592041155
29,0,0.613393377220613,0.386606622779387
30,0,0.748707374089137,0.251292625910863
31,0,0.759960475759819,0.240039524240181
32,0,0.761792450177661,0.238207549822339
33,0,0.963970852991876,0.0360291470081236
34,0,0.680451519641559,0.319548480358441
35,0,0.619734005543451,0.380265994456549
36,0,0.594112285348433,0.405887714651567
37,1,0.250718721051565,0.749281278948435
38,0,0.594067960048557,0.405932039951443
39,1,0.477381794605176,0.522618205394824
40,0,0.57851681928296,0.42148318071704
41,1,0.441977658007885,0.558022341992115
42,1,0.300934847150166,0.699065152849834
43,1,0.278301660289356,0.721698339710644
44,1,0.479635624507858,0.520364375492142
45,1,0.417003664575376,0.582996335424624
46,0,0.932036095319143,0.0679639046808565
47,0,0.824335075359857,0.175664924640143
48,1,0.340795807310716,0.659204192689284
49,0,0.782388092611652,0.217611907388348
50,1,0.370935732512717,0.629064267487283
51,0,0.666598719050712,0.333401280949288
52,0,0.655820194035724,0.344179805964276
53,0,0.619394540108332,0.380605459891668
54,1,0.287429393070802,0.712570606929198
55,1,0.258085947704244,0.741914052295756
56,1,0.283231180538947,0.716768819461053
57,0,0.876655025644195,0.123344974355805
58,0,0.887352116858964,0.112647883141036
59,0,0.810518668916552,0.189481331083448
60,0,0.680248842851962,0.319751157148038
61,1,0.18730858519646,0.81269141480354
62,0,0.639635674025886,0.360364325974114
63,1,0.19669081206027,0.80330918793973
64,0,0.748780785367216,0.251219214632784
65,0,0.711841300973536,0.288158699026464
66,1,0.288491595332075,0.711508404667925
67,1,0.303745158387136,0.696254841612864
68,1,0.251666719478771,0.748333280521229
69,1,0.222034264561629,0.777965735438371
70,1,0.294624866096047,0.705375133903953
71,1,0.456816610091725,0.543183389908275
72,0,0.765297776970492,0.234702223029508
73,1,0.439143487758322,0.560856512241678
74,1,0.142050289105738,0.857949710894262
75,1,0.185095887867721,0.814904112132279
76,1,0.290416798420396,0.709583201579604
77,0,0.690378692972184,0.309621307027816
78,1,0.354501566567275,0.645498433432725
79,1,0.393539024883315,0.606460975116685
80,0,0.560012555348262,0.439987444651738
81,1,0.220661913353353,0.779338086646647
82,0,0.721745237212552,0.278254762787448
83,1,0.353515226603024,0.646484773396976
84,0,0.639757202203458,0.360242797796542
85,0,0.531612440990352,0.468387559009648
86,1,0.472016651383925,0.527983348616075
87,1,0.371822884514982,0.628177115485018
88,1,0.241458302820307,0.758541697179693
89,1,0.100639483523884,0.899360516476116
90,1,0.462648589573016,0.537351410426984
91,1,0.172790537976741,0.827209462023259
92,0,0.851010120707896,0.148989879292104
93,0,0.971648780134677,0.028351219865323
94,0,0.865649370962029,0.134350629037971
95,1,0.408843197706862,0.591156802293138
96,0,0.916954753622814,0.0830452463771859
97,1,0.142161144057428,0.857838855942572
98,1,0.278221942382048,0.721778057617952
99,0,0.695967817126184,0.304032182873816
100,0,0.901991103128361,0.0980088968716386
101,1,0.392277998480741,0.607722001519259
102,0,0.86696592719646,0.13303407280354
103,0,0.7450396532457,0.2549603467543
104,0,0.507294685653283,0.492705314346717
105,1,0.230544250521084,0.769455749478916
106,0,0.633872606001456,0.366127393998544
107,0,0.816807403052826,0.183192596947175
108,1,0.381574208966281,0.618425791033719
109,0,0.676676802118727,0.323323197881273
110,0,0.784189811261261,0.215810188738739
111,0,0.544463841214291,0.455536158785709
112,0,0.596692611105049,0.403307388894951
113,1,0.10847588756222,0.89152411243778
114,1,0.442672664153518,0.557327335846482
115,1,0.378214118489194,0.621785881510806
116,1,0.0468404372038734,0.953159562796127
117,0,0.644437185516034,0.355562814483966
118,1,0.378279044955184,0.621720955044816
119,1,0.34968551835229,0.65031448164771
120,0,0.688805669691494,0.311194330308506
121,1,0.176684597703843,0.823315402296157
122,1,0.394915026936913,0.605084973063087
123,0,0.720424998625924,0.279575001374076
124,0,0.769684320602412,0.230315679397588
125,0,0.711245128311062,0.288754871688938
126,1,0.395496887814305,0.604503112185695
127,1,0.324716986020379,0.675283013979621
128,1,0.209325941191626,0.790674058808374
129,0,0.8554728617479,0.1445271382521
130,0,0.888807997684298,0.111192002315702
131,0,0.788376601025544,0.211623398974456
