,Predicted_censored,CensoredProbability,NonCensoredProbability
1,0,0.768153247386776,0.231846752613224
2,0,0.823160314023157,0.176839685976843
3,1,0.37786903137477,0.62213096862523
4,0,0.800019884512902,0.199980115487098
5,1,0.438891939855407,0.561108060144593
6,1,0.150974420936401,0.849025579063599
7,0,0.882948226375234,0.117051773624766
8,0,0.856443728144695,0.143556271855304
9,1,0.108039570136941,0.891960429863059
10,0,0.784180529591539,0.215819470408461
11,1,0.367076467526202,0.632923532473798
12,1,0.236217732035898,0.763782267964102
13,0,0.808482865200683,0.191517134799316
14,0,0.763393064528666,0.236606935471334
15,0,0.821826555175584,0.178173444824416
16,0,0.642469574472411,0.357530425527589
17,0,0.695574072148233,0.304425927851767
18,0,0.804463705438328,0.195536294561672
19,0,0.914450059662392,0.0855499403376084
20,0,0.696778476719614,0.303221523280386
21,0,0.71937851075023,0.28062148924977
22,0,0.730604809846836,0.269395190153164
23,0,0.756817017708734,0.243182982291266
24,0,0.796921143885696,0.203078856114304
25,1,0.0801795272184918,0.919820472781508
26,0,0.679386432614277,0.320613567385723
27,1,0.431190940803995,0.568809059196005
28,0,0.658212494216803,0.341787505783197
29,0,0.694318189855981,0.305681810144019
30,0,0.729570973309122,0.270429026690877
31,0,0.732627475036887,0.267372524963113
32,0,0.716825478459245,0.283174521540755
33,0,0.892895614834208,0.107104385165792
34,0,0.798219921561052,0.201780078438948
35,0,0.607246437245783,0.392753562754217
36,0,0.681721303108113,0.318278696891887
37,1,0.330589575750014,0.669410424249986
38,0,0.760104126763049,0.239895873236951
39,0,0.553078397284535,0.446921602715465
40,0,0.603265313321171,0.396734686678829
41,1,0.496062521087557,0.503937478912443
42,1,0.348558919502283,0.651441080497717
43,1,0.288440428489491,0.711559571510509
44,0,0.604562228210773,0.395437771789227
45,0,0.540081882060067,0.459918117939933
46,0,0.937378078536556,0.0626219214634439
47,0,0.846195285669891,0.153804714330109
48,1,0.303492060796264,0.696507939203736
49,0,0.81691960388782,0.18308039611218
50,1,0.467093853411637,0.532906146588363
51,0,0.734040795641941,0.265959204358059
52,0,0.69545226715403,0.30454773284597
53,0,0.673984158338559,0.326015841661441
54,1,0.316408337353306,0.683591662646694
55,1,0.260069468796092,0.739930531203908
56,1,0.368753006049315,0.631246993950685
57,0,0.87064868782248,0.12935131217752
58,0,0.904173501786736,0.0958264982132645
59,0,0.783153064835994,0.216846935164006
60,0,0.768814881795137,0.231185118204863
61,1,0.257241353428459,0.742758646571541
62,0,0.709777958190237,0.290222041809763
63,1,0.217392197393012,0.782607802606988
64,0,0.759670197639036,0.240329802360964
65,0,0.762795824166533,0.237204175833467
66,1,0.289635160921792,0.710364839078208
67,1,0.326411890979814,0.673588109020186
68,1,0.209290124887421,0.790709875112579
69,1,0.1804447705599,0.8195552294401
70,1,0.287424363934761,0.712575636065239
71,1,0.441599277280541,0.558400722719459
72,0,0.768765140783535,0.231234859216465
73,0,0.534036543111335,0.465963456888665
74,1,0.152407963484335,0.847592036515665
75,1,0.1828089390709,0.8171910609291
76,1,0.402719079230708,0.597280920769292
77,0,0.70406503366187,0.29593496633813
78,1,0.36364682592395,0.63635317407605
79,1,0.381025100521991,0.618974899478009
80,0,0.589428832421279,0.410571167578721
81,1,0.233984916247239,0.766015083752761
82,0,0.67141506705574,0.32858493294426
83,1,0.31939920519384,0.68060079480616
84,0,0.607514938545135,0.392485061454865
85,0,0.544097010165999,0.455902989834001
86,0,0.575629676986867,0.424370323013133
87,1,0.46504549434872,0.53495450565128
88,1,0.234814051349849,0.765185948650151
89,1,0.103089023054759,0.896910976945241
90,1,0.480033148374172,0.519966851625828
91,1,0.239507667199439,0.760492332800561
92,0,0.891696937451237,0.108303062548762
93,0,0.936964639517194,0.0630353604828057
94,0,0.871174841510507,0.128825158489493
95,1,0.496644685939908,0.503355314060092
96,0,0.875717907363943,0.124282092636057
97,1,0.163280422230732,0.836719577769268
98,1,0.355427962662314,0.644572037337686
99,0,0.709082003205469,0.290917996794531
100,0,0.848992702349374,0.151007297650626
101,1,0.45319824750479,0.54680175249521
102,0,0.815145681321183,0.184854318678817
103,0,0.816023526118661,0.183976473881339
104,0,0.587220801365272,0.412779198634728
105,1,0.284247552841577,0.715752447158423
106,0,0.68016678756903,0.31983321243097
107,0,0.776900900361855,0.223099099638145
108,1,0.45070487011521,0.54929512988479
109,0,0.719910767554728,0.280089232445272
110,0,0.778101270389294,0.221898729610706
111,0,0.60535433358789,0.39464566641211
112,0,0.655132076708387,0.344867923291613
113,1,0.102430648789948,0.897569351210052
114,1,0.4529736833714,0.5470263166286
115,1,0.495683781222324,0.504316218777676
116,1,0.0427515009540388,0.957248499045961
117,0,0.748735836891985,0.251264163108015
118,1,0.495588122211506,0.504411877788494
119,1,0.398750096574136,0.601249903425864
120,0,0.637690103839886,0.362309896160114
121,1,0.186417150762578,0.813582849237422
