,Predicted_RetailPrice
1,20527.5574899925
2,19756.3406046697
3,30361.3014201006
4,31328.4512623786
5,35091.3082463226
6,30974.3713019185
7,35172.732548151
8,31298.5392338786
9,30552.000728427
10,27479.7857183313
11,28291.054986931
12,26812.6191351885
13,26562.632250651
14,24376.2312675837
15,26442.4682233259
16,29338.7783860651
17,26389.3858411105
18,27112.2943149388
19,26356.6737550311
20,29891.5822678157
21,28140.2840096803
22,26491.9980504237
23,26427.6894605903
24,28814.9204768699
25,31174.5711424814
26,30442.741818762
27,31054.2756949352
28,30459.5236638516
29,29194.3672015276
30,30257.2452346816
31,35298.3971003069
32,32428.4868245495
33,37367.7764751715
34,33363.5356390536
35,26035.7501416406
36,31456.0966852218
37,32052.4917962389
38,28091.1246585761
39,28396.8894962256
40,29931.113950535
41,26276.5904799034
42,27973.8014736171
43,24677.629763752
44,25486.0089691011
45,23177.8680100929
46,29666.0728052175
47,25224.7167553869
48,32107.0583341632
49,26370.0561418285
50,26611.7195134754
51,25699.8564333607
52,25916.1876917783
53,29917.8343705131
54,28265.3987066443
55,28889.2810421845
56,31644.1377264398
57,30971.3962328382
58,29188.1808297139
59,30998.0635981047
60,30320.7611218608
61,30096.2799145276
62,14637.8958114963
63,14827.6917009414
64,14349.8133802476
65,13625.9722297146
66,13941.7001265529
67,15078.0285675154
68,13375.3083618748
69,31756.41847431
70,44403.2095196759
71,43420.9653588389
72,35718.7064226886
73,34605.3261399292
74,38508.8172128799
75,32253.3334418108
76,14025.5756399232
77,14078.6734153422
78,14268.9079604626
79,13508.6200481834
80,15387.4797146179
81,13599.1419278828
82,13777.2098219427
83,13544.6584665755
84,14068.1080085921
85,14015.8337913676
86,14023.7130937171
87,14534.0892577173
88,14341.900415456
89,14288.9872743177
90,33599.7591490631
91,33938.340610534
92,26294.3933475438
93,32680.5771930662
94,28656.6517373849
95,33442.635169699
96,29699.3428297863
97,28683.2415906775
98,31946.4015265816
99,28113.3438735767
100,32861.9866634003
101,30861.1510085155
102,29366.4577801118
103,28383.60392351
104,14362.8466259076
105,14097.037927937
106,14446.2195870562
107,14206.5316989697
108,13451.4442225054
109,14548.1817135677
110,13374.5543769907
111,20013.6870100778
112,20898.3562730299
113,20012.1699435719
114,20165.0237485919
115,19960.2231341536
116,22905.7465758185
117,23957.4539017168
118,21395.34118599
119,19067.4015249168
120,20893.1679215501
121,21359.516278021
122,20176.1964804764
123,20530.9751763331
124,21136.2157596454
125,22816.4997404905
126,22275.0121911871
127,21735.8456783525
128,22210.8834465111
129,20741.3349587555
130,19865.9331793547
131,20357.530690203
132,20640.9296075287
133,19637.9962725567
134,19796.2112520031
135,19966.8481539905
136,21260.7539350641
137,21636.8810489603
138,21192.4880173649
139,43009.1771335523
140,39165.6772340618
141,40363.6002941963
142,44454.5674067279
143,38783.8601542304
144,43659.3777712202
145,44862.4891440387
146,32533.4613284294
147,40556.334818601
148,34213.8271826956
149,38729.4950325642
150,46356.7801010768
151,49005.3805688958
152,40237.9989047466
153,19273.8180667657
154,19785.2624214373
155,19435.5825827052
156,17765.5506238394
157,19232.1758452824
158,20550.8428347374
159,21283.9692535516
160,17975.6456519478
161,17617.1915552601
162,18683.7274482985
163,17302.2468333295
164,17959.2378810519
165,19546.5219858119
166,20011.496729917
167,17691.7623225667
168,18043.7943134973
169,17549.2356074451
170,18095.0497600529
171,17245.860703497
172,17972.1785530644
173,19160.1194100559
174,13720.4499210881
175,13152.9275328799
176,14246.7385335564
177,13916.6302794465
178,14108.7776259312
179,14088.0330669836
180,14302.0866768756
181,18643.9248406683
182,18529.2838881979
183,19074.4818067476
184,17625.8800659212
185,17849.6554407461
186,19060.6364969071
187,19199.9066862896
188,28206.4960512867
189,27759.4828120551
190,26662.7699511455
191,28357.8154774727
192,28685.3607419557
193,26326.6543998707
194,25674.5044438903
195,84112.0498147889
196,99537.4528981959
197,42849.0386727519
198,58196.1907045351
199,64072.875948293
200,80948.4842754982
201,73223.3620778821
202,19050.8743767305
203,17857.886855063
204,18060.1663065743
205,17015.9725995409
206,18401.7261395835
207,16094.858970398
208,17533.4531354633
209,20900.2400490315
210,20650.5690325633
211,19665.9530643575
212,20119.8627068808
213,20974.7310041502
214,20104.7510782041
215,21429.7853844791
216,31296.9876304941
217,27838.3698216313
218,34853.6174276004
219,33493.3373444192
220,30697.0563469301
221,35995.4240654261
222,34509.5328108877
223,24251.026376786
224,31097.501761013
225,25685.4793910184
226,21354.6488975504
227,26480.3305522179
228,26750.8116692553
229,26064.5114273272
230,31369.4525350706
231,30137.793893999
232,32258.2662552071
233,25776.357155891
234,31562.5916151767
235,35758.4955092777
236,31530.4450065698
237,29231.8102901667
238,29122.1722782615
239,34433.4404367858
240,31494.7115790666
241,14329.6399806004
242,13527.7704276003
243,13354.1377505323
244,14524.0279615162
245,13824.6989941885
246,14201.3639566701
247,13845.7909865883
248,13870.40230906
249,13693.3650089756
250,13667.6616827027
251,13989.7774204749
252,14568.0341493343
253,14120.5336635682
254,14032.7199859738
255,20138.4938320367
256,18592.9362882589
257,18249.2479795888
258,19030.3713593931
259,20500.3780789555
260,18330.4461861184
261,20612.1020604153
262,11715.4113082747
263,11851.1515324911
264,12408.5841457608
265,12393.5234087249
266,11474.3581536315
267,12510.9989149785
268,12049.9843080089
269,15150.7635421238
270,14429.9049170245
271,16489.713092248
272,15069.8307100025
273,15269.8674017092
274,15898.381458837
275,15632.2041213992
276,14585.8475218473
277,13940.9011370631
278,13972.4426583837
279,12469.9760106199
280,13817.3728829873
281,13991.4953258521
282,12982.5509948269
283,14361.821381755
284,13611.1428215909
285,12984.5565214912
286,13758.1535350943
287,12922.1194916558
288,13756.8989443434
289,14619.029266128
290,12901.5914222491
291,13241.4740868281
292,13708.32012895
293,13372.1465438481
294,13098.0420732065
295,13966.6184831582
296,12524.9626456251
297,18880.648100027
298,18098.1374018321
299,20252.0590783962
300,17543.2288070359
301,18261.818254315
302,17314.2737617196
303,18091.0045602945
304,18602.9643053907
305,18173.7532166639
306,16331.0047853372
307,17316.948396377
308,16761.8173613913
309,21105.7841551774
310,17110.8115398726
311,13209.8101100414
312,14517.1729460371
313,14505.0095947723
314,15593.486590786
315,14453.129820864
316,14891.3840313992
317,14556.2536060269
318,13476.3545564262
319,13301.7964656254
320,14034.6157689755
321,13210.7738678449
322,13609.6865133877
323,13972.2180250283
324,14144.0163438745
325,18570.0130059667
326,19309.2883177846
327,17412.8188188018
328,19688.3243351804
329,20216.6738271961
330,20576.536583897
331,11938.7461652303
332,12073.6499344367
333,11938.8361466403
334,12696.6381173732
335,12419.8908133108
336,11833.7258729191
337,12015.7229262673
338,15685.2196972384
339,17664.5588908662
340,16480.7918239539
341,15774.6444524902
342,16029.2562269417
343,15522.6001201838
344,15599.7982739227
345,13693.347916823
346,12292.2624942678
347,14003.5359806135
348,13326.0597056666
349,12765.5777808656
350,12674.8561540717
351,13815.6051977418
352,13219.4283816592
353,14246.289734592
354,13365.3769023262
355,15372.5837763709
356,14179.2130284827
357,14397.3981766815
358,13314.3745839412
359,18445.0499541137
360,18833.2088176044
361,18981.7057684913
362,18800.7972025247
363,18329.2637854706
364,19500.4530421441
365,16694.423682958
366,16198.4162386977
367,17587.1878764053
368,16562.896260084
369,15192.2488945005
370,15297.6647804245
371,16390.4031390361
372,15808.9647930727
373,13291.8696912183
374,12794.3180229408
375,12890.0682762112
376,13592.8390874354
377,12982.9316460569
378,13286.4822944732
379,13874.4708549498
380,13419.815260096
381,12929.7342618946
382,13801.6308852807
383,13513.232716004
384,15160.9704184245
385,12970.5125763274
386,12049.1795487795
387,18255.5573842627
388,17980.1326100406
389,19638.4867318583
390,18487.9758855199
391,18113.983086254
392,18606.0008927208
393,17880.718322621
394,13317.0133313371
395,13681.6295713293
396,13076.5869569303
397,15001.9271773176
398,15133.9322290711
399,13731.5607605974
400,15116.4571457128
401,20374.5947368756
402,20279.6473873329
403,20360.6302801044
404,21251.2013536978
405,22249.2003853165
406,21632.2487036649
407,23210.3287345554
408,20593.7006456374
409,21383.4509301119
410,22112.695855581
411,20700.4963245464
412,21041.9281033825
413,23369.6670042775
414,44688.0450918515
415,54856.3559425585
416,39318.6283093375
417,39653.7727904525
418,39466.0599550341
419,36996.3751764495
420,41188.1821854021
421,24366.7032475459
422,23783.8924802917
423,24258.6732240906
424,25804.6234242947
425,24929.0665097242
426,26679.7335964171
427,22688.9885253401
428,38287.4896430084
429,42137.9399059072
430,42794.220887196
431,40914.0637864024
432,38126.3750542272
433,40268.3464640263
434,50311.2597634344
435,23609.132508643
436,24393.6571959886
437,27319.2392851457
438,26483.9121602156
439,21482.4850434557
440,23960.8355515658
441,22966.6316806977
442,44230.515995222
443,42182.8248857569
444,55279.1039829166
445,39894.6252402892
446,41091.8405958694
447,38983.5057398348
448,36476.2745193552
449,13629.822851767
450,13075.6074675376
451,14078.0221420559
452,13219.5387033885
453,13760.1852624959
454,13717.7040086343
455,14203.5543255831
456,14029.14083678
457,12438.8543376235
458,13995.370192223
459,13448.4948101112
460,14564.1223567071
461,14047.2482865742
462,13877.4195622048
463,13897.4477546037
464,12836.145239074
465,13458.4927435504
466,13914.1662150113
467,14948.6850081786
468,14920.1023303512
469,12966.3815343688
470,20260.6071404208
471,17408.7840641819
472,18525.9453053003
473,20075.5185115928
474,18509.0242977968
475,18134.9496273151
476,17991.7942330311
477,17437.3290687781
478,19411.8065044841
479,18607.1059611025
480,19798.2995684536
481,16897.7095903365
482,18949.3481566896
483,18164.3752283198
484,18074.1984640321
485,19190.4471145307
486,19202.8161043983
487,20297.7114285187
488,18177.3462364947
489,17954.5217428224
490,16726.9387021879
491,17724.7888589432
492,20390.8130265974
493,17302.3731209399
494,17926.8873629611
495,17859.883609722
496,17447.6898242992
497,20983.0702835801
498,14453.4236240897
499,12953.3563772766
500,13224.6736467366
501,13116.1567663046
502,13063.5097975426
503,13735.4047640267
504,13098.9073672818
505,13929.765534476
506,12451.6786013484
507,12703.4702570328
508,12039.7236163084
509,12544.1364034543
510,12747.7195257248
511,12198.0157089572
512,12279.2231181179
513,12597.9758352517
514,12993.3068513925
515,13638.4523666688
516,13254.8243444905
517,12483.8483326166
518,12570.5837935735
519,12469.5331932297
520,18291.9898702168
521,19697.7066101913
522,19281.1599382183
523,17998.6234493394
524,20968.349150858
525,18452.9086835721
526,19750.9591833631
527,21802.557555651
528,19153.901793894
529,21613.2137694642
530,22146.5486052154
531,19788.5032976616
532,21653.8356617174
533,20669.5684739589
534,14493.1793246286
535,14914.6390727498
536,13968.0293463527
537,14584.4748396996
538,14818.0761838976
539,16162.2928368604
540,14481.8077534768
541,19879.192251115
542,18917.4964732641
543,19574.3397786305
544,18465.7078703429
545,18687.8053221409
546,18425.5056930761
547,18977.5559993469
548,19926.768247138
549,20410.8489953584
550,17999.5630004038
551,17357.4990415934
552,16809.3445955966
553,18114.0044384444
554,18560.3843931426
555,12103.7548913212
556,12885.9072577944
557,12726.3169348143
558,11944.8229561237
559,12698.2314315392
560,11937.8312913259
561,12170.9048809578
562,12214.0517963787
563,13031.0612397193
564,13565.6629122722
565,13023.2173627656
566,12915.6697654857
567,14514.6990738951
568,12708.0561042586
569,30123.9964269047
570,34214.9757669531
571,41402.4724186235
572,24685.0046822169
573,26024.5489898341
574,26808.005100862
575,24449.0964108056
576,26618.6509421794
577,28470.1287967815
578,31725.0492657587
579,30507.8221917848
580,27203.9879847476
581,30443.0815730846
