,Predicted_RetailPrice
1,20259.3489260186
2,21680.0066621913
3,35825.9002492549
4,36387.8848219589
5,38618.3615910719
6,36158.3728908433
7,38659.8563952269
8,36117.7227790131
9,35877.6377086656
10,25488.6238075015
11,26724.5139882375
12,25247.6274493398
13,25026.8512664674
14,22825.361298343
15,24919.2427312904
16,26938.9565555977
17,24871.3946556858
18,25506.9203403752
19,24841.8122354988
20,27335.4404019971
21,26025.8723244554
22,24963.7156314373
23,24905.9405691928
24,27726.0381184735
25,29378.2857748262
26,28893.2532075984
27,29628.6752553419
28,29233.1841076064
29,28009.7513966432
30,28766.5848580727
31,38394.9735142169
32,36817.9724165949
33,39710.3301214661
34,37361.5742049984
35,32384.0154414526
36,36218.3824235422
37,37169.9637069101
38,26566.2778211968
39,26556.4013679504
40,27942.7537886918
41,24440.5325580559
42,26472.3685275829
43,23469.0579895334
44,24277.5117814907
45,21240.2706050699
46,27504.0315125997
47,23770.8889167813
48,29115.9756031942
49,24853.9231591995
50,25070.5300076831
51,24231.8981763404
52,24436.1955613905
53,27353.9045971474
54,26453.3592466277
55,27782.2248628556
56,29677.683691887
57,29574.4739082878
58,28005.1849827888
59,29591.9454047741
60,29138.6791947941
61,28655.4026077053
62,14987.955720753
63,15866.5249158446
64,14125.3005817417
65,13839.7015799185
66,14634.1095842406
67,16319.8416592181
68,13052.1758707549
69,37297.8448055627
70,42939.1527733116
71,42618.7096445741
72,39166.46989321
73,38928.4516310403
74,40770.9003514144
75,37603.0003748746
76,12557.9161011783
77,14769.9469379657
78,13322.6911519198
79,12884.613635307
80,16527.1224392946
81,11151.6591737634
82,11749.462309221
83,13008.5024285735
84,14736.3937231227
85,12526.7453631288
86,12551.9599091943
87,14126.9756094882
88,13547.0410499825
89,13384.635548553
90,30408.8910793168
91,30267.1028326421
92,24879.3301036774
93,29882.363707934
94,26851.2267298364
95,30320.9379776869
96,27950.3735680676
97,26515.7038565667
98,28755.6291220043
99,26071.1733948299
100,29304.1944037277
101,27734.7069384959
102,26697.3368346215
103,26284.2065281232
104,12926.5827826901
105,14143.7310184221
106,13179.3238625432
107,12444.7268511871
108,12002.2814604528
109,13484.4794318551
110,11733.458662243
111,19801.1501001749
112,21131.5648496605
113,19798.7676233813
114,20037.01530274
115,19716.9692534681
116,23518.2615110301
117,24395.1806333467
118,21579.7195599813
119,18241.4219593065
120,20873.1166509499
121,21781.3853951115
122,20054.2882594935
123,20342.0228657127
124,21470.2736338155
125,23410.8515155859
126,22991.6836062538
127,21711.7176048363
128,22659.1800872091
129,20652.7375475431
130,19238.8546994321
131,20003.4312104408
132,20505.2225260735
133,18871.3576540212
134,19455.8895048375
135,19398.877724068
136,21644.591519213
137,21907.9057382979
138,21549.2924474695
139,41254.4217478233
140,40147.7921546583
141,40295.87191787
142,41729.9244078767
143,39661.1403921118
144,41472.2198347037
145,41858.5781547304
146,36873.8719608038
147,40369.927238204
148,37494.8733675426
149,39966.9224580784
150,42639.0687218193
151,43043.8603595401
152,40247.2296833343
153,21990.4528693283
154,22834.048193991
155,20219.1802393545
156,19219.8308981192
157,19876.8977400092
158,21975.4627156939
159,23029.7086968563
160,17401.4197152164
161,16689.4562333994
162,19056.0807258189
163,16290.5393768128
164,17948.9726423385
165,20213.5364905805
166,21540.7549484041
167,17419.4671749638
168,17784.5508661248
169,16802.1762682356
170,18211.8392485643
171,16500.2282121047
172,17394.6693643012
173,19893.1242392992
174,14157.5636921296
175,12179.5123342538
176,13885.7445351032
177,14803.8105223901
178,15747.8978293053
179,15431.2774888846
180,15770.9480942473
181,18984.2093425457
182,18446.9299481356
183,19996.7114464267
184,16958.0299584828
185,17154.4362876145
186,19721.7844498938
187,20212.1270565136
