,Predicted_RetailPrice
1,20442.237756542
2,19096.1784958114
3,29990.8733978997
4,31064.8086817776
5,35293.8991069547
6,30672.4616314427
7,35386.8777952287
8,30850.6740973338
9,30205.8195425579
10,27006.2142610852
11,28186.3425110131
12,26408.4960390688
13,26135.1151716807
14,23771.0658726305
15,26003.9080016529
16,29047.4197749717
17,25945.9889908903
18,26736.9648923489
19,25910.3090329752
20,29660.2723324384
21,27727.9948676497
22,26057.9737881182
23,25987.7801006279
24,29346.8151732939
25,32143.0314841993
26,31268.4272396054
27,32188.048554932
28,31469.3172760121
29,29791.8415973047
30,31047.8031982454
31,35300.0446157829
32,32094.6083919325
33,37915.5504735688
34,33131.6688597489
35,25304.5534819094
36,31023.5199372907
37,32058.1157410684
38,27962.5890972311
39,28154.323012724
40,30036.7721624058
41,25701.0605619226
42,27831.4688102075
43,24202.0554895737
44,25082.5506269479
45,22396.1630005452
46,29569.7224346959
47,24681.5918169779
48,32334.8549498991
49,25924.9043937328
50,26188.7512643719
51,25195.9448110227
52,25430.8006157726
53,29689.4436056191
54,28008.542925477
55,29433.8895372461
56,32707.7527257536
57,32087.6124316904
58,29784.5719759253
59,32119.9189204074
60,31302.2983284808
61,30856.7018938509
62,14729.8857375774
63,14988.31099732
64,14401.5681223986
65,13967.7853865573
66,14304.7607266286
67,15233.6620497916
68,13670.4155446301
69,31127.4386952621
70,45444.4254095369
71,44287.3566982466
72,35251.2686378548
73,34245.968545594
74,38617.5365493324
75,31667.0993820111
76,13404.5531479879
77,13835.6724421031
78,13655.7118360454
79,13217.1247247814
80,14819.1299554533
81,12966.0501933699
82,13148.9036778235
83,13256.0679163625
84,13824.1585825911
85,13394.5122133811
86,13402.6333347815
87,13930.203584182
88,13731.1856101403
89,13676.4675712016
90,32987.6153973153
91,33153.1177381067
92,25107.1418105927
93,31990.7331143236
94,27554.6498422736
95,32816.7925239483
96,28797.4929141209
97,29142.2129735374
98,33007.8503064804
99,28480.276867315
100,34116.1398999217
101,31524.1116258052
102,29777.0582084593
103,28793.7040858853
104,14093.3637475383
105,14201.3737090588
106,14184.0073705257
107,13923.7211177399
108,13466.6154549864
109,14295.0149601528
110,13379.7155609747
111,19941.7324371162
112,20938.3781055723
113,19940.0327646417
114,20111.4465180783
115,19881.8525692615
116,23139.6077923914
117,24250.0989598871
118,21416.0774415347
119,18887.7351645844
120,20850.008413021
121,21462.2925799683
122,20123.9886645334
123,20443.8568811525
124,21208.2276467575
125,23036.8837192189
126,22511.3971071691
127,21714.8857467019
128,22342.7607474071
129,20679.5316639449
130,19704.7452346095
131,20252.1527814689
132,20566.9688231282
133,19452.0265575344
134,19698.4062784128
135,19816.8530260953
136,21349.8359362945
137,21689.5785802281
138,21272.1856365712
139,44407.555799905
140,40144.8197659727
141,41256.7988561747
142,46156.1423550013
143,39405.4441531586
144,45191.7394777464
145,46653.1704235934
146,32484.8611172415
147,41484.1945649184
148,34172.0122367773
149,39628.5797799152
150,48923.1934174518
151,51791.3327864765
152,41108.7886938565
153,19917.3085921885
154,20536.3737851287
155,19326.8824647919
156,18123.042519932
157,19100.1926243324
158,20580.1768244021
159,21413.7257617651
160,17823.1721931185
161,17426.4384252044
162,18676.2937448637
163,17134.7205033634
164,17923.9271321717
165,19584.2257790022
166,20264.5287123975
167,17623.8368772338
168,17959.5699846351
169,17408.5301789557
170,18076.7316903139
171,17126.0606231904
172,17819.3258286715
173,19215.2232687319
174,14079.9394245446
175,13409.8833343232
176,14283.4446352954
177,14313.605719292
178,14582.4630307751
179,14517.5158267125
180,14734.6606038042
181,18631.4253441489
182,18439.6446062485
183,19187.4179032804
184,17493.6848159096
185,17683.5131137672
186,19102.3894805086
187,19330.7655504635
188,28877.4486848909
189,28498.4628532968
190,27066.9151276105
191,29212.5355284521
192,29445.3489093854
193,26676.7464110505
194,26047.8506251802
195,100914.377479903
196,127709.924673663
197,43803.6257144445
198,62956.6258799316
199,70894.6356247534
200,95843.1046971759
201,84002.0381300855
202,19396.3490732322
203,18075.2571673168
204,18309.4933171678
205,17162.3358947302
206,18706.7342020039
