,Predicted_RetailPrice
1,20208.1789375791
2,21018.0961832637
3,32826.4214247276
4,32510.670793765
5,36148.4835485923
6,32269.2762889829
7,36202.9255931079
8,33263.259578482
9,31978.8367847241
10,27468.6972527542
11,27593.5796220111
12,27207.7850811961
13,27044.9162402317
14,24973.8281164202
15,26966.2370891765
16,28611.4507302179
17,26931.3992909532
18,27401.5907744863
19,26909.9055628666
20,28940.5900097501
21,27881.2046864106
22,26998.6983648736
23,26956.5428499146
24,28534.0814434279
25,29949.6734063549
26,29519.758262018
27,30078.9725230633
28,29724.468782198
29,28767.5635461113
30,29409.5090132342
31,35996.9430928756
32,34058.5969828408
33,37637.9585607488
34,34702.7340306776
35,29486.4046390951
36,33375.2942012976
37,33241.856227239
38,27473.3166736942
39,28215.0545510248
40,28555.9549306136
41,26698.1051509034
42,27402.4379603159
43,25313.8418628162
44,25844.0928853882
45,24591.6125783557
46,28992.2102637189
47,26154.2569468735
48,30417.3575127894
49,26918.7008595643
50,27076.9835843777
51,26474.2814056047
52,26618.6190007595
53,28956.1026180262
54,28133.0534821575
55,28580.018930431
56,30221.3559709529
57,30029.8892219609
58,28763.7753609821
59,30045.6934403923
60,29640.9915249653
61,29313.4149392295
62,14519.3098787022
63,14684.1832865637
64,14339.2501523867
65,13133.2397763823
66,13444.5728107536
67,14997.1744021259
68,13145.2812614859
69,35426.8106009817
70,44303.6491280539
71,43681.9229312308
72,38100.5850912728
73,37604.6711233111
74,40411.7305650626
75,35814.9833705765
76,15398.6112208947
77,14526.2401842959
78,15582.5874850995
79,14138.0558463719
80,16403.7729288674
81,15071.4157853036
82,15208.7927568255
83,14162.9261829954
84,14519.1454624858
85,15391.2048029925
86,15397.1954309599
87,15780.8712622919
88,15637.3945824212
89,15597.6816332705
90,34872.5888818565
91,34830.5009026305
92,29315.204338292
93,34242.2495785602
94,31118.6575492604
95,34765.685093028
96,32112.4092769879
97,28521.4455186788
98,30473.2235001965
99,28163.4595397772
100,30992.635744632
101,29645.6838057154
102,28758.9858176397
103,28333.8896445653
104,14913.4180068153
105,13898.3189154135
106,14969.9873867399
107,14806.7434351326
108,13495.6294903038
109,15038.8628750286
110,13446.7211865974
111,19979.3087914914
112,20526.3062012222
113,19978.3553899953
114,20074.1481075418
115,19945.6770398006
116,22046.6331120698
117,22536.8651585805
118,21140.8046786776
119,19374.0288722356
120,20828.8657955061
121,20804.5136577442
122,20081.1288061533
123,20600.4009046115
124,20670.3825632877
125,21994.4167778168
126,21343.3024261039
127,21248.5408790147
128,21635.8082823276
129,20733.4512491387
130,19798.8387301127
131,20103.9434172173
132,20670.0705883313
133,19655.4603248386
134,19842.0874094356
135,19861.9272787976
136,20745.3232426894
137,21288.8864848811
138,20704.2861962949
139,40150.9734767594
140,38280.5165989963
141,38659.3067841486
142,40934.4848700185
143,37731.0878673439
144,40506.0953946948
145,41151.7585517365
146,34007.56151768
147,38770.5874369815
148,34873.413547342
149,38016.6258746116
150,42327.4782048536
151,43267.5836337462
152,38586.5605351297
153,18214.8981456581
154,18499.8930435581
155,19779.1792695511
156,17337.6908556452
157,19645.8362036506
158,20492.8739503391
159,20946.5696783879
160,18044.2731893386
161,17814.8244815411
162,18563.9449991621
163,17391.3816384786
164,17874.833222113
165,19011.424349027
166,19104.5217813441
167,17706.8136707604
168,17856.5306063052
169,17547.9228205716
170,17959.4345210454
171,17422.5073893317
172,18042.069963264
173,18857.7197330501
174,13188.4361946848
175,12852.2974374475
176,14467.6896176
177,13302.0991293321
178,13452.2317905951
179,13570.7763231811
180,13653.7942056795
181,18539.1466384673
182,18392.1350250767
183,18555.7630081312
184,17596.169552371
185,17964.0098088838
186,18796.8307119408
187,18630.4226068153
188,26554.2109011109
189,26457.1737783897
190,25671.8255362835
191,26796.9870117945
192,26820.0065957935
193,25474.356076583
194,25225.9651352484
195,71544.6918932337
196,78030.855007048
197,47176.7313083804
198,57750.4477087113
