,Predicted_RetailPrice
1,20141.876464882
2,21835.1101475019
3,34138.5867213675
4,34877.050657536
5,37739.9160727304
6,34585.9831327545
7,37794.7917043941
8,34404.562231066
9,34231.6125067998
10,25415.0262709153
11,26978.2826301295
12,25241.4179870404
13,25003.2909361675
14,22713.2813462643
15,24887.6345087551
16,27012.7829337802
17,24836.2940553397
18,25522.5298705874
19,24804.5789652182
20,27458.0457478732
21,26001.2060851657
22,24935.4009689454
23,24873.3561166141
24,28167.8494836555
25,30086.4869815006
26,29516.6990563882
27,30478.5520913031
28,30010.5104335421
29,28492.8104935668
30,29368.7934996579
31,37338.9938238369
32,35294.1091595986
33,39197.2914097229
34,35992.489779389
35,29948.1386616288
36,34531.7343029452
37,35982.1305581599
38,26801.7080851177
39,26676.2240488516
40,28357.1204068429
41,24290.7134823311
42,26697.1895417832
43,23462.2729035038
44,24312.529520719
45,21015.1139677342
46,27739.8632726497
47,23670.0942613749
48,29596.9072298576
49,24817.5605457608
50,25050.3128506036
51,24155.2101503855
52,24371.7639947581
53,27478.8702715699
54,26561.8208535685
55,28232.0569533035
56,30440.9210962535
57,30414.1936728145
58,28487.5654332255
59,30434.9318143692
60,29899.205249311
61,29239.2765908692
62,14786.9911208837
63,15591.4330163097
64,14081.7601533988
65,13610.7682096364
66,14165.3024333251
67,15890.6136594167
68,12975.5138530204
69,36708.4580753433
70,44432.01940619
71,43973.5589276102
72,39076.5695033366
73,38865.2233520696
74,41376.267139781
75,37107.3976399846
76,13062.4235234391
77,14589.6779048896
78,13663.9976816533
79,13081.1604503
80,16331.8602705083
81,11991.6027976229
82,12441.2161042379
83,13177.761601111
84,14562.111555034
85,13038.1917624588
86,13057.791511979
87,14311.259846429
88,13843.0409761784
89,13713.3161787278
90,32114.4814651887
91,31843.7403331837
92,25637.2205161978
93,31475.5964287646
94,27830.794623093
95,32007.3131490126
96,29186.3203002809
97,27249.7959965388
98,29824.0666250097
99,26752.7271804636
100,30472.2231607656
101,28543.4995059219
102,27363.3027326484
103,26990.3674267598
104,13147.3474748403
105,13870.6158510776
106,13345.2940548427
107,12774.056256282
108,12207.444816309
109,13586.2625399235
110,12006.1629444382
111,19778.9398159703
112,21072.6882378356
113,19776.65976146
114,20005.3157729927
115,19698.4576073274
116,23389.1090698017
117,24225.0974340506
118,21415.132997144
119,18314.3850197764
120,20717.2524154453
121,21719.4969063672
122,20021.9444299344
123,20200.3243963479
124,21408.6071895642
125,23277.4587726629
126,22950.248689928
127,21466.254360548
128,22503.5888674184
129,20501.9587093339
130,19168.3614559293
131,19895.4748618624
132,20358.4759784898
133,18823.6876279227
134,19449.8924255981
135,19319.4236064416
136,21582.5246018674
137,21743.1996168167
138,21487.3572880914
139,41665.8342502914
140,40252.9439592857
141,40344.9985831238
142,42328.9483886493
143,39482.0768641195
144,41968.915656901
145,42509.2628298664
146,35907.1666818286
147,40446.2849512297
148,36607.2682193906
149,40006.3822582513
150,43726.1225458481
151,44188.5229061873
152,40278.5390982089
153,21479.8841500508
154,22329.4748690303
155,20040.1031231996
156,18805.4990450459
157,19711.7265875239
158,21767.7017884214
159,22839.0321456678
160,17096.2265015508
161,16468.6111245794
162,18675.1562360476
163,16211.1118162873
164,17752.9604077918
165,19689.9140099728
166,21158.9778837473
167,17276.1044373651
168,17531.4102535818
169,16657.440392279
170,17992.1011529478
171,16463.6842874477
172,17090.2207702363
173,19461.6763196243
174,13864.290425313
175,12324.6434092498
176,13871.1797483717
177,14386.9405967454
178,15235.5538518947
179,14885.2189847161
180,15101.0093179559
181,18608.3792307376
182,18039.1446996971
183,19658.1873297962
184,16794.6043718411
185,16877.1742946386
186,19299.3580064986
187,19864.2551364361
188,26226.7413494925
189,26282.0372965387
190,24823.18368869
191,26812.1087174248
192,26638.5955287853
193,24501.3180459862
194,24291.2608516479
195,60709.1372721127
196,62667.7697335844
197,49235.2048473224
198,55253.941052842
199,56851.0073219542
200,60220.1105442562
201,58858.9308796373
202,21216.9685983492
203,19421.1474308688
204,19797.068610316
205,18177.1435105597
206,20420.8626158297
207,15934.5661918064
208,19191.8569139076
209,20673.015917538
