,Predicted_price
4,12211.6909358408
5,14705.3840091259
7,17896.9037407638
9,22024.9471108158
11,11937.0011550754
12,13785.5573233652
13,15976.4927253654
14,17124.0218850682
19,4667.60206695756
20,5835.96652030526
21,6156.89644488171
22,5947.62180326063
23,6957.38840493738
24,7968.71923112975
25,7432.50568257735
26,7591.28834003335
27,7591.28834003335
29,10042.185354278
30,10571.095136852
31,4862.99195079066
32,6942.71986555602
33,5827.88395674087
34,6710.48977992251
35,6705.96542135969
36,7741.18256497298
37,7364.19825417382
38,8368.60098234167
39,8345.34180424165
40,8995.18708402918
41,8422.21569213322
42,9633.91594296003
43,8963.0171235679
48,32986.5695033461
51,6617.01071262263
52,6967.20000025099
53,6965.67519981858
54,7642.90893610267
55,7650.95030403952
60,8880.3994619493
61,9822.83540668505
62,8880.3994619493
63,9822.83540668505
65,9537.40873956881
66,14056.017926653
68,28644.1754349287
69,27728.4618806642
70,23009.6664008214
71,32536.3595493015
73,35056.0000000004
77,6168.47019759633
78,7257.61291688086
79,7237.80797314119
80,8528.25386273906
81,9045.6636960786
82,8361.96332966569
86,9277.45755275384
87,9255.87375344208
88,10129.2405628333
89,10182.3288360869
90,7656.74343473534
91,6253.40824120278
92,7646.07496452362
93,7844.64154502874
94,7487.82191652356
95,7633.97108738027
96,7348.66612733133
97,7831.90135936524
98,7483.24460674476
99,7711.93350617196
100,8978.88386673265
101,9235.16679699215
102,18261.8348391999
103,16740.2832218522
104,16305.2524420142
105,17444.4240188169
106,21193.0112709542
107,22114.3591965184
108,16472.543222506
109,17390.7991678605
112,15614.3641543829
113,17286.8979110057
116,16379.2951083258
117,17286.8979110057
118,19456.0949805968
119,5941.63621924872
120,7980.41930999043
121,7493.99139983316
122,7977.01090370184
123,7953.02102550063
124,9418.9034372977
126,18438.1726905454
133,12385.1775144183
134,12708.4846611953
135,11470.4072471055
136,12644.8681091726
137,16369.5948546987
138,16961.2540930728
139,6292.5130498325
140,6975.68963828658
141,7863.2633627271
142,7826.54847789934
143,8618.84934393486
144,9096.31517506769
145,10074.3113686422
146,10951.6098227733
147,7936.97264214678
148,8990.64940750612
149,10914.8810673635
150,9766.67830186879
151,5897.22072537699
152,6588.35787205864
153,6689.97075266129
154,7314.50579180221
155,8954.94077660771
156,8696.93129090569
157,7622.3268440149
158,7428.22624420206
159,7975.3657276242
160,7769.42397190993
161,6531.96449774218
162,7683.32731109693
163,7854.68038707344
164,8662.66790603587
165,8430.97549892524
166,10388.2867213938
167,10056.8591721905
168,11701.7832486215
169,11705.226060961
170,11141.4735952156
171,11583.3907837556
172,11015.7645897164
173,17022.3883001109
174,8239.6210574751
175,10694.3732216275
176,8332.55453148226
177,8653.5040867179
178,8313.40178254385
179,16836.1748283033
180,18294.188534548
181,16733.6182723479
183,8552.2885987758
184,8780.04147744383
185,8506.43710414756
186,8731.72225528238
187,8701.64326580199
188,8723.31348339904
189,9816.09340940516
191,9561.40778904593
195,16456.2354314261
196,14036.8523624634
197,15175.2287470766
198,13110.2129841867
199,21530.2734923712
200,17587.9239385806
201,15305.7298196097
202,23207.8573636712
203,19807.5294519438
204,19966.5932765626
205,23192.0549985461
