,Predicted_price
4,11564.9250441532
5,13191.251768901
7,17171.4483293759
9,19434.9866528981
11,12996.790290288
12,13740.5621694664
13,16348.85283215
14,16686.3358833639
19,4540.61256421535
20,5693.4193575782
21,5894.00537301378
22,5756.72025313744
23,6898.32343280959
24,7974.8202813179
25,7113.74337712779
26,7285.13022063159
27,7285.13022063159
29,9621.54886018606
30,10729.4121945341
31,4524.99620935225
32,6626.36886731951
33,5603.72372289917
34,6542.01730069701
35,6544.71125518563
36,7348.24430506135
37,6842.4005033738
38,8253.58118269391
39,8267.80370248191
40,8845.09716875156
41,8596.73460910445
42,9607.28986021447
43,9144.86454789997
48,34839.5128824673
51,6466.72466814836
52,6958.4766484971
53,6959.42884343879
54,7495.03899225324
55,7501.24088483202
60,9004.87670018681
61,9540.56003983219
62,9004.87670018681
63,9540.56003983219
65,9261.21383055375
66,15781.1377979038
68,28044.3931498677
69,25696.6078809239
70,21614.5851957499
71,36957.7695131323
73,35055.9999999999
77,5886.60640377051
78,7094.04049167307
79,7105.93466372078
80,8296.29950891111
81,9392.25622133928
82,8766.41290461598
86,9285.56402474385
87,9299.1465169176
88,9989.13907895222
89,10227.462816821
90,7455.48536765005
91,6086.73748204653
92,7461.82972076625
93,7487.3460911858
94,7165.49963626354
95,7469.06230414627
96,7255.43089129188
97,7494.62824816303
98,7168.12544760984
99,7184.11908887843
100,8772.67623998389
101,9020.68950367943
102,17108.4340278697
103,15784.6277967623
104,15708.6552457508
105,17089.1974401412
106,19869.0676553041
107,20717.1041829524
108,18745.3916142795
109,17093.2108784563
112,18395.614647529
113,17156.6397030961
116,18821.7020960444
117,17156.6397030961
118,20861.6140073097
119,5763.62235392642
120,7981.63895437702
121,7146.41907024035
122,7689.37000479908
123,7715.70673087246
124,9278.87329092408
126,18486.4814071708
133,13536.7198786405
134,13716.2478629628
135,13076.8431244806
136,13763.0168116072
137,17214.60407438
138,17528.1222204929
139,6471.42283060066
140,7308.26306955724
141,7648.87240221415
142,7509.14508093032
143,8434.38406584938
144,9108.93787543705
145,9021.14327571551
146,9769.34004556962
147,7684.25645874293
148,8926.73336292248
149,9839.9738883851
150,8557.00014332099
151,5910.64968074618
152,6786.64542316858
153,6765.06146793102
154,7203.61704119238
155,8144.9236993646
156,8440.24499995026
157,7591.81781223188
158,7405.554040002
159,7775.07610769519
160,7720.74102763755
161,6426.68483966033
162,7680.09339002722
163,7879.26316395188
164,8898.35699260678
165,8660.7678191893
166,10318.8023475467
167,10000.662200675
168,11466.308376074
169,11464.240631
170,11714.4959759258
171,11538.6287580467
172,11803.1250707502
173,19143.6852807846
174,8122.65385330582
175,10140.2713378897
176,8346.54555849444
177,8652.27531675232
178,8358.61707875248
179,17379.0851469466
180,19465.0139489212
181,17721.6851152353
183,8808.37068664469
184,8935.80040228038
185,8658.36553447557
186,8781.46166406591
187,8800.60810843686
188,8315.23770773172
189,9654.77119043903
191,9242.65140748494
195,16216.4118269735
196,14092.7501752144
197,14796.3185104653
198,12997.8308270104
199,23537.6603828739
200,19298.6935964443
201,15699.567914287
202,23592.3399973439
203,20473.0545207068
204,19058.3952483745
205,22536.2445254863
