,Predicted_price
4,11603.9669947432
5,13488.5707218333
7,17109.8866859536
9,21071.0818479748
11,11941.9100920563
12,12355.0474830348
13,12916.300770998
14,14045.4626560931
19,3809.41130776302
20,6375.19190410254
21,6830.26943537515
22,6088.7748350839
23,6133.22353950115
24,8256.16505400713
25,7149.73670441549
26,7275.62272317586
27,7275.62272317586
29,9967.25583688408
30,13311.0841060102
31,5440.1458759186
32,6551.49983113649
33,6438.0733975124
34,7024.53099940833
35,7076.93178675882
36,7944.92103556581
37,7918.1003304088
38,8445.2599155617
39,8636.29771689048
40,9221.47933000927
41,8171.30432427798
42,10002.6295783463
43,8927.27526200843
48,27375.0785245539
51,5813.9428992719
52,6293.33415480822
53,6308.81443143358
54,6913.93696999647
55,6922.45118916543
60,9037.49688574871
61,10003.5432400558
62,9037.49688574871
63,10003.5432400558
65,9999.62614196044
66,14182.5021630885
68,23198.276040519
69,24014.2699909711
70,22133.8981036075
71,25905.0226386378
73,30694.5481099326
77,6848.2318390525
78,6982.86405722759
79,7179.788466241
80,8489.13767034589
81,10486.972308563
82,8245.94808784168
86,9048.58571709071
87,9197.60034982391
88,11373.1057299125
89,9551.34421386969
90,6427.7535670756
91,6386.65414317415
92,6518.75708449132
93,7181.96808943983
94,6396.3564688169
95,6623.09093487691
96,6620.58363090474
97,7291.46025295592
98,6436.97263909561
99,7441.7477505081
100,9522.05207255221
101,9499.2459089264
102,16815.3935681834
103,16745.3408436464
104,16558.8113512045
105,18044.4650312866
106,21473.1912761592
107,18705.7322325086
108,16571.2636624208
109,18963.5457762914
112,17693.025866063
113,19260.1053869201
116,16848.5621748102
117,19260.1053869201
118,21196.8416924544
119,6218.96693370548
120,8261.41838581321
121,7179.09413098196
122,7025.18873935992
123,7824.22565428959
124,9758.7455029726
126,16808.6010246893
133,12417.840463315
134,12985.5082684511
135,13645.9234629139
136,13267.0264340371
137,16768.2496926035
138,17441.9665361832
139,6786.89501782802
140,6561.50302661784
141,7318.27628074852
142,8515.42461786335
143,8220.19606669453
144,9639.83076471838
145,8894.89707282242
146,11651.1386346519
147,7876.75601600613
148,9207.41849772283
149,8609.80956488034
150,10804.8524439917
151,6171.53568385686
152,6445.70463067009
153,6924.39029169291
154,7346.3382313666
155,7174.30151029886
156,10197.2914569738
157,7224.93045445615
158,7232.13106326442
159,7146.92275533627
160,7726.47353228112
161,7666.86972972109
162,7139.01127827386
163,7251.51173247088
164,7838.32846309075
165,7904.06064062864
166,10795.6485678119
167,10872.766705304
168,12285.3581012002
169,12268.0717813356
170,11821.9315025999
171,12893.6172297939
172,12523.2831747655
173,19955.4338175313
174,9156.36146508958
175,11003.8801224862
176,9174.569230314
177,9419.48620256396
178,9339.6847760019
179,18453.3025257701
180,18741.4205709527
181,17933.5833306784
183,8586.45192772175
184,9035.01322847876
185,9159.13756196252
186,9622.22879580911
187,9864.77313891968
188,10690.9636817884
189,10897.2455862569
191,8328.76303067666
195,15942.9805121706
196,15869.8205882562
197,15986.5034675486
198,15839.5265315268
199,18671.9869074289
200,18539.6606721795
201,17835.6155747
202,21713.4520623623
203,19605.1814680751
204,20163.2515177943
205,20388.6525799277
