,Predicted_price
4,11995.6639150358
5,15194.5510581928
7,17604.4396220722
9,21793.3071936989
11,12192.8788949297
12,12515.1352562443
13,14924.1311433455
14,15606.036561008
19,3351.9267455028
20,6419.86175206546
21,6851.95686251827
22,6308.60316566383
23,6377.98645288377
24,8560.69181793107
25,7086.52066717625
26,7343.12121538606
27,7343.12121538606
29,10039.7568610921
30,12979.6070157096
31,4464.37451696916
32,5594.37737194302
33,6296.16142854658
34,7031.33778304513
35,7074.36077434165
36,8349.77922744148
37,7197.33425686389
38,8608.67064538417
39,8766.84060095093
40,9239.2297562997
41,8747.94744354381
42,10335.3999625628
43,9512.86686905925
48,30501.69922377
51,6211.35669125329
52,6223.85853969047
53,6236.49481133186
54,6826.4658367068
55,6754.32852937202
60,9356.39125161072
61,10029.8822476819
62,9356.39125161072
63,10029.8822476819
65,9846.81120323767
66,14298.8464880479
68,23921.3071016147
69,23145.3068859418
70,21464.7866127456
71,27661.6939840356
73,35056
77,6861.98649962079
78,7006.90360821094
79,7168.63629958326
80,8748.33344809728
81,10786.551368981
82,8558.77425464562
86,9138.96308565365
87,9261.80863199955
88,11423.0281507806
89,10251.2149537755
90,6683.03539083545
91,6596.27859251268
92,6759.15826131154
93,7089.89854219641
94,5954.41017508968
95,6846.30521463827
96,6780.14977820645
97,7179.14542991722
98,5986.57245427249
99,6989.83491403798
100,9336.50318724328
101,9492.93968824139
102,17885.0659466191
103,16734.8181171057
104,17472.9316331954
105,16541.7040376242
106,19761.2938576055
107,19340.002477193
108,17170.1278579541
109,18687.7216462252
112,18355.5268170641
113,18929.2321865395
116,17401.6566356151
117,18929.2321865395
118,20974.4593371532
119,6418.59164547825
120,8567.23161251523
121,7122.25955753452
122,7315.87402361453
123,8025.49668730286
124,9765.98550410955
126,14095.4051079478
133,12110.1464759545
134,12503.1675094988
135,15649.8116738085
136,12729.738148814
137,16196.6646929713
138,16663.6886215283
139,6066.63117585546
140,6215.0114623544
141,7322.52258995383
142,8322.63371783831
143,8365.72806338698
144,9383.10445483767
145,9886.08847675268
146,12090.641655555
147,7266.35545373541
148,8296.97729991429
149,8532.20488538668
150,10938.5429978694
151,6478.79200580607
152,6670.52057295364
153,6838.12185547081
154,6744.46272595128
155,7555.95127508042
156,10081.3322935555
157,7424.42235152622
158,7289.41366783893
159,7579.52351694282
160,7312.88732410035
161,7355.33227893991
162,7351.18865786571
163,7601.3245823979
164,8178.34665093908
165,8070.54199147803
166,10697.0854976352
167,10573.741377459
168,11507.2501311903
169,11493.5155650637
170,11730.3834062908
171,11989.6206507397
172,12302.4454210234
173,23627.1678256094
174,10238.9702945198
175,11860.738168972
176,10242.5820676412
177,10557.2953502726
178,10385.6574692106
179,19934.8683336241
180,20137.4584502213
181,20091.6310048371
183,8515.19086862325
184,9113.82073960205
185,8689.16971056092
186,9293.78080111016
187,9489.26040518239
188,10414.197749885
189,10598.7167733582
191,8762.18478704271
195,15742.7107592375
196,14394.1045349778
197,15816.3114180536
198,14406.7816147811
199,19239.9060207318
200,17703.199285269
201,17811.2538030544
202,21764.549812266
203,20680.3222717039
204,22485.5824165711
205,19922.743305274
