,Predicted_price
4,13370.2638579848
5,14660.1096156726
7,18776.1852682255
9,21673.4034007849
11,14386.8232625773
12,14379.3828390642
13,19090.5495147956
14,19115.7291613444
19,4601.00199974877
20,5720.142724415
21,6021.48992489059
22,5781.79226753583
23,6826.74070385219
24,7796.17875043661
25,7019.04713000418
26,7524.58215140542
27,7524.58215140542
29,10507.8445715509
30,11067.1519988813
31,4708.10686988058
32,6540.69097415649
33,5610.4154102212
34,6373.9838560712
35,6353.72386647352
36,7425.73035952651
37,7443.70881144377
38,7699.93718291673
39,7602.92556884372
40,8471.79753106399
41,7857.96793534746
42,8813.96294725249
43,9222.54761018482
48,31831.1405794365
51,6527.29512056499
52,6876.61196110575
53,6869.22726976414
54,7774.10303750967
55,7784.72697516001
60,8932.49637042267
61,9810.77405160551
62,8932.49637042267
63,9810.77405160551
65,8876.47329835694
66,16303.0516502161
68,26681.2399557975
69,27483.2098590248
70,13960.8071225311
71,31143.2430004388
73,34172.1355091974
77,6102.63645739631
78,7240.29241255239
79,7143.2672905275
80,8226.13403723328
81,9629.52147153397
82,8949.30681366628
86,9491.14198821262
87,9379.80177158492
88,10272.9359575644
89,9319.08889141923
90,8098.41692556621
91,6307.70226121901
92,8039.38311807309
93,8045.96039569775
94,8142.63736238527
95,7973.24501793047
96,7176.73790433358
97,7979.71447775031
98,8115.77659170368
99,6655.08114104857
100,8293.67860079469
101,9121.89912293839
102,16374.4967609963
103,16085.6322668959
104,14969.9716860731
105,16138.9167832138
106,20374.172311878
107,19784.1214798387
108,16576.3344347602
109,18249.3403813302
112,15784.9947963623
113,17694.0538426608
116,16116.9112130826
117,17694.0538426608
118,19974.137018298
119,5741.20028288057
120,7806.94814618943
121,7071.7439233438
122,7956.53683365756
123,7667.7572160811
124,9855.08174430731
126,19673.8526014537
133,13015.4898251468
134,13319.4226308605
135,11630.3434630778
136,12978.901684729
137,17389.5849068598
138,17944.1667870188
139,6433.95942160757
140,7297.71260294271
141,8028.10192814267
142,8069.16368867041
143,9067.76848826318
144,9059.13678606544
145,10015.6607343411
146,10978.0929728205
147,8623.03260964819
148,9467.73866369612
149,11987.1858448785
150,10286.3126788326
151,5845.23880693396
152,6528.88133435083
153,6540.41463516685
154,7384.33477847274
155,9155.74408213921
156,7513.7005297288
157,7658.59208228765
158,7044.94796893124
159,7722.21198826464
160,7124.35045745638
161,6458.51832073873
162,7280.59067301174
163,7833.63298689509
164,9237.56636518754
165,8360.67629023966
166,10239.6029252914
167,9173.13659086467
168,10088.0959722965
169,10100.8399976872
170,12268.9424724184
171,9664.37709522952
172,11546.9354645681
173,17669
174,8505.85655368332
175,10522.2623832178
176,8010.14776458932
177,8819.08722137225
178,7922.83976920046
179,20008.3096091524
180,21815.0464297815
181,15502.2674504713
183,8933.88291552536
184,9590.08216327424
185,8681.09068989919
186,9299.3947837384
187,9132.11383202827
188,9076.72443525954
189,10229.1307871123
191,9812.7063492099
195,14438.6045657329
196,14301.3601394088
197,13268.2522238097
198,13233.8978234876
199,19164.3491801474
200,19035.941683376
201,15426.414931542
202,25468.6573151989
203,21327.4655180753
204,18027.4295630244
205,23685.2080405964
