,Predicted_AverageOzoneReading
5,4.51858367568381
6,4.80026155939192
7,4.26822431760851
8,4.56334810222239
9,6.14182254728149
12,5.17653892031943
13,5.7313825038119
14,4.34218690415397
15,5.01264784396842
16,4.82975647161262
19,6.17711546831733
21,4.47192115154924
22,4.72934718121122
23,5.2081308409417
27,5.77813695374058
29,4.97994273939693
30,5.48240445176941
33,9.23239105784761
34,7.78567536362929
35,5.41184951985045
36,3.46789011185938
37,3.31180594130016
40,4.19484787608104
41,5.19691773161588
43,5.13717150486616
44,7.55419591902587
48,10.2992601057978
49,16.7898706652518
51,4.47734537987389
54,4.94125810704621
55,4.74041146298389
56,8.07463047150696
57,9.34718151854223
58,9.44065101078691
61,3.97652205646745
62,3.92574450403214
63,3.37804135051387
65,4.8694520774573
68,5.79859251390281
69,6.32086337304036
70,5.43899226366348
71,5.47244641336088
72,7.07427263478902
75,14.4217170723967
76,8.17840224527614
77,25.117089099671
78,13.4361297138719
79,7.3585214248802
82,9.27947640120628
83,13.0089622636622
85,8.50859011553927
86,9.40796736700485
89,7.18804677016674
90,7.46434682383868
91,12
92,5.42554768574632
93,11.7786130621829
96,4.5317689122361
97,4.39001839692952
98,9.42997751398723
99,4.84748821633902
100,8.40945795971778
103,5.33775051463571
104,4.71370550582283
105,4.20172127666086
106,7.47669520064234
110,18.235214527809
111,25.5860253707358
112,20.8266015954314
113,6.90529410222922
114,12.4323645804357
117,10.6688480229934
118,5.95548826632084
119,6.77742488593776
120,16.7178131914389
121,22.7764019328505
125,11.4469763371354
127,5.1011547194881
128,7.631917621808
131,21.6145489178562
132,25.3157156279513
133,27.542349717121
134,28.798162102962
135,32.5099477192589
146,7.13185286107293
149,9.52192329320288
154,13.7313608923567
155,14.6423727617201
156,12.1411741430146
159,7.55796372918609
160,7.81255972600498
161,6.49970259157206
162,5.90741504549688
163,7.53325376731272
166,25.1509600113355
167,33.4451371027043
168,14.4427040677045
169,41.5269576975412
170,-51.3484883904385
173,18.8501164605254
174,15.3372250931668
175,13.2126692677905
176,15.1702939912873
188,33.6475417936245
191,-35.1859511646962
194,17.0638181505885
195,13.5736788982948
196,17.2219693533633
198,7.76940818449279
201,18.4986784495955
202,32.0698773527116
203,36.9634751882689
205,19.13311739735
208,31.1729262938986
209,24.4605570473712
210,18.3672863688316
215,7.83058343852509
216,9.09049496856093
222,18.2954040607958
224,22.3423223512185
225,18.6009596027972
229,4.79943275363343
230,8.04436164098863
231,6.52772140947108
233,10.8984952509399
237,22.406475002174
238,33.284926551881
239,26.9231846100018
240,49.338151219191
243,28.2988860984701
244,-28.6725719115991
245,19.1608484214391
246,18.0766894750013
247,18.5502205559112
251,26.7995671337299
252,15.6933333784929
257,19.3086807821019
258,23.3099575836174
259,8.12092345928924
261,10.3443367643535
265,13.8770125545087
266,18.3186855380945
268,12.4875928163633
271,8.54580682734188
272,12.3226343775656
273,7.31086497356227
274,5.61161195013145
275,5.24128634925575
278,19.4588562892598
279,24.3212651244865
280,14.9152169309715
281,25.1806104423029
282,13.2489350302514
286,13.5220195914632
287,20.6288750700824
288,18.8953756798253
289,12.4525476953176
292,11.2760012098582
293,20.3314371959747
294,7.82041375984545
295,8.57617192858685
296,8.87691306871995
301,5.92357323419305
302,7.37952904828893
303,8.65648276752326
308,8.96060501092339
310,5.2910400982768
314,10.8201674751799
315,10.1013244559003
316,4.86951560746949
317,3.54511936342054
320,6.03300756018983
321,5.36033984437974
322,9.53446033001716
323,6.40640671541913
324,9.73047012939809
327,9.75450728897357
328,8.57899871051085
329,7.85311353484206
331,5.68418068853968
334,4.69349111656137
335,5.46743275986016
336,3.19579548709154
337,4.1559784624115
338,4.59258998874225
341,3.13923598619523
342,4.1317392413781
343,3.88323124912611
344,4.31773411633159
345,4.5522682365527
348,3.73658151358802
349,3.87956033206251
350,3.63494272542369
351,3.38936461739364
352,3.70485370016083
355,3.62518826576711
356,3.26130271656053
357,3.43319260983981
358,3.42575693931062
362,3.3364376710327
363,3.63120202617345
364,3.64140521151704
365,3.06822041704786
