,Predicted_AverageOzoneReading
5,2.98023836229243
6,6.72298770354741
7,1.83188656596049
8,2.73610356551176
9,7.44253390052512
12,3.14039310682353
13,7.02590228022445
14,3.55086541921428
15,6.95464674004786
16,7.34057315767448
19,7.90566396028214
21,3.71975647852728
22,2.13938040665666
23,3.67859473598915
27,7.87312544587739
29,4.00639470458433
30,8.70447832361581
33,12.9026729739629
34,5.4192325338783
35,4.08008810804338
36,1.25569801825643
37,3.3459357401014
40,4.35712783364256
41,6.14368703936657
43,3.31096810433269
44,12.995438098652
48,11.7024487708911
49,15.7834441598145
51,4.145176399463
54,4.17499539719703
55,2.71535242270989
56,11.738489986075
57,10.5845733074179
58,17.9641868481729
61,1.67831830866686
62,0.808910230265322
63,0.0283537648530708
65,4.95638146830492
68,4.53614541303377
69,6.45093153012451
70,5.00550453393592
71,5.12777762613592
72,8.48849668121447
75,18.9449006237964
76,14.3846643638494
77,18.7695248265607
78,13.0406039963736
79,7.9449844400538
82,14.0765449923978
83,15.7319952750531
85,10.5949288210805
86,9.05224449143976
89,10.2819585844211
90,13.1570086843247
91,8.78944310952992
92,5.23807187312194
93,13.1074759336939
96,2.95709329656114
97,5.59374786552298
98,13.6719175097721
99,2.61405362589127
100,11.9350570718191
103,1.92125420079722
104,2.89216687160105
105,3.52352426401186
106,6.26686655745874
110,16.4432268399578
111,22.4396913676146
112,21.0404365518533
113,4.95151278405757
114,13.8628041741482
117,9.23511644177922
118,5.69463280736294
119,5.13086217021452
120,17.4044312575941
121,28.9647766328057
125,12.0743347501303
127,6.42585818397724
128,10.9590712341137
131,21.828067525723
132,24.552872021772
133,20.4878807999066
134,26.9223705135551
135,26.2334697096159
146,8.15699164302709
149,10.4126669867245
154,14.7643693445185
155,11.1555936102438
156,13.8470909269527
159,9.18682628724046
160,7.44659755377603
161,5.5585611133483
162,4.99322357028931
163,10.4618486424777
166,24.4176276646625
167,23.9359092871097
168,17.4678254538175
169,16.8601030624719
170,26.853151530897
173,19.8311883835412
174,14.9946993227566
175,16.4600367861311
176,18.5750560631306
188,36.9826904872303
191,37.7153612858926
194,15.5179463840299
195,18.9915950381723
196,22.62016647752
198,15.5329583282516
201,18.6493548078615
202,25.0204214686586
203,27.2211632104984
205,19.1849154993552
208,20.1228936197755
209,24.4113497012845
210,20.3935563882612
215,11.5944914764912
216,8.6557644812625
222,23.4654133731108
224,26.5882430154669
225,16.6658520131208
229,6.26880510559672
230,9.54578870520122
231,7.18498899997349
233,18.8927331999971
237,20.5923686065204
238,26.615079491528
239,21.5565329062515
240,32.6239833699362
243,35.6238097268841
244,24.9072197907697
245,21.2846120611575
246,17.2279178722677
247,16.3871162188394
251,23.3703926844295
252,17.6276103819677
257,20.9694937333032
258,20.6472212828746
259,8.42048313729142
261,8.59724491938624
265,17.0222404437325
266,14.7179080007816
268,13.0575790222508
271,12.9814968805442
272,12.455913395523
273,8.62074988568567
274,7.67087935735367
275,3.93721788985888
278,17.018555999949
279,21.1383766866102
280,25.3056380322896
281,21.9540173717476
282,13.8423077705354
286,12.8053450910118
287,22.0311796578916
288,19.3782109143052
289,15.0410853977845
292,10.5246232068039
293,15.3132952288738
294,11.117120544315
295,10.8602163871843
296,7.50297136056571
301,6.56802365693934
302,6.33122133445004
303,9.77855575601987
308,8.64640296662718
310,6.93832188513323
314,12.8458548528895
315,11.5705158376191
316,3.11422390471935
317,0.0709027969884065
320,5.91176686375702
321,5.88345043557783
322,7.9902472361316
323,6.04358342766059
324,9.7918365263362
327,10.1060472551629
328,9.27068649393912
329,8.35262129059513
331,1.26762455723659
334,3.0091693027983
335,6.65695927776153
336,1.70240093544607
337,4.44457049056401
338,5.29423943773796
341,4.91236481560964
342,5.65193653080211
343,4.23709274823483
344,4.63356834198259
345,7.96816793630052
348,3.65095544715134
349,3.61201351881718
350,5.15075468907473
351,2.61992382286057
352,2.2018505393542
355,2.87496210248954
356,1.54714942342018
357,1.4195576446584
358,1.41504335556275
362,4.31859955782603
363,2.038143545782
364,2.29618461676195
365,1.96484903014652
