,Predicted_AverageOzoneReading
5,3.87495480902454
6,5.34844187058736
7,2.54637346900249
8,3.21003986659202
9,5.38379977116525
12,4.57182715216528
13,6.70086870227897
14,5.33005513239101
15,6.14009402917664
16,6.74099643614258
19,8.41999706115981
21,4.80794541308353
22,3.31173381261134
23,4.38939779439936
27,8.03789671678558
29,4.38230655270908
30,5.79961391400162
33,15.0071530316033
34,6.89717787948505
35,4.78428343713822
36,2.45371607954719
37,3.62653330426803
40,3.54564234981303
41,5.48965118317077
43,6.50792594200475
44,11.8116657064462
48,10.7153850834009
49,15.5638320275619
51,4.6539038298974
54,4.33008147357634
55,3.05845276471619
56,12.2556957956984
57,11.7438591901088
58,16.0217057632477
61,2.5010737359987
62,1.06381365901555
63,0.423201819458406
65,5.72939807174432
68,5.18065515679091
69,5.59746695108416
70,4.9641660709565
71,5.61570405396531
72,9.78259193858714
75,17.0817275431938
76,13.3449751570169
77,18.7983696161997
78,12.6954531891108
79,6.4616945537962
82,12.7240665727134
83,12.1462507501145
85,10.6107324755854
86,9.83498776823541
89,9.34725698845543
90,10.2688302575188
91,6.6677441769754
92,6.25768666893089
93,13.292346049875
96,3.44936852682626
97,5.12106308666362
98,11.9903577523805
99,3.49218331134692
100,11.0077144702708
103,4.231952712057
104,3.53168405033525
105,5.08265223762123
106,6.03875299390621
110,15.4266713452066
111,20.2881760545621
112,21.0221473280751
113,6.64772380911546
114,13.2669902119779
117,10.5331259067285
118,7.01414578157126
119,7.3103260356999
120,16.0878882368691
121,21.3701185093824
125,12.2431074033303
127,7.47466751941672
128,11.3438891922214
131,20.2479846441202
132,23.3613494174194
133,27.3155545253663
134,28.7421000137273
135,27.2405888270565
146,9.32695252256659
149,12.3564398930213
154,16.5291854502316
155,12.532838745897
156,12.6192582117792
159,8.81447349257783
160,8.14624355899896
161,5.87071238880048
162,5.74836519406981
163,10.0645896871306
166,25.3188894136315
167,22.8284920953459
168,17.4358308996992
169,17.0679609859406
170,23.7653390655226
173,18.6465859423013
174,14.2810177345489
175,17.1070754196063
176,18.050288484212
188,32.5928353535318
191,30.1986124084549
194,18.5834575761407
195,18.1116844829109
196,24.5645499759987
198,14.8812301535063
201,18.2049319113184
202,24.0854377866408
203,28.1527592197754
205,19.0819872603392
208,21.2448348526035
209,23.4392453160529
210,22.4207521822167
215,12.2632724472481
216,10.1589973594592
222,21.6798830102798
224,26.6633817955974
225,22.4272922994286
229,7.89053435199496
230,10.5377718174681
231,8.59701448054142
233,19.7256675882979
237,20.5366776304182
238,26.0207696102475
239,22.8772132925983
240,32.0491544269522
243,29.3323337732534
244,23
245,20.7383303253305
246,18.5015841486626
247,15.9837768362038
251,19.7738399981611
252,17.3230015452053
257,17.9714730772184
258,20.5798316206391
259,8.2219669547318
261,8.25624256514998
265,16.0281077561123
266,15.3452236733837
268,11.0608552721615
271,11.6172843025953
272,11.6986138424586
273,9.16993845351846
274,5.99713985986983
275,4.42860192634081
278,15.7261021153387
279,20.3089269970424
280,23.7241889567615
281,21.0040071931856
282,13.8004820695963
286,16.8259990344738
287,21.5215523447874
288,20.7043324164803
289,13.3639707340473
292,10.6217541566391
293,14.5424054231916
294,11.8433737473104
295,12.5395320825725
296,8.35065930817787
301,7.0597133274613
302,7.76473064179334
303,8.68640349500781
308,9.70719333798433
310,7.25370391141279
314,11.142562532173
315,10.8260759706557
316,3.69534519479488
317,1.17236772012087
320,6.44449496270053
321,5.93996454196342
322,8.87786299371679
323,6.64021296903342
324,9.65378439226675
327,10.745537821537
328,9.78599655201398
329,9.36221153676115
331,2.72069264231146
334,2.58395771381348
335,4.4682613119034
336,2.99642164892759
337,5.51983350897441
338,5.21069468999564
341,3.97378951684447
342,4.7537137300058
343,4.59222285365536
344,4.71083725579235
345,6.47659088505775
348,3.8716380539515
349,5.23794474899073
350,5.1680785904887
351,3.62099518401326
352,2.95355386310922
355,4.18665564599338
356,2.46407669305578
357,2.20106788386042
358,2.45645957713756
362,4.45142947707573
363,3.48867536347733
364,3.278477843396
365,1.85980783368686
