,Predicted_TipAmount
1,2.67634324145336
2,2.43248398959657
3,2.98511560945736
4,3.14482332213534
5,3.17087139575264
6,3.30649625782598
7,2.35663991323003
8,3.43531895583621
9,2.63428049865234
10,2.62147368670225
11,2.41759762746362
12,4.17948855674868
13,2.65322485417269
14,2.84603549523963
15,2.57035707427339
16,3.00334778941533
17,2.38597118669707
18,2.71251006912515
19,2.6899455268856
20,3.13939847925003
21,2.9408566534096
22,3.02046315153274
23,2.75243004971758
24,5.47592352581409
25,3.06293112502225
26,2.96949631472055
27,2.6846270095249
28,2.65011911769857
29,3.19412298184434
30,2.9793822554913
31,2.50163527438921
32,3.00385333086523
33,2.71459108695136
34,3.0849173076484
35,2.93224547906576
36,3.39893847352042
37,2.86132269100055
38,2.83278735671526
39,3.00740438258529
40,4.11892147961307
41,2.84564179053138
42,2.75977092133674
43,2.58093570341479
44,2.39324846727441
45,3.75959180588645
46,2.80561029105634
47,3.04575840731585
48,3.97265669649317
49,3.55600978716888
50,2.79164379310213
51,2.51608849310912
52,2.37285121458725
53,4.12416226488403
54,2.40391789023534
55,3.3276864238568
56,2.87464263493182
57,4.53969325918687
58,3.47920109137853
59,2.40796491152602
60,8.36874003428888
61,2.85114253894774
62,2.5191636401499
63,2.39890038313101
64,2.77055851493541
65,2.93807652468004
66,3.09983270036847
67,2.78967252980188
68,2.06808840939205
69,3.09061495379119
70,2.57468000884253
71,2.61697549180988
72,2.84082347692181
73,3.20701030364032
74,3.09514420428446
75,2.69735586932685
76,2.54523495103631
77,2.72004241075282
78,3.62329754220226
79,3.20795096901097
80,2.85109942833152
81,2.75473960955083
82,2.8150335385715
83,2.42591494498071
84,3.72339052417061
85,2.77711543716621
86,4.35708532422962
87,2.62379301049351
88,2.90967990996705
89,3.35777233222756
90,3.09465357786377
91,3.35989316813802
92,3.16210817194746
93,2.12226364590581
94,2.52652041289774
95,3.10238163466489
96,4.67996101406376
97,3.229109037924
98,2.38972508649083
99,2.82162573014031
100,2.57873710072308
101,2.31883358770629
102,2.48443434472912
103,5.39407018981316
104,2.9113222553827
105,3.06202384880571
106,2.59133618208239
107,2.86278642749952
108,3.16813414295761
109,2.96073054348724
110,2.49169293943567
111,2.71740933307553
112,2.34676306781652
113,4.68801715383075
114,3.16398593496172
115,3.23191528179404
116,2.69279282455493
117,3.71279675827421
118,2.46277203879235
119,2.54226434333866
120,3.26595826779374
121,2.55960304354805
122,2.58873770790872
123,2.68561436240913
124,2.77546609303939
125,2.54457143858174
126,3.82665138146946
127,2.41957008897321
128,2.64240885986132
129,2.49476368981545
130,3.23346844863044
131,2.95880596069489
132,2.96358677494849
133,2.4854757710551
134,2.53445141639898
135,2.84279978880592
136,2.37354516984456
137,2.44900552033064
138,2.62410916684897
139,2.58032849417945
140,2.57636884994792
141,2.79797915379655
142,4.51906612576948
143,5.74146021468102
144,3.55947520557363
145,2.74108591898589
146,2.36713306933548
147,2.8816504017084
148,2.5167078244319
149,2.47335435658834
150,2.37811736918093
151,2.58712724068558
152,2.54301543820925
153,2.76439038747763
154,3.24977918960594
155,2.92561899666956
156,3.62555137660717
157,7.39796557385843
158,3.20055026166765
159,2.50424319815856
160,2.73819865358317
161,3.03519373769443
162,2.52151886464527
163,2.65128448331323
164,2.57477373068046
165,2.51547364525407
166,3.22623037849174
167,2.95150091663127
168,3.89647301338901
169,2.3371716791968
170,2.33873119967086
171,7.63292337352064
172,2.6130705781904
173,2.1608578226754
174,3.48053384529869
175,2.53473692058408
176,3.57369014288539
177,2.58473964146021
178,2.43185328935565
179,2.20283769302848
180,3.73855454171663
181,3.79829148396971
182,2.87287208150908
183,5.29135935964209
184,2.89720010435651
185,4.43937625207717
186,3.00107652774571
187,2.69304283091304
188,3.43488409360596
189,2.55792167216545
190,2.8761071157949
191,2.48398866609132
192,2.71507169339913
193,3.34654662340045
194,2.55586734723871
195,2.60817041027274
196,2.38013603874187
197,2.33688968952461
198,5.04907756952286
199,2.39872130546526
200,2.4672580533058
201,2.73085565130389
202,2.38809785921804
203,2.39872130546526
204,2.54688007784472
205,2.84760884124724
206,2.563406565249
207,3.29198744168314
208,4.64805869302078
209,3.10223700474112
210,2.42489256652856
211,3.58401045455491
212,3.26020944731973
213,8.39882086398902
214,2.44647315574198
215,3.32844209560736
216,2.43077864591646
217,3.46528491928056
218,2.42252778682396
219,2.27141991442449
220,3.51670400016571
221,2.40666829033888
222,2.41273339942191
223,2.25693038259345
224,2.72798238663576
225,2.45987419633089
226,2.53717475779726
227,2.28195933104672
228,3.14537761777606
229,2.6800082775057
230,2.89329768922842
231,3.1236487553693
232,2.62112612308094
233,2.59709934300358
234,2.55730597423173
235,2.59950432616439
236,2.52506461121598
237,2.46555719647615
238,3.82714691632836
239,4.58296730297494
240,3.86459274500804
241,3.23065869355726
242,2.99616026536593
243,2.93470066446113
244,2.85652617299675
