,Predicted_TipAmount
1,2.7157635548895
2,2.23948418823797
3,3.24976679124767
4,3.32023301549432
5,3.80004730910899
6,3.83735718283208
7,1.90848853462509
8,3.9879053870294
9,2.50215975495038
10,2.47754180960994
11,2.05051514235842
12,4.81032991211869
13,2.53813982890949
14,3.18782216346501
15,2.51124523975351
16,3.12139576466767
17,2.26750655407221
18,2.80285639891348
19,2.89621100430505
20,3.15062945739985
21,2.70979989380654
22,2.96317114391098
23,2.53519763260791
24,5.11019687968815
25,2.88970026360208
26,3.06406688427675
27,2.27898585034879
28,2.21460045484302
29,3.06770694529451
30,2.90257312461143
31,1.9172914226546
32,3.11519646306075
33,2.46797170494747
34,3.36572718101053
35,2.69654407708476
36,3.47350327898027
37,2.73969913902477
38,2.827372680107
39,2.96504802329497
40,4.15617784015177
41,2.71413434963277
42,2.73129601542681
43,2.39800690927928
44,1.99465134331664
45,4.32119449317693
46,2.80988407170591
47,3.18294062801877
48,4.51056330348802
49,3.9636872061205
50,2.78621297041703
51,2.26544874206151
52,2.08137804034732
53,4.76772192979869
54,2.01926928865709
55,3.86292197222407
56,2.92350535789257
57,4.80070386337418
58,3.54263970346294
59,1.90132006232283
60,5.94815386531475
61,2.75821392898054
62,2.14465898357259
63,1.88048949318861
64,2.93352739370677
65,2.86089517762387
66,3.09665934646119
67,2.59958302811368
68,0.974376544569136
69,2.92852086971586
70,2.25828026975925
71,2.1511619033888
72,2.84062849682878
73,3.40925968073829
74,3.25965832059253
75,2.43672585124613
76,2.00818845160393
77,2.5338118887619
78,3.93831757008441
79,3.15323653615645
80,2.6353128399556
81,2.66289630599539
82,2.57566166470761
83,1.79831950709968
84,3.91651783025485
85,2.51127626920184
86,4.68972879130704
87,2.23195727399297
88,2.7290504010596
89,3.33787112620977
90,3.00174148790758
91,3.82102220555078
92,3.38345526518747
93,1.65141952772475
94,2.65223369021889
95,3.43704242041371
96,5.24616981833025
97,3.66100556083791
98,2.21706838221579
99,3.06733434051262
100,2.43377068147732
101,2.18165219659582
102,2.56323034937268
103,5.24289684416971
104,2.98886092184766
105,3.02282231915898
106,2.29141981156369
107,2.77715081001165
108,3.22406120234584
109,2.74009890345632
110,2.22097039603616
111,2.33863702559679
112,1.54614536316397
113,4.86508274320132
114,3.34579780488632
115,3.72375270536454
116,2.74606256453927
117,4.27669282275382
118,2.03557759960856
119,2.20411584078543
120,3.6718714358849
121,2.10508017108453
122,2.29785340188943
123,2.34841909233429
124,2.50843573704717
125,2.20885006104321
126,4.57814850841195
127,1.80493060674145
128,2.40200624756053
129,2.10469721537211
130,3.34125873798445
131,2.80479792518404
132,2.94644157720493
133,2.08481349028944
134,2.18801949190899
135,2.75612592284228
136,1.83295297257568
137,2.00527858995878
138,2.36697301765298
139,2.3371819522603
140,2.27323545654898
141,2.6813252427694
142,4.97525912172613
143,5.44529353572919
144,4.3177663942342
145,2.58285346140763
146,1.8178034677508
147,2.97444713432005
148,2.15109257389833
149,1.92423295723744
150,1.70929935753434
151,2.4103158819495
152,2.32131254110329
153,2.89470027191436
154,3.76729072301697
155,3.31469926637345
156,4.48042841774583
157,6.36841864782835
158,3.83886791522276
159,2.37489969632952
160,3.00413441746325
161,3.47850328729255
162,2.27681087068018
163,2.82425085638683
164,2.38569793660906
165,2.58901144052574
166,3.58210905334364
167,3.04375455244012
168,4.4452310639307
169,1.86874440885752
170,1.87253178506374
171,5.83032311184654
172,2.33402779388369
173,1.58858023374402
174,3.9178166005705
175,2.49470999108261
176,4.01723522598383
177,2.59602230459905
178,2.27314848301863
179,1.84005779574535
180,4.18103924690293
181,4.54761521004336
182,3.11110546864523
183,5.37839720768907
184,3.46063823885767
185,4.74157092542377
186,3.58415005663522
187,3.09233271152171
188,4.33322868996028
189,2.83195059734395
190,3.27166919297812
191,2.38771661325684
192,2.72689874578874
193,3.51505595239532
194,2.28794606157942
195,2.39209890725052
196,1.71403357779212
197,1.8012682190799
198,5.29772766095033
199,2.08209794667945
200,2.10141778342299
201,2.7761178277505
202,2.05748000133901
203,2.08209794667945
204,2.40402492420832
205,3.13078458265226
206,2.59299397008787
207,3.53706681897916
208,4.86887663508618
209,3.13505786149963
210,2.07420956804506
211,3.86562170486891
212,3.65312887288894
213,5.95383492962409
214,2.12249861467439
215,3.71563738901072
216,2.08746538476684
217,4.04945676605914
218,1.93445960412727
219,1.56992464427841
220,4.08450680468581
221,2.24604864738434
222,2.39432020776613
223,1.72473733940882
224,2.99504142752764
225,2.36535099788033
226,2.66417076245944
227,2.07902113859815
228,3.3140337138874
229,2.2704642538848
230,2.96045560030099
231,3.47512219119651
232,2.50500680278368
233,2.11234129727503
234,2.03280639694437
235,2.30751616044013
236,1.96652731333549
237,2.03009085333438
238,3.94555636963112
239,4.61690793754687
240,3.94408477260334
241,3.43955869038807
242,2.98356281325075
243,2.70033145329099
244,2.78869052102484
