,Predicted_TipAmount
1,2.65894967163232
2,2.43036021796549
3,3.13579314304646
4,3.18339895829695
5,3.65803582867761
6,3.79685678128264
7,2.25491842726975
8,4.00669310623619
9,2.57015032342855
10,2.55533697273497
11,2.32308321947374
12,5.53073799095893
13,2.5921121859293
14,3.09706096925677
15,2.53275796586963
16,3.00890055719985
17,2.40690779386494
18,2.77897473170191
19,2.79432375372456
20,2.70304653579783
21,2.42701124459983
22,2.52913611955337
23,2.30094911571653
24,5.29862360608942
25,2.52814608839144
26,2.65818433354641
27,2.21483452863941
28,2.18626998803495
29,2.63686919532329
30,2.49411405530911
31,2.06338816948631
32,2.69170241489706
33,2.26879519696422
34,2.815831661448
35,2.41987833683083
36,2.93797124333097
37,2.45336904762976
38,2.46216475267928
39,2.58427259433267
40,3.59940577988299
41,2.43935142801959
42,2.71673708661714
43,2.50862412836612
44,2.2957858121841
45,4.56524874527024
46,2.77094043893435
47,3.06083243163785
48,4.95795741214345
49,3.94495184933251
50,2.75438786454485
51,2.43445243785695
52,2.30302590022287
53,5.41384863634235
54,2.30773570576882
55,3.83092622330086
56,2.85324438553701
57,4.8915694177516
58,2.92140999860028
59,2.11214581622785
60,8.93225270271498
61,2.53201268492346
62,2.21652222836703
63,2.10366580206276
64,2.66307435348848
65,2.52207658361593
66,2.66739413154161
67,2.33261061139125
68,1.76477806577488
69,2.55108560742285
70,2.26887468912651
71,2.1588370881292
72,2.46954950842312
73,2.92508905748274
74,2.8123339252629
75,2.2541543521465
76,2.09946548048454
77,2.40672347521363
78,3.48571571985264
79,2.760985682284
80,2.44115502307388
81,2.53508562607094
82,2.40901481875262
83,2.02186787633562
84,3.57646120541894
85,2.37526022900886
86,4.45202769428201
87,2.23915032830635
88,2.49343087754078
89,2.8962581090478
90,2.65908217118277
91,3.51037701596597
92,2.96198948046398
93,2.03986973046466
94,2.5092098201873
95,2.947436730103
96,6.62594739230709
97,3.33855746656014
98,2.31575043218371
99,2.82547105585514
100,2.35503617600358
101,2.26425196374175
102,2.45889702720883
103,5.80777073479763
104,2.6288997716188
105,2.56458504801136
106,2.28461323103736
107,2.54318510086976
108,2.83880129130125
109,2.44347400824637
110,2.2185634273396
111,2.24197300533049
112,1.89786300346658
113,5.85131338316324
114,3.20731391256717
115,3.54549352890145
116,2.67872214577254
117,4.48182485521446
118,2.12238926819028
119,2.19430352500993
120,3.14590244499483
121,2.18234555629588
122,2.23645030502198
123,2.2939587401407
124,2.37379282899802
125,2.19639402520006
126,4.32030104786272
127,2.05878844247348
128,2.28522036341182
129,2.15130425442033
130,2.91311229851582
131,2.53733840338256
132,2.5792282342307
133,2.14290583671098
134,2.18722549443691
135,2.46822299468841
136,2.0419341282044
137,2.10995781086414
138,2.26858021474083
139,2.35678827273784
140,2.2252254723505
141,2.42716627319462
142,5.30489727106361
143,6.79683466193989
144,3.91662587018084
145,2.37515493061691
146,2.03616317514329
147,2.60783573236364
148,2.17115892948128
149,2.1061855845115
150,2.02230853214316
151,2.51574147651284
152,2.46516904649113
153,2.84551592819873
154,3.70651372049945
155,3.21272583876217
156,4.77677326703268
157,35.5833928282093
158,3.70625731946168
159,2.45508047872735
160,2.94363170262404
161,3.3754786060771
162,2.44063771424488
163,2.74377481604033
164,2.50154693834806
165,2.66630714174862
166,3.46681649283497
167,2.94584763479377
168,4.81505920921438
169,2.07033590289425
170,2.07182432799688
171,8.94567070331066
172,2.30517222371819
173,2.17327812027375
174,4.05305387727419
175,2.6517186213254
176,4.20842285158881
177,2.71863546479979
178,2.51627023695072
179,2.25392538295995
180,4.4921444786377
181,5.38647132289733
182,3.11877046700612
183,8.99114774080113
184,3.50581767988459
185,5.83926664586795
186,3.51015651936062
187,3.05578134659881
188,4.91146235299456
189,2.84815082018173
190,3.28686872131042
191,2.58453528000971
192,2.53051379476846
193,3.16067297577586
194,2.33199551280499
195,2.38507112133202
196,2.02408402614152
197,2.11234650650224
198,6.39957483592972
199,2.20141189949103
200,2.24261914236205
201,2.61504030476409
202,2.19053517465855
203,2.20141189949103
204,2.35427801371355
205,2.87173840830581
206,2.46452379003356
207,3.10659111576796
208,5.04573169739018
209,2.77457214895964
210,2.15429725586358
211,3.42707844893083
212,3.23023209588504
213,8.97397520715858
214,2.17502795265665
215,3.20397734347115
216,2.1599485814564
217,3.68220923674177
218,2.12577855825077
219,1.98485585147219
220,3.61495447233407
221,2.13013409823259
222,2.16241526382256
223,1.92713763610383
224,2.39022356434672
225,2.18091369187862
226,2.2845555500772
227,2.03527594395006
228,2.83050028253907
229,2.21101114410551
230,2.61103566344784
231,3.06857259556504
232,2.40122235173813
233,2.14238674908099
234,2.1094545610018
235,2.29233671540752
236,2.08277468796607
237,2.16612414084485
238,3.4945816597221
239,4.12902815231468
240,3.36410588285055
241,2.94903557343006
242,2.67168194836746
243,2.42191202864162
244,2.76332841851381
