,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,1,0.234374795878666,0.765625204121334
2,0,0.706638718456148,0.293361281543852
3,1,0.178561721283608,0.821438278716392
4,0,0.747748605639033,0.252251394360967
5,1,0.205273525347402,0.794726474652598
6,0,0.795441029885921,0.204558970114079
7,1,0.341469820377948,0.658530179622052
8,0,0.784396202349826,0.215603797650174
9,1,0.389839594494353,0.610160405505647
10,0,0.822094273892443,0.177905726107557
11,0,0.839519439417636,0.160480560582364
12,1,0.274234815139212,0.725765184860788
13,1,0.2278929339039,0.7721070660961
14,1,0.230473499985097,0.769526500014903
15,0,0.831898752654295,0.168101247345705
17,0,0.724719548595148,0.275280451404852
18,1,0.223196502755552,0.776803497244448
19,1,0.238312363272242,0.761687636727758
20,0,0.780639128948814,0.219360871051186
21,0,0.794907061561599,0.205092938438402
22,1,0.273281005850614,0.726718994149386
23,0,0.767847288503131,0.232152711496869
24,1,0.25169544449554,0.74830455550446
25,1,0.234374795878666,0.765625204121334
26,0,0.766545660680988,0.233454339319012
27,0,0.815624042790017,0.184375957209983
28,1,0.275655373566811,0.724344626433189
29,1,0.242285891036265,0.757714108963735
30,0,0.770438385656505,0.229561614343495
31,0,0.791797370288071,0.208202629711929
32,0,0.785640219392239,0.214359780607761
33,1,0.235683303239713,0.764316696760287
34,1,0.273906819319204,0.726093180680796
35,0,0.788115691045904,0.211884308954096
36,1,0.255786405521285,0.744213594478715
37,1,0.189250966683795,0.810749033316205
39,0,0.786880051732225,0.213119948267775
40,0,0.795441029885921,0.204558970114079
42,1,0.254418906006887,0.745581093993113
43,1,0.399674203451051,0.600325796548949
44,1,0.276749874663576,0.723250125336424
45,1,0.250339510043527,0.749660489956473
46,0,0.791797370288071,0.208202629711929
48,0,0.788115691045904,0.211884308954096
49,1,0.266862963300311,0.733137036699689
50,0,0.741511775094925,0.258488224905075
51,1,0.233496610730571,0.766503389269429
52,0,0.776844710188162,0.223155289811838
53,0,0.770438385656505,0.229561614343495
54,0,0.755988228524519,0.244011771475482
55,0,0.721238279686266,0.278761720313734
56,1,0.192213915277574,0.807786084722426
57,0,0.755835303817218,0.244164696182782
58,1,0.218846214822834,0.781153785177166
59,0,0.796647100037342,0.203352899962658
61,0,0.827836231200444,0.172163768799556
62,1,0.362005257190756,0.637994742809244
63,0,0.838479246760098,0.161520753239902
64,1,0.316830814617617,0.683169185382383
65,0,0.817883638510565,0.182116361489435
66,1,0.295914211528248,0.704085788471752
67,1,0.24361833560145,0.75638166439855
68,1,0.235683303239713,0.764316696760287
69,0,0.791797370288071,0.208202629711929
72,0,0.817883638510565,0.182116361489435
73,1,0.285699363858596,0.714300636141404
74,1,0.22532870478975,0.77467129521025
76,0,0.794230713468513,0.205769286531487
77,1,0.262068267313538,0.737931732686462
78,0,0.794907061561599,0.205092938438402
79,1,0.203786060164739,0.796213939835261
80,1,0.393110308342751,0.606889691657249
82,0,0.83249537681936,0.16750462318064
83,1,0.171719675141921,0.828280324858079
84,1,0.297869601294213,0.702130398705787
85,0,0.831075131362065,0.168924868637935
86,1,0.303311654416653,0.696688345583347
87,0,0.799046474160795,0.200953525839205
88,0,0.769144867112735,0.230855132887265
89,1,0.23963289271624,0.76036710728376
90,0,0.822350628924312,0.177649371075688
91,1,0.20770340397922,0.79229659602078
92,0,0.822350628924312,0.177649371075688
93,1,0.272817881457293,0.727182118542707
94,0,0.81372070504576,0.18627929495424
95,0,0.650038316500541,0.349961683499459
96,1,0.283283273959471,0.716716726040529
97,0,0.842613698693915,0.157386301306085
98,1,0.245702663680456,0.754297336319544
99,1,0.318348605734784,0.681651394265216
100,1,0.318348605734784,0.681651394265216
101,0,0.841586665506591,0.158413334493409
102,0,0.784396202349826,0.215603797650174
103,1,0.190405735056301,0.809594264943699
104,1,0.246295053412844,0.753704946587156
105,1,0.32751875896228,0.67248124103772
106,1,0.24361833560145,0.75638166439855
110,0,0.780639128948814,0.219360871051186
111,0,0.773013200038038,0.226986799961962
112,1,0.313980840819727,0.686019159180273
113,1,0.320047245852416,0.679952754147584
114,1,0.312471977941101,0.687528022058899
115,0,0.83227077432673,0.16772922567327
116,0,0.712091534576575,0.287908465423425
117,1,0.177069724729792,0.822930275270208
118,1,0.235683303239713,0.764316696760287
120,0,0.880313159851528,0.119686840148472
121,0,0.835332355164501,0.164667644835499
123,1,0.156967315144281,0.843032684855719
124,0,0.821604081215354,0.178395918784646
