,Predicted_Survived,NotSurvivedProbability,SurvivedProbability
1,1,0.205525204181178,0.794474795818822
2,0,0.78572461547125,0.21427538452875
3,1,0.215182783832206,0.784817216167794
4,0,0.793913096978108,0.206086903021892
5,1,0.226775356501834,0.773224643498166
6,0,0.785893828069185,0.214106171930815
7,1,0.290717510238009,0.709282489761991
8,0,0.783305602767124,0.216694397232876
9,1,0.35667187426916,0.64332812573084
10,0,0.792387806849968,0.207612193150032
11,0,0.820088959916046,0.179911040083954
12,1,0.266514970975922,0.733485029024078
13,1,0.203073942269844,0.796926057730156
14,1,0.20405313924842,0.79594686075158
15,0,0.794882264277067,0.205117735722933
17,0,0.76640186465701,0.23359813534299
18,1,0.195485345877367,0.804514654122633
19,1,0.207001159051763,0.792998840948237
20,0,0.782436927089063,0.217563072910937
21,0,0.806998552252979,0.193001447747021
22,1,0.259813399672577,0.740186600327423
23,0,0.779519810945671,0.220480189054329
24,1,0.21194861732186,0.78805138267814
25,1,0.205525204181178,0.794474795818822
26,0,0.779226272049391,0.22077372795061
27,0,0.81460946038929,0.18539053961071
28,1,0.267047598393652,0.732952401606348
29,1,0.208480966139053,0.791519033860947
30,0,0.780105890343643,0.219894109656357
31,0,0.785034047402135,0.214965952597865
32,0,0.783594500848913,0.216405499151087
33,1,0.206016758782756,0.793983241217244
34,1,0.219950059110278,0.780049940889722
35,0,0.784171307591316,0.215828692408684
36,1,0.21344099104895,0.78655900895105
37,1,0.182171164354223,0.817828835645777
39,0,0.783883069051539,0.216116930948461
40,0,0.785893828069185,0.214106171930815
42,1,0.212943121548607,0.787056878451393
43,1,0.360005878088159,0.639994121911841
44,1,0.220957400033658,0.779042599966342
45,1,0.211451985428118,0.788548014571882
46,0,0.785034047402135,0.214965952597865
48,0,0.784171307591316,0.215828692408684
49,1,0.217438576827753,0.782561423172247
50,0,0.77007438474431,0.22992561525569
51,1,0.199357010928115,0.800642989071885
52,0,0.781565274746224,0.218434725253777
53,0,0.780105890343643,0.219894109656357
54,0,0.776865952415715,0.223134047584285
55,0,0.788594764064726,0.211405235935274
56,1,0.22120547308078,0.77879452691922
57,0,0.795568364494781,0.204431635505219
58,1,0.232390209815825,0.767609790184175
59,0,0.786179765055996,0.213820234944004
61,0,0.817367386439718,0.182632613560282
62,1,0.297788033851591,0.702211966148409
63,0,0.819843037634637,0.180156962365363
64,1,0.282060450701391,0.717939549298609
65,0,0.815113620242537,0.184886379757463
66,1,0.274530783840979,0.725469216159021
67,1,0.208975084677654,0.791024915322346
68,1,0.206016758782756,0.793983241217244
69,0,0.785034047402135,0.214965952597865
72,0,0.815113620242537,0.184886379757463
73,1,0.270783127446468,0.729216872553532
74,1,0.202096501962717,0.797903498037283
76,0,0.785607562943749,0.214392437056251
77,1,0.25558957753375,0.74441042246625
78,0,0.806998552252979,0.193001447747021
79,1,0.182347010350396,0.817652989649604
80,1,0.357783118887463,0.642216881112537
82,0,0.815459551873475,0.184540448126525
83,1,0.169417514450326,0.830582485549674
84,1,0.268847162192004,0.731152837807996
85,0,0.818113225086546,0.181886774913454
86,1,0.277214825187493,0.722785174812507
87,0,0.786750655490699,0.213249344509301
88,0,0.779813016973406,0.220186983026594
89,1,0.207494001923366,0.792505998076634
90,0,0.816118310009646,0.183881689990354
91,1,0.227792950645103,0.772207049354897
92,0,0.816118310009646,0.183881689990354
93,1,0.265982602898488,0.734017397101512
94,0,0.811142525715027,0.188857474284973
95,0,0.746759997434818,0.253240002565182
96,1,0.263523867490306,0.736476132509694
97,0,0.820824941545194,0.179175058454806
98,1,0.249288869361947,0.750711130638053
99,1,0.282599955654509,0.717400044345491
100,1,0.282599955654509,0.717400044345491
101,0,0.82057991162188,0.17942008837812
102,0,0.783305602767124,0.216694397232876
103,1,0.182640122408309,0.817359877591691
104,1,0.209964587590889,0.790035412409111
105,1,0.285841449429637,0.714158550570363
106,1,0.208975084677654,0.791024915322346
110,0,0.782436927089063,0.217563072910937
111,0,0.780690639957766,0.219309360042234
112,1,0.366393227453477,0.633606772546523
113,1,0.368616654203115,0.631383345796885
114,1,0.365837376085712,0.634162623914288
115,0,0.853387479691254,0.146612520308746
116,0,0.779883995728123,0.220116004271877
117,1,0.202703406703449,0.797296593296551
118,1,0.206016758782756,0.793983241217244
120,0,0.850189066645584,0.149810933354416
121,0,0.819103482085956,0.180896517914044
123,1,0.163107597077924,0.836892402922076
124,0,0.812930783324379,0.187069216675621
125,1,0.260342644215704,0.739657355784296
127,0,0.817616299427542,0.182383700572459
128,1,0.27560369928617,0.72439630071383
129,0,0.785607562943749,0.214392437056251
130,1,0.208480966139053,0.791519033860947
131,1,0.182171164354223,0.817828835645777
132,1,0.193080480403159,0.806919519596841
133,0,0.778932400073906,0.221067599926094
134,0,0.82057991162188,0.17942008837812
136,0,0.792387806849968,0.207612193150032
137,0,0.787320236005214,0.212679763994786
138,1,0.200633659478451,0.799366340521549
139,0,0.770681711657771,0.229318288342229
140,1,0.199357010928115,0.800642989071885
141,0,0.766093605094995,0.233906394905005
142,1,0.193080480403159,0.806919519596841
143,0,0.785320969460884,0.214679030539116
144,0,0.81460946038929,0.18539053961071
145,1,0.270248726110653,0.729751273889347
146,0,0.820334584495334,0.179665415504666
147,1,0.283139675632358,0.716860324367642
149,0,0.819596817401865,0.180403182598135
150,1,0.27560369928617,0.72439630071383
151,0,0.783594500848913,0.216405499151087
152,0,0.779813016973406,0.220186983026594
154,1,0.203073942269844,0.796926057730156
155,0,0.811654985236905,0.188345014763095
156,1,0.262462373228132,0.737537626771868
157,0,0.784171307591316,0.215828692408684
159,0,0.787888508362365,0.212111491637635
160,1,0.179367913622146,0.820632086377854
161,1,0.192600903988696,0.807399096011304
162,1,0.28421975477913,0.71578024522087
163,0,0.818856366505025,0.181143633494975
164,1,0.27560369928617,0.72439630071383
165,0,0.782146707334744,0.217853292665256
166,0,0.817864912227165,0.182135087772835
168,1,0.27560369928617,0.72439630071383
169,1,0.209964587590889,0.790035412409111
170,1,0.215936455639992,0.784063544360008
171,0,0.786179765055996,0.213820234944004
172,0,0.785320969460884,0.214679030539116
173,0,0.786465374123335,0.213534625876665
174,0,0.781419709551434,0.218580290448566
175,0,0.788738467972506,0.211261532027494
176,0,0.818608951977151,0.181391048022849
178,0,0.818856366505025,0.181143633494975
179,1,0.280982091755623,0.719017908244377
181,1,0.210459969150683,0.789540030849317
182,1,0.215436551849661,0.784563448150339
183,1,0.206016758782756,0.793983241217244
184,0,0.782146707334744,0.217853292665256
186,0,0.784171307591316,0.215828692408684
187,1,0.218441984850949,0.781558015149051
188,1,0.179367913622146,0.820632086377854
189,1,0.195967706191733,0.804032293808267
190,0,0.780398431267821,0.219601568732179
191,1,0.201608444022806,0.798391555977194
192,0,0.780690639957766,0.219309360042234
193,1,0.219950059110278,0.780049940889722
194,1,0.178902466768468,0.821097533231532
195,0,0.780690639957766,0.219309360042234
196,1,0.199174831670726,0.800825168329274
198,0,0.813089697328563,0.186910302671437
199,1,0.266514970975922,0.733485029024078
200,1,0.203073942269844,0.796926057730156
201,0,0.785320969460884,0.214679030539116
