,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,1,0.232968884434221,0.767031115565779
2,0,0.719370787803339,0.280629212196661
3,1,0.175699626685294,0.824300373314706
4,0,0.774322574649413,0.225677425350587
5,1,0.213100495791656,0.786899504208344
6,0,0.816643827024114,0.183356172975886
7,1,0.339931165312212,0.660068834687788
8,0,0.80216092113777,0.19783907886223
9,1,0.360659964389255,0.639340035610745
10,0,0.850555312134085,0.149444687865915
11,0,0.844204216163813,0.155795783836187
12,1,0.248547022614605,0.751452977385395
13,1,0.224014081740946,0.775985918259054
14,1,0.227572326158145,0.772427673841855
15,0,0.86260578967875,0.13739421032125
17,0,0.752227968695202,0.247772031304798
18,1,0.24704520960224,0.75295479039776
19,1,0.238435779531186,0.761564220468814
20,0,0.797183721606828,0.202816278393172
21,0,0.808843523937192,0.191156476062808
22,1,0.278797001855723,0.721202998144277
23,0,0.780061184889793,0.219938815110207
24,1,0.257155685340491,0.742844314659509
25,1,0.232968884434221,0.767031115565779
26,0,0.778304467815747,0.221695532184253
27,0,0.811014027073719,0.188985972926281
28,1,0.250426330598373,0.749573669401627
29,1,0.243972181447921,0.756027818552079
30,0,0.783550549708496,0.216449450291503
31,0,0.811891354733432,0.188108645266568
32,0,0.803803449014433,0.196196550985567
33,1,0.234783407458992,0.765216592541008
34,1,0.288622726117885,0.711377273882115
35,0,0.807063601330653,0.192936398669347
36,1,0.262917081491763,0.737082918508237
37,1,0.197776873328911,0.802223126671089
39,0,0.80543768077508,0.19456231922492
40,0,0.816643827024114,0.183356172975886
42,1,0.260989308961361,0.739010691038639
43,1,0.374039693960734,0.625960306039266
44,1,0.292680105426365,0.707319894573635
45,1,0.255249912508517,0.744750087491483
46,0,0.811891354733432,0.188108645266568
48,0,0.807063601330653,0.192936398669347
49,1,0.278596892473075,0.721403107526925
50,0,0.774143539319757,0.225856460680243
51,1,0.26224019068651,0.73775980931349
52,0,0.792132463747454,0.207867536252546
53,0,0.783550549708496,0.216449450291503
54,0,0.763965349003793,0.236034650996207
55,0,0.739131620852616,0.260868379147384
56,1,0.194664796689189,0.805335203310811
57,0,0.784850653166633,0.215149346833367
58,1,0.232516365663454,0.767483634336546
59,0,0.818211201669918,0.181788798330082
61,0,0.828120384602192,0.171879615397808
62,1,0.368553924888687,0.631446075111313
63,0,0.842784441235836,0.157215558764164
64,1,0.305945000860859,0.694054999139141
65,0,0.81419991481584,0.18580008518416
66,1,0.277507135991749,0.722492864008251
67,1,0.2458329433786,0.7541670566214
68,1,0.234783407458992,0.765216592541008
69,0,0.811891354733432,0.188108645266568
72,0,0.81419991481584,0.18580008518416
73,1,0.263789527089709,0.736210472910291
74,1,0.220487659984594,0.779512340015406
76,0,0.81506805386152,0.18493194613848
77,1,0.263111488450784,0.736888511549216
78,0,0.808843523937192,0.191156476062808
79,1,0.248260666685814,0.751739333314186
80,1,0.365101883930244,0.634898116069756
82,0,0.857468737165522,0.142531262834478
83,1,0.198847604349953,0.801152395650047
84,1,0.313564377169359,0.686435622830641
85,0,0.832608573461604,0.167391426538396
86,1,0.287514300102275,0.712485699897725
87,0,0.821320716523256,0.178679283476744
88,0,0.781809887002437,0.218190112997563
89,1,0.240273566420744,0.759726433579256
90,0,0.820471024472476,0.179528975527524
91,1,0.21655862502874,0.78344137497126
