,Predicted_Type
1,1.03851772676842
2,1.07817024883649
3,1.10278203805752
4,0.944640555614528
5,1.41424236148489
6,0.949079926087523
7,0.999392494824414
8,1.03771997562421
9,1.07424760559983
10,1.1075535199469
11,0.961684183831239
12,1.10118934448386
13,1.05355883397749
14,0.925235286448909
15,0.870912553666649
16,1.05863692349588
17,1.07192445289752
18,1.12559195133614
19,0.864600917480456
20,1.16578414257471
21,1.1806870313527
22,1.38045724329575
23,1.06517594016214
24,1.2208816600393
25,1.23455706501602
26,1.3651854383444
27,1.05101512777865
28,1.20086460060877
29,1.14653441332101
30,1.18132681204064
31,1.12201262406664
32,1.03174707274364
33,1.19251188543719
34,1.10198771498137
35,1.19960853211094
36,1.24693158298632
37,1.20697267655192
38,1.2597663579394
39,1.23336518191297
40,1.14603570840186
41,1.22501910777723
42,1.26366185412152
43,0.991711093204808
44,1.45449178841742
45,1.28823949533476
46,1.1639412156121
47,1.06427021344475
48,1.12997492947167
49,1.20753573026515
50,1.04170412319354
51,1.11323622074387
52,1.02020479888126
53,0.9830028885616
54,1.03889868871335
55,1.16144213068543
56,1.27492246655286
57,1.16928182721817
58,1.0451828944305
59,1.02246093680473
60,2.5475276911556
61,1.99696683746567
62,2.50860771431983
63,1.72455081410152
64,1.75052002401861
65,2.13549023152872
66,1.56608262444269
67,1.47824443337314
68,1.86945108518114
69,1.75464049342872
70,2.06111991933766
71,2.13863087957496
72,1.64403436876306
73,2.0824032952537
74,1.4897563957408
75,1.68872874162561
76,2.38018027793514
77,2.01054876836524
78,2.24723810742051
79,1.77888553324384
80,1.79161844154302
81,2.06246390814816
82,1.47999089118937
83,2.04732924807779
84,2.31855047652248
85,1.7855302485216
86,1.78560368861537
87,2.30602493729233
88,2.17150211230816
89,1.93370181226831
90,1.99133101670429
91,2.13262044302367
92,2.50541066495528
93,2.2397335056226
94,1.91669746793492
95,2.10627350153524
96,1.5824095381824
97,2.57625627381396
98,1.75752431398302
99,1.41062909081264
100,1.63827235905609
101,1.70556665220757
102,2.05680187509218
103,1.88763096525285
104,2.60313347920769
105,1.70877240553567
106,2.09361352932313
107,1.80831543532171
108,2.157100370243
109,2.2542652566781
110,1.48855034949409
111,2.20276547683708
112,2.12269932908927
113,1.69211560650032
114,2.30537091027307
115,1.95010270326709
116,2.16242267267221
117,2.19273280358432
118,2.19431515362516
119,2.39220886881652
120,1.99456582585731
121,1.62336219936355
122,1.30714734602376
123,2.18107473749452
124,1.86057763388563
125,1.77168931184989
126,1.8576573922476
127,1.81534548382814
128,2.38482757156542
129,2.18864628170062
130,2.11195277883975
131,2.38632079315113
132,2.68396734771905
133,3.25236942114108
134,2.91839921730117
135,2.77050686945094
136,2.7017409267196
137,2.87631615089767
138,3.70535242669755
139,2.72651507527019
140,2.98908778599378
141,2.4510749202553
142,2.16295714155295
143,2.70965820403728
144,2.41955892991117
145,2.48646390977323
146,2.53158038301532
147,3.46116415864735
148,2.99692824232756
149,3.03929045301261
150,3.04075089641058
151,3.02602287534548
152,3.61766685820057
153,4.05032973946274
154,2.85356758716988
155,3.46194996512446
156,3.05481922956333
157,3.02584024712555
158,3.11159310828544
159,2.84006296144177
160,3.08379685599959
161,3.60399988204805
162,2.35566481180603
163,2.77222650821137
164,2.46505674842143
165,3.04404499574719
166,3.27209594929477
167,2.918374531899
168,2.9554273545486
169,2.67250144188043
170,2.93453716120051
171,3.31417096871468
172,3.90445918144645
173,2.55435106666006
174,2.46881489329296
175,2.80035209214779
176,2.74679873680517
177,2.5887962062055
178,3.15234998955166
