,Predicted_Type
1,0.774865109811378
2,0.90967670482691
3,1.1271420895119
4,0.888837124937584
5,1.57802648950211
6,0.837560909562938
7,0.765839319175355
8,0.873910972614602
9,1.00212493134135
10,1.11178491487326
11,0.80851212934297
12,1.0761714230148
13,1.02960289844958
14,0.601434442377103
15,0.584935054049097
16,1.11142078474987
17,1.12290204156053
18,1.24074105345639
19,0.672760179939213
20,1.16927567583549
21,1.09012364583276
22,1.52041754799082
23,0.781541580664974
24,1.1737724993493
25,1.13141604294908
26,1.4125994210796
27,0.958402131001574
28,1.30485108669813
29,1.06295824161831
30,1.14225154158665
31,1.23629683913355
32,1.09283771904087
33,1.15498325745602
34,1.06952257549957
35,1.22965167700607
36,1.29959342186251
37,1.22261724796956
38,1.40819482610339
39,1.26860520840908
40,1.1269782024568
41,1.27307743034918
42,1.47597565188118
43,0.792625048756092
44,1.70082283052302
45,1.38979278120276
46,1.31158926175102
47,1.03256389002535
48,1.15279044724579
49,1.37891771241943
50,1.10336753691
51,1.19620718590165
52,0.841187173360117
53,0.902182634455977
54,1.03883748586896
55,1.18876979590095
56,1.50083707963792
57,1.23499199750763
58,1.05891583598496
59,1.04964275636898
60,2.36256440382802
61,2.13042398845641
62,2.532403390291
63,1.8626933698384
64,1.93992275700726
65,2.0647964246816
66,1.75647279148173
67,1.59319409183308
68,1.9163922621167
69,1.95819349300293
70,1.92976652558925
71,2.23293404787451
72,1.72608741749722
73,2.12658309753385
74,1.62750498873644
75,1.9103189900628
76,2.2916373610999
77,2.05277047208963
78,2.20291543338338
79,1.8291120535304
80,1.92507137027432
81,1.92768267534673
82,1.56906671961566
83,2.03675862077235
84,2.47585724203984
85,1.79974877449025
86,1.72351809434743
87,2.20735305395156
88,2.07181110111685
89,2.03032925338157
90,1.97063699231876
91,2.10030198608148
92,2.28745899273327
93,2.20296846968472
94,1.88675468519668
95,2.13925156866737
96,1.6400981591118
97,2.37608294307152
98,1.81203830736622
99,1.61183706266104
100,1.71651288297558
101,1.81958247388511
102,1.99231645544842
103,1.93791233087502
104,2.39477485656469
105,1.74469512258115
106,1.97604797725337
107,1.81831798654621
108,2.14477102445886
109,2.10618396828698
110,1.52539840198104
111,2.33787893950453
112,2.12941631365888
113,1.8273838183243
114,2.25144564666494
115,1.9615482916347
116,2.01778207937554
117,2.04343296814687
118,2.02775479910546
119,2.40599129234025
120,2.00880469602486
121,1.76865266697895
122,1.3590206543741
123,2.18248817561138
124,2.10432090986167
125,1.91644189346328
126,1.90675964850553
127,1.95472408488763
128,2.33098804661303
129,2.1047703534344
130,2.29421615180746
131,2.44807640936886
132,2.69342914295754
133,2.89257888138913
134,2.86263083115298
135,2.70672023278934
136,2.77509611762596
137,2.85256467375545
138,3.09139607990332
139,2.73027331343796
140,2.78295837733484
141,2.46850312284238
142,2.37861932017722
143,2.60274069007605
144,2.59479513838916
145,2.7729067268314
146,2.64770729726886
147,3.00321618321585
148,3.01575726123874
149,3.03873269983241
150,3.05942169749511
151,2.9744928036852
152,3.20587974753474
153,3.14953429597297
154,3.03710040512349
155,2.96442035398985
156,3.11093265837803
157,3.03510420888725
158,3.04200917648239
159,3.10812410049696
160,3.14015340823183
161,3.19264064596594
162,2.56786326888562
163,2.67152743386072
164,2.59949126258217
165,3.0008826855937
166,2.96439923784145
167,3.07242103253568
168,3.04606274157625
169,2.83347041460094
170,3.02955051460922
171,2.8535490081743
172,3.19278104917579
173,2.83758187463062
174,2.86689732043421
175,2.93822859317769
176,3.04071143566752
177,2.84437185538381
178,3.12891249390458
