,Predicted_Type
1,0.97633334460583
2,1.03980431075838
3,1.10527275905009
4,0.899160975773595
5,1.52645203585145
6,0.887655039291242
7,0.934969535138094
8,0.993357998497733
9,1.03412388391247
10,1.09981168536463
11,0.86175806740374
12,1.06321692006301
13,1.02121117936978
14,0.82690238608516
15,0.762757544001294
16,1.06135459175127
17,1.06422575974147
18,1.13932244691042
19,0.755596608728626
20,1.19860510594864
21,1.16765504541143
22,1.47810305604429
23,0.987641526608662
24,1.22590127212363
25,1.22233923973159
26,1.43662094210019
27,1.03331569018879
28,1.20132886470863
29,1.14081560440357
30,1.16992007822874
31,1.11442485176525
32,0.990944186801339
33,1.17491825522075
34,1.09208636245191
35,1.21323051724298
36,1.25467785169181
37,1.26662167577101
38,1.30766296414957
39,1.22266183528437
40,1.18831859736545
41,1.26180856625313
42,1.30062687516509
43,0.942389963385951
44,1.57574322926805
45,1.3210695361052
46,1.20656056796594
47,1.03785679715895
48,1.11780825390536
49,1.24209170042143
50,1.01719974430881
51,1.11031719685188
52,0.953681375229065
53,0.950976508389906
54,1.03144455528452
55,1.16302420328075
56,1.33441843849929
57,1.19384040879965
58,1.04032872741236
59,1.00422476140664
60,2.3813356482311
61,2.09634460446343
62,2.51699711026685
63,1.7433257438839
64,1.81552847510861
65,2.12920064290733
66,1.67100726451163
67,1.49678608412198
68,1.86194101014183
69,1.88937621218769
70,1.94890055184834
71,2.14504724358669
72,1.66320715547944
73,2.05234438056156
74,1.47756311795054
75,1.77017003489198
76,2.29694653634269
77,1.97727160537857
78,2.25710822405174
79,1.80465654273155
80,1.84697653519211
81,1.96540897309718
82,1.50362058895473
83,2.01256414897419
84,2.38947887253857
85,1.8697238514545
86,1.78208145171208
87,2.19192775821779
88,2.09729726792684
89,1.99726251929611
90,1.95731845492648
91,2.13798180183064
92,2.38764906211759
93,2.20833079725146
94,1.92772492367275
95,2.14554463344057
96,1.59465829597955
97,2.49621108565843
98,1.77425090049084
99,1.4570944939767
100,1.66977150914537
101,1.69390539327215
102,1.98568048980245
103,1.96608866742716
104,2.41813155770763
105,1.70061167470074
106,2.07115841814579
107,1.81873479014065
108,2.12849586697762
109,2.16679646086398
110,1.55203377971975
111,2.21535809530963
112,2.10671254182753
113,1.83614724773554
114,2.29096613278976
115,1.99223102544051
116,2.0372394843043
117,2.08398712262297
118,2.07796112009718
119,2.4206314188812
120,1.9892201892633
121,1.72478328248651
122,1.36476449111926
123,2.20193992164447
124,1.96035590943525
125,1.86814433704739
126,1.88664770478091
127,1.89220076448455
128,2.33569619809824
129,2.10862575060859
130,2.20943788530668
131,2.41991404117344
132,2.68285422665715
133,2.94165925367773
134,2.82816207692832
135,2.77378048560946
136,2.77520169014054
137,2.88534893171677
138,3.29464481884466
139,2.73670828731651
140,2.88359630558452
141,2.55327864058419
142,2.30692326284204
143,2.68720948239698
144,2.5378572004225
145,2.66829413361603
146,2.56086391858666
147,3.13846495380401
148,3.06964046397207
149,3.06584773653371
150,3.05365136299913
151,2.98524231796835
152,3.36532387313089
153,3.40312058418015
154,3.04319876526178
155,3.10970204286139
156,3.10269103980422
157,3.10239941227361
158,3.05725867084553
159,3.07886767021662
160,3.21506972120401
161,3.37211813816442
162,2.521570694189
163,2.76703624108567
164,2.58147633973253
165,2.99899067938505
166,3.03378755328447
167,3.04042679145652
168,3.04420268196067
169,2.78249510236749
170,3.05286893801152
171,3.04710394646311
172,3.45792556061294
173,2.78358330335859
174,2.75298227221761
175,2.88105017315312
176,2.95229080446976
177,2.78871304629506
178,3.21053311999212
