,Predicted_Type
1,1.15251011723881
2,1.17302981807307
3,1.20055958300343
4,1.05516977682822
5,1.49726901625028
6,1.0553841865087
7,1.13476708207451
8,1.18228334675991
9,1.16630527209977
10,1.18423807517347
11,1.07398348177149
12,1.22067001024489
13,1.16460710529709
14,1.01412314541048
15,0.980457111164314
16,1.17848977272207
17,1.18233953646773
18,1.19944594566228
19,0.96016809406926
20,1.26304845457523
21,1.25747441597802
22,1.49806080617844
23,1.16747388475293
24,1.32667607118606
25,1.32757806179356
26,1.4684095684234
27,1.14978615251318
28,1.31602326419901
29,1.24726306578179
30,1.29991539106989
31,1.21172305248039
32,1.1333129170153
33,1.28840818947723
34,1.22971309784403
35,1.31248181903786
36,1.31162450618182
37,1.30370182042629
38,1.35798335336147
39,1.30391281399702
40,1.26539404731338
41,1.28039824648955
42,1.35169823750725
43,1.07506997490941
44,1.51668186496482
45,1.33553600591395
46,1.29594622525933
47,1.17509228949191
48,1.18891560409681
49,1.29763090202096
50,1.12137419708827
51,1.18520258271127
52,1.13216552499025
53,1.06553912667868
54,1.17014255298926
55,1.24877777267471
56,1.3729098203708
57,1.25923876536854
58,1.14156898189414
59,1.09841788692358
60,2.4197022480586
61,2.03396712920246
62,2.29300611237419
63,1.73091496906223
64,1.62134607588518
65,2.05534759162049
66,1.56375507410131
67,1.41711611246966
68,1.78367508475249
69,1.83782925837037
70,2.16229691560064
71,2.17919429104312
72,1.61023175971774
73,1.97948744146397
74,1.55642726107122
75,1.71459339834496
76,2.19945558585406
77,1.86255859725988
78,2.23128755830139
79,1.82311661262728
80,1.78698853140224
81,1.87740801194884
82,1.50052499730402
83,2.00659924011206
84,2.24737505175868
85,1.7456380574326
86,1.77202507824303
87,2.16597803463621
88,2.12089097741941
89,1.91968852789369
90,1.94371231726974
91,2.06202078195534
92,2.36562684443545
93,2.12048037004139
94,1.8542639278733
95,1.96579619810498
96,1.69337728925822
97,2.64951820667191
98,1.67188403599363
99,1.34336160974587
100,1.60438458902
101,1.69144857538249
102,2.00956482744099
103,1.85033377706459
104,2.30478778796557
105,1.71567308457769
106,1.99068349099072
107,1.75520476457409
108,2.02791486663338
109,2.03414716519312
110,1.4876463075421
111,2.05343996106647
112,1.94596758739358
113,1.74297153248789
114,2.07670190113674
115,1.82038678748727
116,1.99987879212782
117,2.06916229277189
118,2.02887670746334
119,2.27352253988246
120,1.9939737337197
121,1.59252239541558
122,1.22747201098059
123,2.12949818308133
124,1.81980968872882
125,1.70227776736595
126,1.72131580125021
127,1.63287576166834
128,2.14804703807184
129,1.94843469984317
130,2.0820831213141
131,2.31266405426081
132,2.54933635139331
133,2.87998691711867
134,2.76052902420031
135,2.68717600344309
136,2.67559875902559
137,3.00171250006601
138,3.71541696105261
139,2.80478908569254
140,3.04219775601654
141,2.59904484278326
142,2.32277994422105
143,2.82581678097129
144,2.58792780437423
145,2.61523793638886
146,2.67210747162692
147,3.39926425162135
148,3.02846682795293
149,2.97709908737516
150,2.80729078317954
151,2.76107423067286
152,3.08606278066253
153,3.39600069305907
154,2.85245486020399
155,3.14651871378994
156,3.17555618414968
157,2.99052154028984
158,3.14873638054434
159,2.76339636754462
160,2.9107222951492
161,3.26485504107087
162,2.5747453341089
163,2.87544085713971
164,2.5721339080155
165,2.95485195492286
166,3.28160386591983
167,2.99188351834587
168,2.93092009877821
169,2.75401458035716
170,3.05700129238811
171,3.15795338952886
172,3.43367563778384
173,2.62719703227778
174,2.736545618166
175,2.91329889903321
176,2.92974639579345
177,2.72006907190536
178,3.20458324902585
