,Predicted_RetailPrice
1,18972.5739983502
2,18972.5739983502
3,18985.1243185795
4,18985.1243185795
5,18985.1243185795
6,18985.1243185795
7,18985.1243185795
8,18985.1243185795
9,18985.1243185795
10,18985.1243185795
11,18985.1243185795
12,18985.1243185795
13,18985.1243185795
14,18985.1243185795
15,18985.1243185795
16,18985.1243185795
17,18985.1243185795
18,18985.1243185795
19,18985.1243185795
20,18985.1243185795
21,18985.1243185795
22,18985.1243185795
23,18985.1243185795
24,18985.1243185795
25,18985.1243185795
26,18985.1243185795
27,18985.1243185795
28,18985.1243185795
29,18985.1243185795
30,18985.1243185795
31,18985.1243185795
32,18985.1243185795
33,18985.1243185795
34,18985.1243185795
35,18985.1243185795
36,18985.1243185795
37,18985.1243185795
38,18985.1243185795
39,18985.1243185795
40,18985.1243185795
41,18985.1243185795
42,18985.1243185795
43,18985.1243185795
44,18985.1243185795
45,18985.1243185795
46,18985.1243185795
47,18985.1243185795
48,18985.1243185795
49,18985.1243185795
50,18985.1243185795
51,18985.1243185795
52,18985.1243185795
53,18985.1243185795
54,18985.1243185795
55,18985.1243185795
56,18985.1243185795
57,18985.1243185795
58,18985.1243185795
59,18985.1243185795
60,18985.1243185795
61,18985.1243185795
62,18972.5739983502
63,18972.5739983502
64,18972.5739983502
65,18201.4032113788
66,18201.4032113788
67,18972.5739983502
68,18201.4032113788
69,18972.5739983502
70,18972.5739983502
71,18972.5739983502
72,18972.5739983502
73,18972.5739983502
74,18972.5739983502
75,18972.5739983502
76,18972.5739983502
77,18201.4032113788
78,18972.5739983502
79,18201.4032113788
80,18972.5739983502
81,18972.5739983502
82,18972.5739983502
83,18201.4032113788
84,18201.4032113788
85,18972.5739983502
86,18972.5739983502
87,18972.5739983502
88,18972.5739983502
89,18972.5739983502
90,18972.5739983502
91,18972.5739983502
92,18972.5739983502
93,18972.5739983502
94,18972.5739983502
95,18972.5739983502
96,18972.5739983502
97,18972.5739983502
98,18972.5739983502
99,18972.5739983502
100,18972.5739983502
101,18972.5739983502
102,18972.5739983502
103,18972.5739983502
104,18972.5739983502
105,18201.4032113788
106,18972.5739983502
107,18972.5739983502
108,18201.4032113788
109,18972.5739983502
110,18201.4032113788
111,18972.5739983502
112,18972.5739983502
113,18972.5739983502
114,18972.5739983502
115,18972.5739983502
116,18972.5739983502
117,18972.5739983502
118,18972.5739983502
119,18972.5739983502
120,18972.5739983502
121,18972.5739983502
122,18972.5739983502
123,18972.5739983502
124,18972.5739983502
125,18972.5739983502
126,18972.5739983502
127,18972.5739983502
128,18972.5739983502
129,18972.5739983502
130,18972.5739983502
131,18972.5739983502
132,18972.5739983502
133,18972.5739983502
134,18972.5739983502
135,18972.5739983502
136,18972.5739983502
137,18972.5739983502
138,18972.5739983502
139,18972.5739983502
140,18972.5739983502
141,18972.5739983502
142,18972.5739983502
143,18972.5739983502
144,18972.5739983502
145,18972.5739983502
146,18972.5739983502
147,18972.5739983502
148,18972.5739983502
149,18972.5739983502
150,18972.5739983502
151,18972.5739983502
152,18972.5739983502
153,18201.4032113788
154,18201.4032113788
155,18972.5739983502
156,18201.4032113788
157,18972.5739983502
158,18972.5739983502
159,18972.5739983502
160,18972.5739983502
161,18972.5739983502
162,18972.5739983502
163,18972.5739983502
164,18972.5739983502
165,18972.5739983502
166,18972.5739983502
167,18972.5739983502
168,18972.5739983502
169,18972.5739983502
170,18972.5739983502
171,18972.5739983502
172,18972.5739983502
173,18972.5739983502
174,18201.4032113788
175,18201.4032113788
176,18972.5739983502
177,18201.4032113788
178,18201.4032113788
179,18201.4032113788
180,18201.4032113788
181,18972.5739983502
182,18972.5739983502
183,18972.5739983502
184,18972.5739983502
185,18972.5739983502
186,18972.5739983502
187,18972.5739983502
188,18972.5739983502
189,18972.5739983502
190,18972.5739983502
191,18972.5739983502
192,18972.5739983502
193,18972.5739983502
194,18972.5739983502
195,18972.5739983502
196,18972.5739983502
197,18972.5739983502
198,18972.5739983502
199,18972.5739983502
200,18972.5739983502
201,18972.5739983502
202,18972.5739983502
203,18972.5739983502
204,18972.5739983502
205,18972.5739983502
206,18972.5739983502
207,18972.5739983502
208,18972.5739983502
209,18972.5739983502
210,18972.5739983502
211,18972.5739983502
212,18972.5739983502
213,18972.5739983502
214,18972.5739983502
215,18972.5739983502
216,18985.1243185795
217,18985.1243185795
218,18985.1243185795
219,18985.1243185795
220,18985.1243185795
221,18985.1243185795
222,18985.1243185795
223,18985.1243185795
224,18985.1243185795
225,18985.1243185795
226,18985.1243185795
227,18985.1243185795
228,18985.1243185795
229,18985.1243185795
230,18985.1243185795
231,18985.1243185795
232,18985.1243185795
233,18985.1243185795
234,18985.1243185795
235,18985.1243185795
236,18985.1243185795
237,18985.1243185795
238,18985.1243185795
239,18985.1243185795
240,18985.1243185795
241,18972.5739983502
242,18201.4032113788
243,18201.4032113788
244,18972.5739983502
245,18201.4032113788
246,18972.5739983502
247,18972.5739983502
248,18972.5739983502
249,18972.5739983502
250,18201.4032113788
251,18972.5739983502
252,18201.4032113788
253,18972.5739983502
254,18972.5739983502
255,18972.5739983502
256,18972.5739983502
257,18972.5739983502
258,18972.5739983502
259,18972.5739983502
260,18972.5739983502
261,18972.5739983502
262,18201.4032113788
263,18201.4032113788
264,18201.4032113788
265,18972.5739983502
266,18201.4032113788
267,18201.4032113788
268,18201.4032113788
269,18201.4032113788
270,18201.4032113788
271,18972.5739983502
272,18201.4032113788
273,18201.4032113788
274,18972.5739983502
275,18201.4032113788
276,18972.5739983502
277,18201.4032113788
278,18201.4032113788
279,18201.4032113788
280,18201.4032113788
281,18972.5739983502
282,18201.4032113788
283,18201.4032113788
284,18201.4032113788
285,18201.4032113788
286,18972.5739983502
287,18972.5739983502
288,18972.5739983502
289,18972.5739983502
290,18201.4032113788
291,18201.4032113788
292,18201.4032113788
293,18201.4032113788
294,18201.4032113788
295,18972.5739983502
296,18201.4032113788
297,18972.5739983502
298,18972.5739983502
299,18972.5739983502
300,18972.5739983502
301,18972.5739983502
302,18972.5739983502
303,18972.5739983502
304,18972.5739983502
305,18972.5739983502
306,18201.4032113788
307,18201.4032113788
308,18201.4032113788
309,18972.5739983502
310,18201.4032113788
311,18201.4032113788
312,18972.5739983502
313,18972.5739983502
314,18972.5739983502
315,18972.5739983502
316,18972.5739983502
317,18201.4032113788
318,18201.4032113788
319,18201.4032113788
320,18972.5739983502
321,18201.4032113788
322,18972.5739983502
323,18201.4032113788
