,Predicted_RetailPrice
1,20111.662236728
2,19962.7898093675
3,20073.578979291
4,20080.492155198
5,20081.163245899
6,20078.9116920019
7,20081.163245899
8,20082.0937225945
9,20074.0105657985
10,20086.131936057
11,20074.6360067385
12,20077.6171927534
13,20076.5145155449
14,20070.4645126529
15,20074.7022810444
16,20091.233906838
17,20074.9340523488
18,20077.6171927534
19,20074.9340523488
20,20091.233906838
21,20086.131936057
22,20076.5145155449
23,20074.7022810444
24,20078.5476694489
25,20086.131936057
26,20086.131936057
27,20077.6171927534
28,20077.6171927534
29,20078.5476694489
30,20086.131936057
31,20089.6779892026
32,20086.9948487979
33,20081.163245899
34,20089.6779892026
35,20073.578979291
36,20082.0937225945
37,20073.0800891031
38,20069.5340359574
39,20077.6171927534
40,20077.7664340982
41,20085.0292588484
42,20069.5340359574
43,20061.9497693494
44,20068.4313587489
45,20078.5476694489
46,20082.7191635345
47,20070.0329261454
48,20125.0724787595
49,20074.9340523488
50,20076.5145155449
51,20070.0329261454
52,20070.0329261454
53,20091.233906838
54,20077.6171927534
55,20078.5476694489
56,20086.131936057
57,20077.6171927534
58,20078.5476694489
59,20077.6171927534
60,20076.5145155449
61,20085.0292588484
62,20078.048779261
63,20069.5340359574
64,20075.3656388563
65,20065.8166347277
66,20073.6680202193
67,20077.6171927534
68,20060.4839220168
69,20064.7935135833
70,20091.5184776841
71,20077.4797509725
72,20080.8925234949
73,20069.6946397867
74,20072.3777801914
75,20064.7935135833
76,19963.2886995554
77,19961.3239620349
78,19968.1898257588
79,19958.6408216302
80,19975.9749369446
81,19963.2886995554
82,19963.2886995554
83,19960.2212848263
84,19961.3239620349
85,19963.2886995554
86,19963.2886995554
87,19970.8729661635
88,19969.7702889549
89,19968.1898257588
90,19975.9749369446
91,19984.4896802481
92,19971.803442859
93,19970.8729661635
94,19976.7045690623
95,19975.9749369446
96,19970.8729661635
97,19972.0741652631
98,19979.6584318712
99,19972.0741652631
100,19979.6584318712
101,19988.1731751747
102,19988.1731751747
103,19972.0741652631
104,19979.6584318712
105,19970.1094277426
106,19979.6584318712
107,19976.9752914665
108,19967.4262873379
109,19979.6584318712
110,19962.5251611345
111,20095.5632268164
112,20103.1474934245
113,20095.5632268164
114,20100.4643530198
115,20095.5632268164
116,20116.3326210015
117,20146.8821343514
118,20111.2306502205
119,20095.5632268164
120,20108.5475098158
121,20103.1474934245
122,20100.4643530198
123,20103.6463836124
124,20103.1474934245
125,20111.2306502205
126,20108.2494642056
127,20119.745393524
128,20111.2306502205
129,20108.5475098158
130,20104.0779701199
131,20111.662236728
132,20103.6463836124
133,20104.0779701199
134,20095.5632268164
135,20108.9790963233
136,20103.1474934245
137,20111.2306502205
138,20103.1474934245
139,20086.131936057
140,20070.0329261454
141,20085.0292588484
142,20086.131936057
143,20078.5476694489
144,20086.131936057
145,20086.131936057
146,20070.0329261454
147,20086.131936057
148,20078.5476694489
149,20070.0329261454
150,20077.6171927534
151,20091.233906838
152,20085.0292588484
153,19975.2113985236
154,19975.2113985236
155,19979.6584318712
156,19967.4262873379
157,19978.5557546626
158,19979.6584318712
159,19984.7604026522
160,20078.5476694489
161,20078.5476694489
162,20077.6171927534
163,20070.4645126529
164,20068.4313587489
165,20086.131936057
166,20074.6360067385
167,20061.9497693494
168,20078.048779261
169,20070.4645126529
170,20069.5340359574
171,20061.9497693494
172,20078.5476694489
173,20077.6171927534
174,20068.4997751324
175,20060.9155085243
176,20070.0329261454
177,20068.4997751324
178,20059.9850318288
179,20068.0681886248
180,20076.5829319284
181,20077.6171927534
182,20086.131936057
183,20069.5340359574
184,20070.4645126529
185,20078.5476694489
186,20077.6171927534
187,20069.5340359574
188,20086.131936057
189,20076.5145155449
190,20078.5476694489
191,20077.6171927534
192,20086.131936057
193,20078.5476694489
194,20070.0329261454
195,20086.2652166801
196,20128.6185319052
197,20073.578979291
198,20078.4801054944
199,20081.163245899
200,20086.2652166801
201,20081.163245899
202,20089.0017219814
203,20078.048779261
204,20078.048779261
205,20061.9497693494
206,20078.048779261
207,20070.4645126529
208,20069.5340359574
209,20111.662236728
210,20103.1474934245
211,20095.5632268164
212,20103.6463836124
213,20103.1474934245
214,20100.4643530198
215,20111.2306502205
216,20070.3969486984
217,20074.0105657985
218,20081.5948324066
219,20089.6779892026
220,20078.9116920019
221,20073.0800891031
222,20081.163245899
223,20070.4645126529
224,20091.233906838
225,20070.0329261454
226,20078.5476694489
227,20078.048779261
228,20077.6171927534
229,20069.5340359574
230,20077.6171927534
231,20085.0292588484
232,20086.131936057
233,20070.0329261454
234,20077.6171927534
235,20082.7191635345
236,20086.131936057
237,20078.5476694489
238,20069.5340359574
239,20074.6360067385
240,20086.131936057
241,19969.7702889549
242,19958.4090503258
243,19953.7396954268
244,19970.8729661635
245,19961.3239620349
246,19968.1898257588
247,19963.2886995554
248,19963.2886995554
249,19963.2886995554
250,19961.3239620349
251,19963.2886995554
252,19966.425932816
253,19963.2886995554
254,19963.2886995554
255,19962.7898093675
256,19960.1066689628
257,19955.2055427594
258,19971.304552671
259,19979.387709467
260,19955.2055427594
261,19976.4065234521
262,20058.6116322162
263,20051.1995661212
264,20067.7974662207
265,20069.2633135533
266,20052.1300428167
267,20072.8994370018
268,20067.7974662207
269,20056.5995825125
270,20051.6984563091
271,20068.8317270458
272,20056.5995825125
273,20059.2827229172
274,20061.2474604377
275,20059.2827229172
276,20068.8317270458
277,20056.3015369023
278,20070.3402636139
279,20043.6152995131
280,20059.2827229172
281,20069.2633135533
282,20059.7143094247
283,20086.1081972101
284,20059.2827229172
285,20051.6984563091
286,20061.2474604377
287,20061.2474604377
288,20061.2474604377
289,20068.8317270458
290,20051.6984563091
291,20059.2827229172
292,20059.2827229172
293,20059.2827229172
294,20056.5995825125
295,20068.8317270458
296,20051.6984563091
297,20077.3464703493
298,20069.7622037412
299,20114.2236619482
300,20053.1643036417
301,20060.7485702498
302,20053.1643036417
303,20060.7485702498
304,20068.8317270458
305,20061.2474604377
306,20051.6984563091
307,20059.2827229172
308,20051.6984563091
309,20116.2870130519
310,20056.5995825125
311,19953.7396954268
312,19970.8729661635
313,19970.8729661635
314,19975.9749369446
315,19970.8729661635
316,19970.8729661635
317,19966.425932816
318,20059.2827229172
319,20059.2827229172
320,20068.8317270458
321,20059.2827229172
322,20061.2474604377
323,20064.3846936983
324,20068.8317270458
325,19968.389640962
326,19969.7702889549
327,19971.803442859
328,19979.387709467
329,19970.8729661635
330,19967.8917801486
331,20056.5995825125
332,20059.2827229172
333,20056.5995825125
334,20068.8317270458
335,20061.2474604377
336,20051.6984563091
337,20059.2827229172
338,20059.2827229172
339,20073.9336978269
340,20068.8317270458
341,20059.2827229172
342,20061.2474604377
343,20059.2827229172
344,20059.2827229172
345,20064.8162802058
346,20043.6152995131
347,20068.8317270458
348,20051.1995661212
349,20043.6152995131
350,20052.1300428167
351,20067.7974662207
352,20059.2827229172
353,20068.8317270458
354,20059.2827229172
355,20116.2870130519
356,20068.8317270458
357,20068.8317270458
358,20059.2827229172
359,20066.1485866411
360,20068.8317270458
361,20068.8317270458
362,20068.8317270458
363,20066.1485866411
364,20106.7380089233
365,20051.6984563091
366,20065.9168153367
367,20073.9336978269
368,20064.3846936983
369,20056.5995825125
370,20059.2827229172
371,20064.3846936983
372,20059.2827229172
373,19970.5410142501
374,19967.8578738454
375,19971.039904438
376,19980.5889085666
377,19962.0262709466
378,19978.6241710461
379,19987.0704979661
380,19963.9910084671
381,19971.039904438
382,19978.6241710461
383,19968.8921346705
384,20012.4957381033
385,19962.5251611345
386,19962.956747642
387,20070.0329261454
388,20068.4313587489
389,20086.131936057
390,20069.5340359574
391,20069.5340359574
392,20069.5340359574
393,20070.0329261454
394,20068.0681886248
395,20068.0681886248
396,20065.3850482202
397,20082.7191635345
398,20082.7191635345
399,20068.0681886248
400,20082.7191635345
401,20102.0448162159
402,20100.4643530198
403,20103.6463836124
404,20119.745393524
405,20108.2494642056
406,20103.1474934245
407,20116.3326210015
408,20103.6463836124
409,20119.745393524
410,20108.2494642056
411,20117.0622531193
412,20110.1279730119
413,20136.7977946981
414,20077.6171927534
415,20122.4269244202
416,20083.4487956523
417,20083.4487956523
418,20083.4487956523
419,20070.0329261454
420,20077.6171927534
421,20077.6171927534
422,20077.6171927534
423,20077.6171927534
424,20077.6171927534
425,20077.6171927534
426,20082.7191635345
427,20070.0329261454
428,20078.5476694489
429,20086.131936057
430,20086.131936057
431,20086.131936057
432,20070.0329261454
433,20074.9340523488
434,20091.233906838
435,20076.5145155449
436,20086.131936057
437,20111.3987138448
438,20082.7191635345
439,20070.0329261454
440,20086.131936057
441,20070.0329261454
442,20086.131936057
443,20086.131936057
444,20133.5872220631
445,20074.9340523488
446,20086.131936057
447,20070.0329261454
448,20070.0329261454
449,20059.2827229172
450,20056.5995825125
451,20068.8317270458
452,20059.2827229172
453,20061.2474604377
454,20061.2474604377
455,20064.3846936983
456,20064.3846936983
457,20051.6984563091
458,20068.8317270458
459,20059.2827229172
460,20068.8317270458
461,20068.8317270458
462,20066.1485866411
463,20065.9168153367
464,20051.6984563091
465,20059.2827229172
466,20064.3846936983
467,20073.9336978269
468,20073.9336978269
469,20051.6984563091
470,20116.7185995594
471,20061.2474604377
472,20067.7290498372
473,20082.4484411304
474,20077.3464703493
475,20061.2474604377
476,20061.2474604377
477,20059.2827229172
478,20068.8317270458
479,20064.3846936983
480,20068.8317270458
481,20051.6984563091
482,20068.8317270458
483,20061.2474604377
484,20078.5476694489
485,20078.048779261
486,20069.5340359574
487,20082.7191635345
488,20078.048779261
489,20078.048779261
490,20061.9497693494
491,20075.3656388563
492,20116.9893219635
493,20061.9497693494
494,20076.9461020524
495,20076.9461020524
496,20061.9497693494
497,20122.5775411483
498,20096.3595102504
499,20068.0681886248
500,20066.6191242484
501,20061.9497693494
502,20068.4997751324
503,20078.048779261
504,20076.5829319284
505,20124.0382179345
506,20060.4839220168
507,20064.0526708698
508,20060.9155085243
509,20068.4997751324
510,20073.6680202193
511,20060.4839220168
512,20052.4007652208
513,20059.9850318288
514,20068.0681886248
515,20086.131936057
516,20076.5829319284
517,20057.3018914242
518,20068.9986653203
519,20065.8166347277
520,20069.5340359574
521,20086.131936057
522,20077.6171927534
523,20078.5476694489
524,20122.1338273762
525,20074.9340523488
526,20083.1507500421
527,20103.1474934245
528,20103.6463836124
529,20119.745393524
530,20108.2494642056
531,20104.0779701199
532,20103.1474934245
533,20117.0622531193
534,20073.6017459135
535,20095.1098899828
536,20065.3850482202
537,20065.0870026099
538,20074.9340523488
539,20091.233906838
540,20076.5829319284
541,19962.7898093675
542,19963.2886995554
543,19962.7898093675
544,19955.2055427594
545,19961.6871321589
546,19968.6214122663
547,19963.2886995554
548,20065.8505410309
549,20116.7185995594
550,20061.2474604377
551,20061.6790469452
552,20061.6790469452
553,20061.2474604377
554,20069.2633135533
555,20051.1995661212
556,20068.8317270458
557,20064.3846936983
558,20056.5995825125
559,20069.2633135533
560,20066.6947890121
561,20069.7622037412
562,20052.1300428167
563,20053.1643036417
564,20067.7974662207
565,20059.7143094247
566,20060.2131996126
567,20074.3652843344
568,20052.1300428167
569,20073.578979291
570,20089.6779892026
571,20089.3956440398
572,20070.0329261454
573,20070.0329261454
574,20086.131936057
575,20061.9497693494
576,20076.5145155449
577,20077.6171927534
578,20077.6171927534
