,Predicted_Adjusted,AuditLowriskProbability,AuditHighriskProbability
1,0,1,0
2,0,1,0
3,0,0.999997001322971,2.99867702856856e-06
4,0,0.608796056301742,0.391203943698258
5,1,0.263491347755909,0.736508652244091
6,0,1,0
7,1,0.0165232407298329,0.983476759270167
8,0,0.999998362936906,1.63706309361918e-06
9,0,0.999977331822396,2.26681776042512e-05
10,0,0.999999135809291,8.64190708536622e-07
11,0,1,0
12,0,1,0
13,0,1,0
14,0,1,0
15,1,0.0203003302639173,0.979699669736083
16,0,0.999993409397797,6.59060220265024e-06
17,0,1,0
18,0,1,0
19,0,0.539906151224246,0.460093848775754
20,0,0.505595397258173,0.494404602741827
21,0,0.999121480904723,0.000878519095277291
22,0,0.998976257362377,0.00102374263762298
23,0,1,0
24,0,0.998763927703429,0.001236072296571
25,0,1,0
26,0,0.999851542171009,0.000148457828990547
27,0,0.999886348940615,0.000113651059384843
28,0,0.988351366458342,0.0116486335416579
29,0,0.859557816459763,0.140442183540237
30,0,0.999417896727128,0.000582103272872161
31,0,1,0
32,0,0.615312775590421,0.384687224409579
33,0,1,0
34,0,1,0
35,0,0.999988030677154,1.19693228457808e-05
36,0,1,0
37,0,0.958594711431875,0.0414052885681252
38,0,0.999990650714304,9.34928569605132e-06
39,0,0.982548776376497,0.0174512236235034
40,0,0.999923909612848,7.609038715147e-05
41,1,0.0086738379420187,0.991326162057981
42,0,1,0
43,0,0.860730361008752,0.139269638991248
44,0,1,0
45,0,0.996386191558086,0.00361380844191355
46,1,0.367836529628318,0.632163470371682
47,0,1,0
48,1,0.0723253170188085,0.927674682981191
49,0,1,0
50,1,0.245298985874383,0.754701014125617
51,0,0.99996599239733,3.40076026703206e-05
52,1,2.34688671044703e-05,0.999976531132896
53,0,0.942238151462931,0.0577618485370692
54,0,1,0
55,0,1,0
56,0,0.999442610750465,0.000557389249534567
57,0,0.999897037157456,0.000102962842543856
58,0,0.999969240652716,3.07593472836122e-05
59,0,0.999999110039874,8.89960126257966e-07
60,0,0.952757805554282,0.0472421944457184
61,0,0.999582321617561,0.000417678382439184
62,0,0.99985936181361,0.000140638186390111
63,0,0.999997293966745,2.70603325474094e-06
64,0,0.805224721044983,0.194775278955017
65,0,0.992492267853458,0.00750773214654184
66,0,0.999992016773626,7.98322637385478e-06
67,1,0.025717753524064,0.974282246475936
68,0,0.999013012619141,0.00098698738085871
69,0,1,0
70,0,1,0
71,0,0.995864626127243,0.00413537387275668
72,0,1,0
73,0,1,0
74,0,0.999999201125487,7.98874513479214e-07
75,1,0.1278342589547,0.8721657410453
76,0,1,0
77,0,1,0
78,1,0.00378012980254239,0.996219870197458
79,0,0.999680854735541,0.00031914526445861
80,0,1,0
81,0,0.999953825279702,4.61747202976778e-05
82,0,0.990690628280364,0.00930937171963549
83,0,0.999998957219496,1.04278050438676e-06
84,1,0.0415915705440491,0.958408429455951
85,0,0.999998669155935,1.33084406480635e-06
86,0,0.991729370241975,0.00827062975802541
87,0,1,0
88,0,0.983954478122463,0.0160455218775368
89,0,0.999997994426518,2.00557348211354e-06
90,0,1,0
91,1,0.00649403505151791,0.993505964948482
92,0,0.986304993759133,0.0136950062408672
93,0,1,0
94,1,0.000986677827587878,0.999013322172412
95,1,0.0667416261456717,0.933258373854328
96,1,0.449932605014165,0.550067394985835
97,0,0.974178701718365,0.0258212982816349
98,0,0.866590747299086,0.133409252700914
99,0,0.885916259319907,0.114083740680093
100,0,0.99995656063896,4.3439361040329e-05
101,0,0.995727030246957,0.00427296975304259
102,0,0.999049048392117,0.000950951607883266
103,1,0.101991587735158,0.898008412264842
104,0,0.999998337146726,1.66285327432152e-06
105,0,0.592815956033083,0.407184043966917
106,0,0.999995796452366,4.20354763401983e-06
107,0,0.999997844027999,2.15597200151965e-06
108,0,0.960289391286267,0.0397106087137328
109,0,1,0
110,0,0.999999533849669,4.66150331114392e-07
111,0,1,0
112,0,0.999970672725297,2.93272747029825e-05
113,1,0.0299154140496988,0.970084585950301
114,0,0.99999845289101,1.54710899006262e-06
115,0,0.999998793425623,1.20657437676692e-06
116,0,0.684711057219519,0.315288942780481
117,0,0.999681109112285,0.000318890887714911
118,0,1,0
119,1,0.105826245693523,0.894173754306477
120,0,1,0
121,0,1,0
122,0,1,0
123,0,1,0
124,0,0.999999460482539,5.39517461239563e-07
125,1,0.0209085324465805,0.979091467553419
126,0,0.999992967656243,7.03234375716998e-06
127,0,1,0
128,1,0.00357409815558007,0.99642590184442
129,0,0.931782182352601,0.0682178176473992
130,0,1,0
131,0,0.999997772417997,2.22758200315598e-06
132,0,1,0
133,1,0.027809437968767,0.972190562031233
134,0,0.899197258000069,0.100802741999931
135,0,0.963194410991289,0.0368055890087109
136,0,1,0
137,0,1,0
138,0,1,0
139,0,1,0
140,0,1,0
141,0,1,0
142,0,1,0
143,0,1,0
145,0,0.998880870606496,0.0011191293935036
146,0,0.999762775611827,0.000237224388172721
147,1,0.119882976634152,0.880117023365848
148,0,0.998747407990267,0.00125259200973291
149,0,1,0
150,1,0.0406363149345863,0.959363685065414
151,0,0.994817747314957,0.00518225268504344
152,1,0.0629210550591083,0.937078944940892
153,0,0.919229319053189,0.0807706809468107
154,0,0.999992435710036,7.56428996435805e-06
