,Predicted_censored,CensoredProbability,NonCensoredProbability
1,0,0.7693596192836,0.2306403807164
2,0,0.803593004961687,0.196406995038313
3,1,0.306265018237458,0.693734981762542
4,0,0.772333680640229,0.227666319359771
5,1,0.402405952659542,0.597594047340458
6,1,0.188524368611869,0.811475631388131
7,0,0.893148584660445,0.106851415339555
8,0,0.887741886761049,0.112258113238951
9,1,0.107394922978189,0.892605077021811
10,0,0.77678416376186,0.22321583623814
11,1,0.270334109440051,0.729665890559949
12,1,0.175650971617817,0.824349028382183
13,0,0.806003799990901,0.193996200009099
14,0,0.828791767661908,0.171208232338092
15,0,0.807677677924636,0.192322322075364
16,0,0.646769676298921,0.353230323701079
17,0,0.538831556267191,0.461168443732809
18,0,0.794221480180886,0.205778519819114
19,0,0.882784865520487,0.117215134479513
20,0,0.607230387514914,0.392769612485086
21,0,0.720058984145803,0.279941015854197
22,0,0.764049905326393,0.235950094673607
23,0,0.810924895736337,0.189075104263663
24,0,0.771018801619511,0.228981198380489
25,1,0.137474048930734,0.862525951069266
26,0,0.684109532799688,0.315890467200312
27,1,0.416326147436453,0.583673852563547
28,0,0.618131536921555,0.381868463078445
29,0,0.637208920094986,0.362791079905014
30,0,0.718744123016239,0.281255876983761
31,0,0.773117672335401,0.226882327664599
32,0,0.763580623047389,0.236419376952611
33,0,0.970886903085098,0.029113096914902
34,0,0.712551802888824,0.287448197111176
35,0,0.580027619833016,0.419972380166984
36,0,0.617419183680621,0.382580816319379
37,1,0.286340453268398,0.713659546731602
38,0,0.636954929689815,0.363045070310185
39,0,0.524702415898125,0.475297584101875
40,0,0.639537772274342,0.360462227725658
41,0,0.544419391791163,0.455580608208837
42,1,0.254364703583271,0.745635296416729
43,1,0.352386043436723,0.647613956563277
44,0,0.511251020211251,0.488748979788749
45,1,0.443492590855531,0.556507409144469
46,0,0.934112724521288,0.065887275478712
47,0,0.863320428842625,0.136679571157374
48,1,0.274522842975536,0.725477157024464
49,0,0.804487364738927,0.195512635261073
50,1,0.423068473098559,0.576931526901441
51,0,0.691169740504175,0.308830259495825
52,0,0.695797779780283,0.304202220219717
53,0,0.690040022698774,0.309959977301226
54,1,0.222539540102974,0.777460459897026
55,1,0.235981400607722,0.764018599392278
56,1,0.338504163913386,0.661495836086614
57,0,0.843659320159123,0.156340679840877
58,0,0.875625877707497,0.124374122292503
59,0,0.780249274397798,0.219750725602202
60,0,0.71127017046583,0.28872982953417
61,1,0.183761681888454,0.816238318111546
62,0,0.698552703713766,0.301447296286234
63,1,0.229626198247544,0.770373801752456
64,0,0.730932741169423,0.269067258830577
65,0,0.722757896634567,0.277242103365433
66,1,0.257938307928553,0.742061692071447
67,1,0.281070570873575,0.718929429126425
68,1,0.209805986436858,0.790194013563142
69,1,0.174918019063712,0.825081980936288
70,1,0.352636515708065,0.647363484291935
71,1,0.43444755061529,0.56555244938471
72,0,0.761616523637138,0.238383476362862
73,1,0.441220151624182,0.558779848375818
74,1,0.165901689900487,0.834098310099513
75,1,0.167378274155349,0.832621725844651
76,1,0.335098370716853,0.664901629283147
77,0,0.67741235982692,0.32258764017308
78,1,0.31432320400937,0.68567679599063
79,1,0.383619715886913,0.616380284113087
80,0,0.568229216324228,0.431770783675772
81,1,0.207180707455226,0.792819292544774
82,0,0.712547440541665,0.287452559458335
83,1,0.343881826786004,0.656118173213996
84,0,0.716439149490479,0.283560850509521
85,0,0.566585224464169,0.433414775535831
86,1,0.486737188712795,0.513262811287205
87,1,0.428805646376181,0.571194353623819
88,1,0.21052614038685,0.78947385961315
89,1,0.127776418725999,0.872223581274001
90,1,0.426193801175097,0.573806198824903
91,1,0.183158318128425,0.816841681871575
92,0,0.869942912526283,0.130057087473717
93,0,0.953333420417958,0.0466665795820416
94,0,0.892923591868806,0.107076408131194
95,1,0.486940884375887,0.513059115624113
96,0,0.90433932491441,0.0956606750855896
97,1,0.166979771819199,0.833020228180801
98,1,0.365580213348212,0.634419786651788
99,0,0.642788587062949,0.357211412937051
100,0,0.903856222796659,0.0961437772033411
101,1,0.364158303410609,0.635841696589391
102,0,0.865893968527971,0.134106031472029
103,0,0.718638839997937,0.281361160002063
104,0,0.601883111657335,0.398116888342665
105,1,0.270744366612138,0.729255633387862
106,0,0.634043474504528,0.365956525495472
107,0,0.819690368373672,0.180309631626328
108,1,0.41642975448032,0.58357024551968
109,0,0.726924929388558,0.273075070611442
110,0,0.792682849712344,0.207317150287656
111,0,0.623448911292418,0.376551088707582
112,0,0.652208016030819,0.347791983969181
113,1,0.137901159768573,0.862098840231427
114,1,0.435657072559188,0.564342927440812
115,1,0.388722123904035,0.611277876095965
116,1,0.0632040337800742,0.936795966219926
117,0,0.606496187911438,0.393503812088562
118,1,0.392256724695691,0.607743275304309
119,1,0.333530348376826,0.666469651623174
120,0,0.684842000533728,0.315157999466272
121,1,0.209487891946992,0.790512108053008
122,1,0.368519043763412,0.631480956236588
123,0,0.7139593616696,0.2860406383304
124,0,0.771288047192193,0.228711952807807
125,0,0.730234400260286,0.269765599739714
126,1,0.451112829449846,0.548887170550154
127,1,0.275916365542007,0.724083634457993
