,Predicted_Species,SetosaSpeciesProbability,VersicolorSpeciesProbability,VirginicaSpeciesProbability
1,setosa,0.999999999999999,1.08825777111439e-15,7.25054875682431e-105
2,setosa,0.999999999962812,3.71878249763241e-11,4.5549735601659e-95
3,setosa,0.999999999996863,3.13669514877853e-12,1.32765071252522e-98
4,setosa,0.99999997702094,2.2979060341869e-08,2.75164904818365e-91
5,setosa,0.999999999999999,1.35502517703596e-15,1.92183561815649e-105
6,setosa,1,2.29951936496631e-18,1.27024449409158e-102
7,setosa,0.99999999999793,2.06985762773461e-12,3.33719844611343e-96
8,setosa,0.999999999999566,4.33742620641191e-13,6.23429498268838e-100
9,setosa,0.999999412167301,5.87832698808492e-07,1.45260485117871e-88
10,setosa,0.999999998638736,1.36126410507245e-09,2.07367245243688e-96
11,setosa,1,8.18713445366385e-18,1.41247783992478e-108
12,setosa,0.999999999784748,2.15252403098675e-10,1.42085309763985e-95
13,setosa,0.999999998394082,1.60591824504381e-09,3.06881798298691e-96
14,setosa,0.999999999020431,9.79569331138781e-10,1.90487108061791e-98
15,setosa,1,2.48858696731254e-26,2.28506043825395e-124
16,setosa,1,3.83328097143394e-26,3.57892254106586e-118
17,setosa,1,2.01464488787926e-23,3.76284496449157e-112
18,setosa,1,1.3094449849014e-16,1.0464540125815e-102
19,setosa,1,5.68472860319039e-19,3.51175013806087e-106
20,setosa,1,3.31176306450535e-17,5.10911120852649e-105
21,setosa,0.999999999999799,2.0101980388122e-13,4.05167574655335e-99
22,setosa,1,1.66294269766922e-17,2.70510300258423e-101
23,setosa,1,8.65408858288253e-18,5.0895971182641e-111
24,setosa,0.999999999999795,2.05022834193336e-13,4.10842436074626e-88
25,setosa,0.999998663323379,1.33667662079649e-06,1.98987980792089e-88
26,setosa,0.99999999758208,2.41791998922131e-09,2.72167846155012e-91
27,setosa,0.999999999999885,1.15425748518097e-13,3.1302472100049e-93
28,setosa,0.999999999999996,3.8495794223871e-15,1.79733522289974e-103
29,setosa,0.999999999999999,8.74009573003966e-16,2.73542943935609e-104
30,setosa,0.999999980521692,1.94783079462925e-08,1.85935395328266e-91
31,setosa,0.999999984356438,1.56435617811668e-08,7.01482292179525e-91
32,setosa,1,8.61450885124175e-18,1.45260563387558e-99
33,setosa,1,6.05734800240121e-18,5.1091038887928e-115
34,setosa,1,6.7730052828459e-23,9.07002432595876e-120
35,setosa,0.999999999836206,1.6379395626301e-10,2.99288086186345e-94
36,setosa,0.999999999999999,1.2164052010987e-15,5.9908364147547e-104
37,setosa,1,8.12193667535694e-20,3.36465054235583e-111
38,setosa,0.999999999999941,5.85153785975559e-14,1.29479647613599e-106
39,setosa,0.999999992336418,7.66358192786758e-09,1.6427285796784e-92
40,setosa,0.999999999999917,8.34745266321803e-14,6.41139902148831e-101
41,setosa,1,3.70173861689563e-17,4.22145281710747e-104
42,setosa,0.999996088482473,3.91151752697533e-06,2.18023400188055e-80
43,setosa,0.999999999559945,4.40054751440787e-10,1.22063960104278e-95
44,setosa,1,4.00452594867254e-16,1.77741154783324e-90
45,setosa,0.999999999999545,4.54834399096829e-13,2.48923341544179e-93
46,setosa,0.999999999976749,2.32506121734921e-11,6.39248432340203e-92
47,setosa,0.999999999999995,5.05898532849474e-15,8.53274633022201e-105
48,setosa,0.999999999700422,2.99578117612852e-10,3.11179603252462e-95
49,setosa,1,4.25412314001215e-17,1.37346053195119e-107
50,setosa,0.999999999999901,9.84770441300003e-14,9.4881988690836e-101
51,versicolor,0.000102703822899582,0.9998972961771,2.07883830262278e-18
52,versicolor,1.46527739471145e-05,0.999985347226052,6.22766106398192e-16
53,versicolor,1.16524090527843e-07,0.999999883468854,7.05518347092938e-12
54,versicolor,4.19922603241572e-13,0.99999999999958,9.8474906232258e-17
55,versicolor,1.36582328990394e-08,0.999999986315705,2.60624093447491e-11
56,versicolor,6.83974714712988e-15,0.999999999999993,2.07751961468412e-16
57,versicolor,2.89491447524403e-07,0.999999710481205,2.73477112405448e-11
58,versicolor,1.09937769454723e-10,0.999999999890062,4.17949929870549e-33
59,versicolor,4.2879149044567e-09,0.999999995712085,1.10114356191708e-18
60,versicolor,1.38672133554662e-10,0.999999999861328,9.88436887717458e-18
61,versicolor,5.5751375480435e-15,0.999999999999994,2.29372104920659e-27
62,versicolor,1.37939540214711e-06,0.999998620604597,4.897412788867e-16
63,versicolor,6.63993480468266e-13,0.999999999999336,2.18569119932922e-26
64,versicolor,5.11847242700049e-13,0.999999999999091,3.97514411481818e-13
65,versicolor,0.00131368224663761,0.998686317753362,3.8504016626911e-27
66,versicolor,0.00108827912603936,0.998911720873961,5.30504357996536e-20
67,versicolor,1.58334679292283e-12,0.999999999991178,7.23828791109565e-12
68,versicolor,1.69340422278796e-12,0.999999999998307,1.9120601779639e-29
69,versicolor,3.38798804288033e-13,0.999993989537438,6.01046222290981e-06
70,versicolor,1.01121401444296e-11,0.999999999989888,3.60906922868425e-26
71,versicolor,3.38749954947384e-10,0.947303335076597,0.0526966645846525
72,versicolor,1.04603507473365e-05,0.999989539649253,4.3676660403716e-23
73,versicolor,1.12075571987927e-15,0.999860187538649,0.000139812461349772
74,versicolor,1.7757784475871e-15,0.999999999999998,2.42880098568567e-18
75,versicolor,9.86207695436802e-07,0.999999013792304,1.70984604370672e-21
76,versicolor,5.02401225215548e-05,0.999949759877478,8.73621005573606e-19
77,versicolor,6.82441013411939e-10,0.999999999316989,5.70187604439405e-13
78,versicolor,3.87035024089937e-09,0.995918753545589,0.00408124258406107
79,versicolor,2.76583352697685e-10,0.999999999718228,5.18844073115937e-12
80,versicolor,3.01145582899906e-06,0.999996988544171,6.18421589587573e-35
81,versicolor,8.57160284666451e-12,0.999999999991428,4.52736120879577e-26
82,versicolor,1.89573296126135e-11,0.999999999981043,2.87818196140626e-30
83,versicolor,3.95156331236009e-08,0.999999960484367,1.59964239397514e-25
84,virginica,9.93239102326595e-19,0.290179141994693,0.709820858005307
85,versicolor,5.86434859719931e-14,0.999999999974593,2.53482900097717e-11
86,versicolor,2.90925658961804e-06,0.999997090743292,1.18548542555481e-13
87,versicolor,1.4580692584687e-06,0.999998541930598,1.43666108316447e-13
88,versicolor,1.95504050859504e-12,0.999999999998026,1.93645207255548e-14
89,versicolor,2.61652910441045e-09,0.999999997383471,1.70104514665373e-22
90,versicolor,7.31297931903406e-12,0.999999999992687,1.27430183540593e-18
91,versicolor,3.21716848908219e-17,1,3.57424497502194e-18
92,versicolor,3.9261108374156e-11,0.999999999960735,3.4482054724669e-15
93,versicolor,5.1516550305093e-10,0.999999999484835,1.8440923392617e-23
94,versicolor,1.36887095565387e-10,0.999999999863113,1.96333533819886e-32
95,versicolor,1.95874675513955e-12,0.999999999998041,1.51540546819301e-18
96,versicolor,8.90019544045174e-11,0.999999999910998,9.93799448820856e-25
97,versicolor,1.77248070936408e-10,0.999999999822752,1.04789839661773e-20
98,versicolor,3.65268760683406e-08,0.999999963473124,5.98784064433448e-21
99,versicolor,0.000638868734293479,0.999361131265706,7.21608651027429e-35
100,versicolor,7.80689991503974e-10,0.99999999921931,7.02445608077649e-21
101,virginica,4.20112479445376e-47,2.09702868781049e-32,1
102,virginica,4.92252759092964e-27,6.76430606121383e-11,0.999999999932357
103,virginica,7.11318656677861e-33,1.26032919203283e-19,1
104,virginica,1.02146796130882e-28,3.71011014251731e-10,0.999999999628989
105,virginica,1.40540156422756e-38,3.20837314059686e-23,1
106,virginica,1.30793951685206e-44,4.33644932160029e-26,1
107,virginica,1.88009916990036e-20,0.0222523223331873,0.977747677666813
108,virginica,1.63275460040523e-35,2.92967278408964e-15,0.999999999999997
109,virginica,8.67802095447188e-36,4.4303667596287e-15,0.999999999999996
110,virginica,6.68730671765901e-36,3.05744621635718e-28,1
111,virginica,1.86262948483376e-14,2.37934474313742e-07,0.999999762065507
112,virginica,7.16159746611831e-26,1.68925601865853e-11,0.999999999983108
113,virginica,2.61174981632624e-26,5.6878378404844e-16,0.999999999999999
114,virginica,6.28230093864033e-31,5.1139077872172e-15,0.999999999999995
115,virginica,2.88357324922692e-36,2.39486440958768e-25,1
116,virginica,1.09662647601484e-26,4.28403963808326e-19,1
117,virginica,8.54035051946919e-23,1.4978188534229e-07,0.999999850218115
118,virginica,1.19920553635461e-35,1.83982642793072e-22,1
119,virginica,2.40706985366513e-61,4.18790906409939e-39,1
120,virginica,6.52705902595448e-22,0.109125823903352,0.890874176096648
121,virginica,2.82397232087207e-31,3.32432199796356e-22,1
122,virginica,7.68855074582126e-25,2.43449840629947e-11,0.999999999975655
123,virginica,5.65848752950478e-47,9.60501611277171e-26,1
124,virginica,3.58720816433217e-15,0.000320129898505156,0.999679870101491
125,virginica,2.28233334046003e-27,1.20061699031095e-15,0.999999999999999
126,virginica,1.16099984521415e-24,2.3985122062774e-09,0.999999997601488
127,virginica,3.20006614580954e-12,0.0193457049226136,0.980654295074186
128,virginica,1.76408882890344e-12,0.0584869179255752,0.941513082072661
129,virginica,9.00580003126413e-36,4.57651830731368e-20,1
130,virginica,1.03613261626434e-18,0.00762114048955582,0.992378859510444
131,virginica,1.74221803288961e-33,8.94172511113199e-17,1
132,virginica,3.30780191588527e-22,2.09062707802924e-12,0.999999999997909
133,virginica,6.23983389961011e-38,3.81541175422507e-23,1
134,versicolor,2.41115245785993e-16,0.999964602096045,3.53979039546109e-05
135,virginica,7.17765043552102e-27,0.244042995279663,0.755957004720337
136,virginica,4.9680665735722e-36,2.18760365079296e-26,1
137,virginica,7.50887766866882e-34,6.53969097982203e-24,1
138,virginica,3.22203381822932e-22,7.0360558679719e-07,0.999999296394413
139,virginica,3.23596208020672e-11,0.303291474801684,0.696708525165957
140,virginica,2.24568088872443e-21,1.2270530927711e-13,0.999999999999877
141,virginica,1.35970799833771e-34,1.18060047406968e-25,1
142,virginica,1.50982895400234e-18,1.92342429017617e-16,1
143,virginica,4.92252759092964e-27,6.76430606121383e-11,0.999999999932357
144,virginica,4.99850805900068e-37,1.0329527618358e-24,1
145,virginica,5.2599545726737e-36,5.80001774334823e-28,1
146,virginica,1.80582947927746e-24,4.7643377467346e-19,1
147,virginica,7.66434864790513e-23,2.63442066232422e-10,0.999999999736558
148,virginica,5.74189791821938e-20,2.3478540682273e-10,0.999999999765215
149,virginica,6.47552905579169e-28,7.20876430902921e-19,1
150,virginica,3.41031674510901e-19,0.000103135589349909,0.99989686441065
