,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,1,0.231361474654699,0.768638525345301
2,0,0.74909468005613,0.25090531994387
3,1,0.20734835310286,0.79265164689714
4,0,0.777389905067425,0.222610094932575
5,1,0.22845846060133,0.77154153939867
6,0,0.792878294089923,0.207121705910077
7,1,0.330373995143724,0.669626004856276
8,0,0.784800150807804,0.215199849192196
9,1,0.389487858756743,0.610512141243257
10,0,0.812495974944999,0.187504025055001
11,0,0.838606064947319,0.161393935052681
12,1,0.279085979945558,0.720914020054442
13,1,0.226604457918954,0.773395542081046
14,1,0.228498926417138,0.771501073582862
15,0,0.819773226471167,0.180226773528833
17,0,0.742718638816751,0.257281361183249
18,1,0.224375123399465,0.775624876600535
19,1,0.234248995450407,0.765751004549593
20,0,0.782057143581377,0.217942856418623
21,0,0.808628499642651,0.191371500357349
22,1,0.279770960075551,0.720229039924449
23,0,0.772732412546441,0.227267587453559
24,1,0.244053671414237,0.755946328585763
25,1,0.231361474654699,0.768638525345301
26,0,0.771784617922359,0.228215382077641
27,0,0.821908911734137,0.178091088265863
28,1,0.28017152452595,0.71982847547405
29,1,0.237161434729045,0.762838565270955
30,0,0.774619654462007,0.225380345537993
31,0,0.790210728921179,0.209789271078821
32,0,0.785708899572599,0.214291100427401
33,1,0.232321209374989,0.767678790625011
34,1,0.260310014410963,0.739689985589037
35,0,0.787518014645085,0.212481985354915
36,1,0.247048684631998,0.752951315368002
37,1,0.199209508221648,0.800790491778352
39,0,0.786614854261058,0.213385145738942
40,0,0.792878294089923,0.207121705910077
42,1,0.246047609514001,0.753952390485999
43,1,0.397203393698892,0.602796606301108
44,1,0.262390667536195,0.737609332463805
45,1,0.243060814802478,0.756939185197522
46,0,0.790210728921179,0.209789271078821
48,0,0.787518014645085,0.212481985354915
49,1,0.25515537206506,0.74484462793494
50,0,0.754880806254333,0.245119193745667
51,1,0.23196701103927,0.76803298896073
52,0,0.779289005884747,0.220710994115253
53,0,0.774619654462007,0.225380345537993
54,0,0.764102311613006,0.235897688386994
55,0,0.759168976721267,0.240831023278733
56,1,0.218178086490462,0.781821913509538
57,0,0.782935261869179,0.217064738130821
58,1,0.239075110922659,0.760924889077341
59,0,0.793761894806461,0.206238105193539
61,0,0.830420964885577,0.169579035114423
62,1,0.346052460668944,0.653947539331056
63,0,0.837875351254411,0.162124648745589
64,1,0.311585282812379,0.688414717187621
65,0,0.823481074005077,0.176518925994923
66,1,0.295636342262993,0.704363657737007
67,1,0.238137774837087,0.761862225162913
68,1,0.232321209374989,0.767678790625011
69,0,0.790210728921179,0.209789271078821
72,0,0.823481074005077,0.176518925994923
73,1,0.287842056211336,0.712157943788664
74,1,0.224721121253202,0.775278878746798
76,0,0.791991899748613,0.208008100251387
77,1,0.271166917989789,0.728833082010211
78,0,0.808628499642651,0.191371500357349
79,1,0.211187375169311,0.788812624830689
80,1,0.392053769224348,0.607946230775652
82,0,0.834651752122506,0.165348247877494
83,1,0.187143995798824,0.812856004201176
84,1,0.298597655887565,0.701402344112435
85,0,0.832685496538571,0.167314503461429
86,1,0.30127799464716,0.69872200535284
87,0,0.795520717108225,0.204479282891775
88,0,0.773677425203452,0.226322574796548
89,1,0.235217042708579,0.764782957291421
90,0,0.826592648869559,0.173407351130441
91,1,0.23036381220501,0.76963618779499
92,0,0.826592648869559,0.173407351130441
93,1,0.27800301698951,0.72199698301049
94,0,0.821617871646337,0.178382128353663
95,0,0.689864723863141,0.310135276136859
96,1,0.287434904208518,0.712565095791482
97,0,0.840782250791267,0.159217749208733
98,1,0.258576878248752,0.741423121751248
99,1,0.312742399371283,0.687257600628717
100,1,0.312742399371283,0.687257600628717
101,0,0.840059510687207,0.159940489312793
102,0,0.784800150807804,0.215199849192196
103,1,0.200070585938262,0.799929414061738
104,1,0.240098730909333,0.759901269090667
105,1,0.319733844410503,0.680266155589497
106,1,0.238137774837087,0.761862225162913
110,0,0.782057143581377,0.217942856418623
111,0,0.776495757502826,0.223504242497174
112,1,0.354209263137271,0.645790736862729
113,1,0.359155463767659,0.640844536232341
114,1,0.352977521898858,0.647022478101142
115,0,0.85973352825184,0.14026647174816
116,0,0.755467340858191,0.244532659141809
117,1,0.208468841292637,0.791531158707363
118,1,0.232321209374989,0.767678790625011
120,0,0.878144869952552,0.121855130047448
121,0,0.835667199554617,0.164332800445383
123,1,0.175936867450147,0.824063132549853
124,0,0.82707973611053,0.17292026388947
125,1,0.280858130998337,0.719141869001663
127,0,0.831178506792454,0.168821493207546
128,1,0.297885645852315,0.702114354147685
