,Predicted_Type,FirstClassWineProbability,SecondClassWineProbability,ThirdClassWineProbability
1,1,1,3.49821831616475e-43,6.09798928250895e-48
2,1,1,4.49558763124931e-44,4.73088611174537e-51
3,1,1,1.19803598613227e-48,2.04482654803719e-48
4,1,1,9.50676887495143e-91,1.50064131335159e-41
5,1,0.99999969261448,3.07385519941067e-07,7.17145926224598e-22
6,1,1,2.40102592998963e-75,8.58584521984107e-58
7,1,1,5.4683561603916e-65,1.03690063132786e-48
8,1,1,2.92664387984427e-63,9.18098701518925e-52
9,1,1,3.2528179355871e-29,5.60263280703787e-30
10,1,1,3.54117007965859e-45,2.50367140432446e-26
11,1,1,2.39705446059968e-58,7.90329876258822e-54
12,1,1,3.50495772195911e-45,7.8191220057733e-41
13,1,1,1.21930914073546e-56,3.70825269838041e-46
14,1,1,6.36614001709288e-40,4.77153253563486e-59
15,1,1,2.88613620298631e-87,2.21286625642239e-69
16,1,1,1.18809026427846e-68,2.19826646235337e-50
17,1,1,2.15648541104092e-53,4.06214922126583e-45
18,1,1,4.21755210276489e-35,7.90195221718216e-40
19,1,1,1.4965721358587e-94,6.89633689446317e-70
20,1,1,6.63401323621052e-41,1.33900685661142e-36
21,1,0.99999999999883,1.17017592738341e-12,4.34547641074927e-26
22,1,1,1.09473961000311e-21,7.56277065543955e-23
23,1,1,1.7330848099545e-28,4.11419677593571e-43
24,1,1,1.82507026122035e-31,2.69784282405961e-35
25,1,0.999999999005754,9.94245581488996e-10,3.7050550402217e-24
26,1,0.99998076188688,1.92381131201385e-05,1.02919870942613e-33
27,1,1,1.3673202635804e-59,2.64515142815447e-49
28,1,1,2.7307304525595e-39,2.42706443981816e-35
29,1,1,8.06735344579421e-19,2.38806046915027e-33
30,1,1,2.05721171623145e-28,1.36413268045336e-22
31,1,1,3.35705977132436e-37,1.04717811582947e-34
32,1,1,7.40215910787852e-69,1.30832348951767e-48
33,1,0.999999836090574,1.63909426235135e-07,3.74077008291263e-40
34,1,1,3.05199299862591e-39,1.18527077764749e-51
35,1,1,1.34923718041196e-34,4.99170994246408e-41
36,1,0.999999999999948,5.21059849554146e-14,3.75987100257706e-20
37,1,1,2.50675175397284e-37,2.60758127537212e-44
38,1,1,1.65408003323646e-33,1.1686482085286e-36
39,1,0.999999999999756,2.44055448755413e-13,6.88417560809848e-38
40,1,1,7.29060212728833e-40,1.44168560241268e-33
41,1,0.999999999999998,1.57271367457399e-15,9.45442732072522e-26
42,1,1,1.3711952744587e-22,2.3412196585163e-21
43,1,1,1.65363089148904e-63,8.33595209006734e-45
44,1,0.999997423292364,2.57668459616991e-06,2.30402938711732e-11
45,1,0.999999999999701,2.99032268411404e-13,1.44461165569152e-21
46,1,1,1.57637247998355e-45,1.12708890140465e-23
47,1,1,5.16594489506331e-35,2.7999223829342e-29
48,1,1,4.16687098916577e-30,5.29677281541762e-24
49,1,1,6.92465522948436e-27,1.23851357411457e-23
50,1,1,6.08285399364877e-56,9.19388544078377e-42
51,1,1,5.10249044412955e-48,4.58965921482368e-44
52,1,1,1.40264839338304e-54,1.22552216612415e-51
53,1,1,9.84876760996937e-63,4.21964623207725e-45
54,1,1,4.1060373076724e-69,1.20908475542224e-53
55,1,1,2.1918595907119e-41,2.35685750487236e-35
56,1,1,2.51135231524788e-36,3.79106225150531e-20
57,1,1,3.70990215928159e-34,2.38027613012876e-21
58,1,1,5.82552499718074e-65,2.2487412419961e-53
59,1,1,6.36181977445561e-69,9.44582346354472e-44
60,2,3.87823950541834e-42,1,5.14978856688831e-24
61,2,2.49236540837759e-24,1,3.33976322808177e-37
62,2,2.93231671761847e-32,1,1.73190412873573e-16
63,2,9.44459214782039e-35,1,2.03234519537491e-25
64,2,5.46088961678827e-43,1,3.84747108275022e-25
65,2,2.16975737707528e-52,1,1.48854886779385e-59
66,2,3.31064134842224e-10,0.999999999668936,7.69422495081286e-33
67,2,1.84977902445155e-37,1,1.38867534387097e-30
68,2,8.60662074535891e-36,1,5.86765333661896e-21
69,2,3.99947393168571e-10,0.999999999600043,9.87442512678075e-15
70,2,1.44665365451226e-35,1,4.78960909884585e-51
71,2,6.55272606566284e-10,0.999999999344727,3.02560574144947e-23
72,2,1.52808310688524e-52,1,4.01428925431018e-28
73,2,9.13207868640419e-44,0.999999999999998,2.48343379623986e-15
74,2,7.39020821377345e-24,1,3.19834589109011e-29
75,3,3.15177288069993e-05,4.61447955518164e-06,0.999963867791638
76,2,2.3144218024325e-44,1,1.92826869703788e-46
77,2,4.11343589784653e-51,1,4.25174212729105e-34
78,2,3.60088209482396e-28,1,9.65429652607707e-37
79,2,7.06313665048157e-22,1,1.77118441292677e-53
80,2,2.71501288699685e-52,1,1.80280382396877e-46
81,2,2.44051344998673e-74,1,2.72082702307149e-62
82,2,1.41792992487692e-15,0.999999999999999,1.16712643106179e-28
83,2,2.15413212354907e-45,1,2.25243595254357e-40
84,2,1.46966603090772e-34,1,8.49506976317246e-19
85,2,2.41083473091263e-08,0.999999975891653,9.32163195713639e-21
86,2,3.40522842467194e-42,1,8.52037742758558e-44
87,2,1.55540573837609e-62,1,3.89759079258941e-57
88,2,1.37263868805168e-48,1,8.60838281573037e-45
89,2,3.34009617471937e-22,1,8.4681758719676e-32
90,2,2.60947801645404e-45,1,1.67137820912854e-33
91,2,2.22989612480203e-43,1,3.88693620946327e-49
