,Predicted_Adjusted,AuditLowriskProbability,AuditHighriskProbability
1,0,1,NA
2,0,0.999989140864516,1.08591354842344e-05
3,0,0.999934939749462,6.50602505383224e-05
4,0,0.683759393888583,0.316240606111417
5,1,0.0593532240308147,0.940646775969185
6,0,1,NA
7,1,0.000127778746551817,0.999872221253448
8,0,1,NA
9,0,0.999940408950032,5.9591049968437e-05
10,0,0.999997263560378,2.73643962167832e-06
11,0,1,NA
12,0,1,NA
13,0,1,NA
14,0,1,NA
15,1,0.0723090207757431,0.927690979224257
16,0,0.999195936314589,0.000804063685410631
17,0,0.999964499466864,3.5500533135894e-05
18,0,1,NA
19,0,0.815110680136785,0.184889319863215
20,0,0.893513559138849,0.106486440861151
21,0,0.998539307621099,0.00146069237890074
22,0,0.949417750597906,0.0505822494020939
23,0,1,NA
24,0,0.99578925906728,0.00421074093271986
25,0,1,NA
26,0,0.999313178263679,0.000686821736321017
27,0,0.999911729098823,8.82709011771532e-05
28,1,0.00017452730599323,0.999825472694007
29,0,0.819281406559784,0.180718593440216
30,0,1,NA
31,0,1,NA
32,0,0.843235729497457,0.156764270502543
33,0,1,NA
34,0,1,NA
35,0,0.999813969712482,0.000186030287517475
36,0,1,NA
37,0,0.994577670938228,0.00542232906177165
38,0,0.999744945726131,0.000255054273868571
39,0,0.979078637753762,0.0209213622462379
40,0,0.999872694384688,0.00012730561531172
41,1,0.00145133132039494,0.998548668679605
42,0,1,NA
43,0,0.933986266655787,0.066013733344213
44,0,1,NA
45,0,0.996914429778775,0.0030855702212249
46,1,0.154892115169101,0.845107884830899
47,0,1,NA
48,1,0.408180824802326,0.591819175197674
49,0,1,NA
50,0,0.642082662849923,0.357917337150077
51,0,0.999968280981323,3.17190186770181e-05
52,1,3.41377383000607e-31,1
53,0,0.970318384090729,0.0296816159092714
54,0,1,NA
55,0,1,NA
56,0,0.973131572942201,0.0268684270577992
57,0,0.999922912101229,7.70878987709273e-05
58,0,0.999955961208961,4.40387910394871e-05
59,0,0.999991575679532,8.42432046826616e-06
60,1,4.66318143347542e-06,0.999995336818566
61,0,0.989112406803675,0.0108875931963246
62,0,1,NA
63,0,0.999986766161337,1.32338386626231e-05
64,0,0.932133837718374,0.0678661622816265
65,0,0.996380695633256,0.00361930436674442
66,0,0.999982772021517,1.72279784827978e-05
67,1,0.0167240329936137,0.983275967006386
68,0,0.998983086056862,0.0010169139431378
69,0,1,NA
70,0,1,NA
71,0,0.988649019766157,0.011350980233843
72,0,1,NA
73,0,1,NA
74,0,1,NA
75,1,0.401149440538082,0.598850559461918
76,0,1,NA
77,0,1,NA
78,1,0.0569720573100633,0.943027942689937
79,0,1,NA
80,0,0.999973880970164,2.61190298355837e-05
81,0,0.999826087932278,0.000173912067722053
82,0,0.997480085286691,0.0025199147133092
83,0,0.999988852196216,1.11478037835679e-05
84,1,0.0958148024644139,0.904185197535586
85,0,0.999998944588833,1.05541116748468e-06
86,0,0.998831778142028,0.00116822185797155
87,0,1,NA
88,0,0.968267277819173,0.0317327221808268
89,0,0.999842153235057,0.000157846764943453
90,0,1,NA
91,1,0.0332289896823747,0.966771010317625
92,0,0.982056947032427,0.0179430529675733
93,0,0.999999013787968,9.86212032015222e-07
94,1,0.060049040063748,0.939950959936252
95,0,0.706775817512594,0.293224182487406
96,0,0.85794142575063,0.14205857424937
97,0,0.987776059830101,0.0122239401698992
98,0,0.96491312881545,0.0350868711845503
99,0,0.99592557416253,0.0040744258374699
100,0,1,NA
101,0,0.994931555474476,0.00506844452552436
102,0,0.997766296829,0.00223370317100038
103,0,0.515692532259346,0.484307467740654
104,0,0.998976674698417,0.0010233253015827
105,0,0.816967718183914,0.183032281816086
106,0,0.999862484901747,0.000137515098252692
107,0,0.999999507809285,4.92190715318676e-07
108,0,0.977588820192416,0.0224111798075838
109,0,1,NA
110,0,1,NA
111,0,1,NA
112,0,1,NA
113,0,0.868306438342672,0.131693561657328
114,0,0.999990169152135,9.83084786502854e-06
115,0,0.999953247862876,4.67521371236957e-05
116,1,0.447732162282913,0.552267837717088
117,0,0.999473559452285,0.000526440547715406
118,0,1,NA
119,1,6.96230040996661e-20,1
120,0,1,NA
121,0,0.999999396366372,6.03633627802409e-07
122,0,1,NA
123,0,1,NA
124,0,0.999992741517275,7.25848272504728e-06
125,0,0.915849240579403,0.0841507594205969
126,0,0.999999052138996,9.47861003880946e-07
127,0,0.999999165482606,8.34517393617995e-07
128,1,4.73037386954958e-21,1
129,0,0.986266926143974,0.0137330738560257
130,0,1,NA
131,0,0.999973394381161,2.66056188392564e-05
132,0,1,NA
133,1,0.243270119171918,0.756729880828082
134,0,0.999692508635431,0.000307491364568936
135,0,0.917611753538573,0.0823882464614272
136,0,0.999996271699126,3.72830087435534e-06
137,0,1,NA
138,0,1,NA
139,0,1,NA
140,0,0.999961265446064,3.87345539360118e-05
141,0,1,NA
