,Predicted_censored,CensoredProbability,NonCensoredProbability
1,0,0.775163304,0.224836696
2,0,0.893442089,0.106557911
3,1,0.198000616,0.801999384
4,0,0.858484233,0.141515767
5,1,0.178660912,0.821339088
6,1,0.00014547,0.99985453
7,0,0.963444998,0.036555002
8,0,0.951912123,0.048087877
9,1,1.71E-05,0.999982877
10,0,0.82986048,0.17013952
11,1,0.099322112,0.900677888
12,1,0.078275031,0.921724969
13,0,0.680287561,0.319712439
14,0,0.806534214,0.193465786
15,0,0.864278716,0.135721284
16,0,0.616216797,0.383783203
17,1,0.446508148,0.553491852
18,0,0.86618258,0.13381742
19,0,0.957779254,0.042220746
20,1,0.486827101,0.513172899
21,0,0.767387162,0.232612838
22,0,0.869361755,0.130638245
23,0,0.721898742,0.278101258
24,0,0.803215587,0.196784413
25,1,1.75E-05,0.999982513
26,0,0.820352988,0.179647012
27,1,0.243834316,0.756165684
28,1,0.472836938,0.527163062
29,1,0.373049027,0.626950973
30,0,0.622865669,0.377134331
31,1,0.474647023,0.525352977
32,1,0.422498276,0.577501724
33,0,1,1.55E-24
34,0,0.821481969,0.178518031
35,1,0.400893529,0.599106471
36,0,0.609668496,0.390331504
37,1,0.100636087,0.899363913
38,0,0.617935739,0.382064261
39,1,0.499575372,0.500424628
40,0,0.961705954,0.038294046
41,1,0.119067105,0.880932895
42,1,1.00E-06,0.999998998
43,1,0.103201514,0.896798486
44,1,0.416670842,0.583329158
45,1,0.364314079,0.635685921
46,0,0.990444804,0.009555196
47,0,0.936842934,0.063157066
48,1,0.044587104,0.955412896
49,0,0.889414432,0.110585568
50,1,0.244857762,0.755142238
51,0,0.774915559,0.225084441
52,0,0.76015771,0.23984229
53,0,0.714337384,0.285662616
54,1,0.143128134,0.856871866
55,1,0.094908736,0.905091264
56,1,0.173290954,0.826709046
57,0,0.897879591,0.102120409
58,0,0.970738402,0.029261598
59,0,0.759787565,0.240212435
60,0,0.614518033,0.385481967
61,1,0.019074709,0.980925291
62,0,0.726263361,0.273736639
63,1,0.145998365,0.854001635
64,0,0.525581962,0.474418038
65,0,0.829693027,0.170306973
66,1,0.132866141,0.867133859
67,1,0.15766672,0.84233328
68,1,0.082753441,0.917246559
69,1,0.033581172,0.966418828
70,1,0.158550728,0.841449272
71,0,0.774052103,0.225947897
72,0,0.726612573,0.273387427
73,1,0.429545108,0.570454892
74,1,0.065319037,0.934680963
75,1,0.01779226,0.98220774
76,1,0.075040933,0.924959067
77,0,0.602987907,0.397012093
78,1,0.176788966,0.823211034
79,1,0.098241181,0.901758819
80,0,0.695738301,0.304261699
81,1,0.095718299,0.904281701
82,1,0.378259784,0.621740216
83,1,0.117583964,0.882416036
84,0,0.940315225,0.059684775
85,1,0.348008289,0.651991711
86,1,0.473369494,0.526630506
87,1,0.265965925,0.734034075
88,1,0.10427233,0.89572767
89,1,0.01479901,0.98520099
90,1,0.278012795,0.721987205
91,1,0.035221089,0.964778911
92,0,0.943493454,0.056506546
93,0,0.992966385,0.007033615
94,0,0.969073355,0.030926645
95,1,0.366389668,0.633610332
96,0,0.964095759,0.035904241
97,1,0.035966134,0.964033866
98,1,0.097458551,0.902541449
99,0,0.525993573,0.474006427
100,0,0.874175871,0.125824129
101,1,0.000461577,0.999538423
102,0,0.800034004,0.199965996
103,0,0.703233519,0.296766481
104,0,0.604452884,0.395547116
105,1,0.180691745,0.819308255
106,1,0.085507885,0.914492115
107,0,0.998297756,0.001702244
108,1,0.180895853,0.819104147
109,0,0.786758708,0.213241292
110,0,0.833215637,0.166784363
111,0,0.676233474,0.323766526
112,0,0.565713305,0.434286695
113,1,0.018932588,0.981067412
114,1,0.3576399,0.6423601
115,1,0.245283507,0.754716493
116,1,1.15E-12,1
117,0,0.629910392,0.370089608
118,1,0.346952303,0.653047697
119,1,0.064018768,0.935981232
120,1,0.311318569,0.688681431
121,1,0.058540044,0.941459956
122,1,0.229613121,0.770386879
123,0,0.695630379,0.304369621
124,0,0.566667022,0.433332978
125,0,0.794498483,0.205501517
126,1,0.337081732,0.662918268
127,1,0.016254482,0.983745518
128,1,0.063552645,0.936447355
129,0,0.875904013,0.124095987
130,0,0.97859799,0.02140201
131,0,0.898307932,0.101692068
132,0,0.528082312,0.471917688
133,0,0.526383311,0.473616689
134,0,0.900781179,0.099218821
135,1,0.006814964,0.993185036
136,1,0.134226538,0.865773462
137,0,0.757887366,0.242112634
138,0,0.901194493,0.098805507
139,0,0.736078037,0.263921963
140,0,1,1.38E-27
141,1,0.169106529,0.830893471
142,1,0.194507745,0.805492255
143,0,0.999999999,5.77E-10
144,0,0.971710728,0.028289272
145,1,0.277203829,0.722796171
146,1,0.058147686,0.941852314
147,0,0.767229727,0.232770273
148,1,0.203385283,0.796614717
149,1,0.116760292,0.883239708
150,0,0.814226854,0.185773146
151,1,0.1890779,0.8109221
152,1,0.344300305,0.655699695
153,0,0.843405785,0.156594215
154,1,0.173560488,0.826439512
155,0,0.503938397,0.496061603
156,1,0.087640685,0.912359315
157,1,0.343213501,0.656786499
158,1,0.017791745,0.982208255
159,1,0.407339953,0.592660047
160,1,0.096983278,0.903016722
161,0,0.545029212,0.454970788
162,0,0.872038009,0.127961991
163,1,0.108090189,0.891909811
164,1,0.006355846,0.993644154
165,0,0.943664761,0.056335239
166,1,0.007344076,0.992655924
167,1,0.04803557,0.95196443
168,0,0.73892575,0.26107425
169,0,0.633622412,0.366377588
170,1,1.29E-05,0.999987066
171,1,0.023920675,0.976079325
172,1,0.062816074,0.937183926
173,0,0.580817716,0.419182284
174,0,0.635952241,0.364047759
175,0,0.981231036,0.018768964
176,1,0.30544739,0.69455261
177,0,0.88058922,0.11941078
178,0,0.989146637,0.010853363
179,1,0.031078378,0.968921622
180,1,0.36054259,0.63945741
181,0,0.977384363,0.022615637
182,0,0.979469038,0.020530962
183,0,0.999632511,0.000367489
184,0,0.975778038,0.024221962
185,0,0.924297319,0.075702681
186,0,0.870335496,0.129664504
187,1,0.031348318,0.968651682
188,0,0.930774888,0.069225112
189,1,0.314178501,0.685821499
190,1,0.00504845,0.99495155
191,0,0.840201497,0.159798503
192,1,0.345370061,0.654629939
193,1,0.074928173,0.925071827
194,0,0.772770522,0.227229478
195,1,0.447227113,0.552772887
196,0,1,7.48E-14
197,1,0.365422807,0.634577193
198,0,0.502179805,0.497820195
199,1,0.116507458,0.883492542
200,1,0.205975296,0.794024704
201,0,0.937218265,0.062781735
202,0,0.99081933,0.00918067
203,0,0.977188484,0.022811516
204,1,0.191916315,0.808083685
205,1,0.332333997,0.667666003
206,1,0.286550438,0.713449562
207,1,0.057694194,0.942305806
208,0,0.890297684,0.109702316
209,0,0.845665123,0.154334877
210,1,4.43E-07,0.999999557
211,0,0.9892067,0.0107933
212,0,0.980109283,0.019890717
213,0,0.655052665,0.344947335
214,1,0.137374877,0.862625123
215,1,0.078626382,0.921373618
216,0,0.899669291,0.100330709
217,1,0.396852721,0.603147279
218,1,0.228885289,0.771114711
219,1,0.115353245,0.884646755
220,1,0.239358262,0.760641738
221,1,0.26237749,0.73762251
222,0,0.947828383,0.052171617
223,0,0.986926701,0.013073299
224,1,0.177602776,0.822397224
225,0,0.833398982,0.166601018
226,0,0.96292687,0.03707313
227,1,8.53E-07,0.999999147
228,1,0.000577848,0.999422152
229,1,0.301732544,0.698267456
230,0,0.628630895,0.371369105
231,0,0.524269144,0.475730856
232,1,0.450635932,0.549364068
233,1,0.371790315,0.628209685
234,1,0.167972786,0.832027214
235,1,0.231927675,0.768072325
236,0,0.98543108,0.01456892
237,1,0.076691056,0.923308944
238,1,0.164809904,0.835190096
239,0,0.581739376,0.418260624
240,0,0.966299213,0.033700787
241,0,0.96497702,0.03502298
242,0,0.902227716,0.097772284
243,1,0.479763052,0.520236948
244,1,0.080095257,0.919904743
245,0,0.802116323,0.197883677
246,1,0.499386512,0.500613488
247,0,0.71454836,0.28545164
248,1,0.009595208,0.990404792
249,0,0.708019102,0.291980898
250,0,0.709249759,0.290750241
251,0,0.884756457,0.115243543
252,0,0.52701816,0.47298184
253,0,0.623181668,0.376818332
254,1,0.265244659,0.734755341
255,1,0.43785384,0.56214616
256,1,0.259358662,0.740641338
257,1,0.200063354,0.799936646
258,1,0.345450092,0.654549908
259,0,0.557941474,0.442058526
260,1,0.033561975,0.966438025
261,0,0.846667508,0.153332492
262,1,0.115101968,0.884898032
263,0,0.857678557,0.142321443
264,0,0.619959962,0.380040038
265,1,0.444912696,0.555087304
266,0,0.901062117,0.098937883
267,1,0.071303866,0.928696134
268,1,0.415389834,0.584610166
269,0,0.643646498,0.356353502
270,1,0.215003932,0.784996068
271,0,0.965015208,0.034984792
272,0,0.99826169,0.00173831
273,1,0.268440359,0.731559641
274,0,0.97283742,0.02716258
275,0,0.987610694,0.012389306
276,1,0.188243746,0.811756254
277,0,0.763049764,0.236950236
278,0,0.996833297,0.003166703
279,0,0.935144364,0.064855636
280,0,0.704947577,0.295052423
281,0,0.866642511,0.133357489
282,0,0.946520397,0.053479603
283,0,0.885428984,0.114571016
284,1,0.167117707,0.832882293
285,0,0.980110866,0.019889134
286,0,0.993541729,0.006458271
287,0,0.918245859,0.081754141
288,1,0.201221002,0.798778998
289,0,0.877857679,0.122142321
290,0,0.870930923,0.129069077
291,0,0.955638715,0.044361285
292,0,0.928435567,0.071564433
293,0,0.990938342,0.009061658
294,0,0.979723062,0.020276938
295,0,0.789096013,0.210903987
296,1,0.042913741,0.957086259
297,1,0.404638979,0.595361021
298,0,0.916650284,0.083349716
299,0,0.879938245,0.120061755
300,0,0.775163851,0.224836149
301,1,0.319052192,0.680947808
302,0,0.851883511,0.148116489
303,0,0.880284387,0.119715613
304,0,0.969730867,0.030269133
305,1,0.002605064,0.997394936
306,1,0.436263759,0.563736241
307,0,0.826258133,0.173741867
308,1,0.410538067,0.589461933
309,1,0.07719572,0.92280428
310,1,0.138935176,0.861064824
311,0,0.791715674,0.208284326
312,0,0.889874989,0.110125011
313,1,0.113536448,0.886463552
314,1,0.337461277,0.662538723
315,1,0.314236812,0.685763188
316,1,0.466881197,0.533118803
317,0,0.999978789,2.12E-05
318,1,0.20564531,0.79435469
319,0,1,2.47E-15
320,1,0.270030586,0.729969414
321,1,0.219046233,0.780953767
322,1,0.074174806,0.925825194
323,0,0.596112792,0.403887208
324,1,0.321178026,0.678821974
325,1,0.424054393,0.575945607
326,1,0.167440841,0.832559159
327,1,0.185027725,0.814972275
328,0,0.847113505,0.152886495
329,1,0.229923756,0.770076244
330,0,0.900088835,0.099911165
331,1,0.085283377,0.914716623
332,1,0.248129847,0.751870153
333,0,0.936543459,0.063456541
334,1,0.411852536,0.588147464
335,1,0.300243035,0.699756965
336,1,0.015566801,0.984433199
337,0,0.813647689,0.186352311
338,0,0.966464128,0.033535872
339,1,0.13130195,0.86869805
340,1,0.106569485,0.893430515
341,0,0.989216581,0.010783419
342,0,0.74575976,0.25424024
343,1,0.221484688,0.778515312
344,0,0.678201771,0.321798229
345,1,0.142836429,0.857163571
346,1,0.013811038,0.986188962
347,0,0.739120418,0.260879582
348,1,0.201159233,0.798840767
349,1,0.128103909,0.871896091
350,0,0.749424759,0.250575241
351,1,0.069786331,0.930213669
352,0,0.533843324,0.466156676
353,1,0.149101188,0.850898812
354,1,0.226967153,0.773032847
355,1,0.24217638,0.75782362
