,Predicted_Species,SetosaSpeciesProbability,VersicolorSpeciesProbability,VirginicaSpeciesProbability
1,versicolor,3.45E-58,0.999967497,3.25E-05
2,versicolor,1.95E-73,0.998306551,0.001693449
3,setosa,1,4.30E-21,1.12E-29
4,versicolor,4.03E-100,0.738703472,0.261296528
5,setosa,1,8.04E-16,9.88E-24
6,versicolor,1.34E-61,0.999934041,6.60E-05
7,versicolor,5.64E-83,0.997659187,0.002340813
8,versicolor,3.15E-78,0.999036744,0.000963256
9,setosa,1,7.96E-18,2.60E-26
10,virginica,3.26E-165,9.95E-06,0.999990052
11,versicolor,1.93E-30,0.999999914,8.63E-08
12,virginica,3.27E-209,6.99E-10,0.999999999
13,virginica,6.62E-156,0.000756876,0.999243124
14,versicolor,3.15E-94,0.836495915,0.163504085
15,setosa,1,4.41E-13,2.91E-21
16,versicolor,1.73E-61,0.999964983,3.50E-05
17,versicolor,3.10E-86,0.99168168,0.00831832
18,versicolor,3.08E-108,0.973411157,0.026588843
19,virginica,1.36E-169,8.12E-06,0.999991878
20,setosa,1,2.20E-18,1.57E-26
21,setosa,1,2.72E-19,6.97E-28
22,versicolor,1.47E-112,0.678759588,0.321240412
23,versicolor,1.00E-62,0.999800884,0.000199116
24,setosa,1,5.46E-18,1.45E-26
25,virginica,1.66E-106,0.482143304,0.517856696
26,setosa,1,4.92E-15,4.44E-23
27,setosa,1,6.38E-17,2.76E-25
28,setosa,1,2.77E-17,1.24E-25
29,setosa,1,3.39E-16,9.21E-26
30,setosa,1,1.10E-17,6.12E-26
31,virginica,2.92E-204,1.16E-08,0.999999988
32,virginica,2.62E-172,1.20E-06,0.999998802
33,versicolor,1.79E-63,0.999849609,0.000150391
34,virginica,3.07E-152,0.002075344,0.997924656
35,virginica,1.59E-194,3.22E-08,0.999999968
36,virginica,7.99E-180,2.57E-06,0.999997428
37,virginica,9.07E-223,2.51E-10,1
38,virginica,4.28E-133,0.032664913,0.967335087
39,versicolor,1.63E-97,0.814143178,0.185856822
40,setosa,1,2.10E-18,1.02E-26
41,setosa,1,4.09E-16,1.53E-24
42,setosa,1,5.16E-15,6.76E-23
43,versicolor,9.09E-42,0.999999053,9.47E-07
44,setosa,1,5.37E-18,3.98E-26
45,virginica,7.52E-127,0.066793424,0.933206576
46,virginica,2.04E-195,1.66E-06,0.999998336
47,setosa,1,1.80E-17,7.39E-26
48,setosa,1,2.28E-18,1.87E-26
49,versicolor,1.12E-87,0.986291366,0.013708634
50,virginica,4.11E-169,2.75E-06,0.999997252
51,versicolor,1.70E-116,0.599960977,0.400039023
52,virginica,3.30E-166,1.25E-06,0.999998746
53,versicolor,1.21E-67,0.999713377,0.000286623
54,virginica,1.08E-169,1.36E-06,0.99999864
55,setosa,1,2.72E-20,2.05E-28
56,versicolor,6.97E-64,0.999814365,0.000185635
57,versicolor,1.75E-88,0.955064812,0.044935188
58,setosa,1,8.20E-19,1.64E-27
59,setosa,1,6.99E-18,3.10E-26
60,virginica,5.16E-131,0.036779769,0.963220231
61,versicolor,9.86E-86,0.993720274,0.006279726
62,versicolor,9.47E-82,0.987484842,0.012515158
63,virginica,1.18E-115,0.225945151,0.774054849
64,virginica,1.02E-191,2.97E-07,0.999999703
65,virginica,6.30E-235,1.43E-09,0.999999999
66,setosa,1,1.77E-19,1.70E-27
67,setosa,1,1.89E-20,4.69E-29
68,setosa,1,2.88E-11,1.03E-19
69,virginica,1.39E-175,8.81E-07,0.999999119
70,versicolor,7.89E-62,0.999981226,1.88E-05
71,versicolor,6.57E-36,0.999999944,5.64E-08
72,versicolor,9.52E-77,0.996651069,0.003348931
73,virginica,8.18E-145,0.003389921,0.996610079
74,setosa,1,8.70E-12,3.63E-20
75,versicolor,1.22E-95,0.98649881,0.01350119
76,virginica,7.18E-165,0.000601899,0.999398101
77,versicolor,4.02E-30,0.999999891,1.09E-07
78,virginica,1.24E-232,1.25E-11,1
79,setosa,1,1.17E-18,3.77E-27
80,versicolor,1.77E-93,0.950056923,0.049943077
81,setosa,1,4.81E-19,1.48E-27
82,setosa,1,2.12E-18,1.83E-26
83,virginica,2.08E-196,1.40E-08,0.999999986
84,virginica,2.07E-120,0.084201094,0.915798906
85,setosa,1,9.00E-17,1.87E-25
86,virginica,2.41E-178,2.18E-06,0.999997819
87,virginica,1.44E-221,2.86E-10,1
88,virginica,1.32E-177,1.14E-05,0.999988637
89,virginica,1.05E-113,0.219466623,0.780533377
90,setosa,1,7.18E-19,3.26E-27
91,versicolor,1.24E-77,0.99953571,0.00046429
92,versicolor,2.97E-91,0.92885469,0.07114531
93,virginica,4.79E-119,0.128251598,0.871748402
94,versicolor,4.34E-54,0.999982128,1.79E-05
95,versicolor,5.73E-98,0.904172328,0.095827672
96,versicolor,8.71E-68,0.999836836,0.000163164
97,setosa,1,2.61E-18,1.66E-26
98,virginica,4.28E-133,0.032664913,0.967335087
99,versicolor,5.68E-82,0.981842852,0.018157148
100,virginica,2.45E-191,1.32E-06,0.999998681
101,versicolor,2.67E-49,0.999979612,2.04E-05
102,versicolor,1.34E-64,0.999848165,0.000151835
103,versicolor,8.26E-105,0.929022127,0.070977873
104,virginica,1.72E-114,0.231357464,0.768642536
105,setosa,1,1.21E-14,7.60E-23
106,setosa,1,3.15E-19,1.67E-27
107,setosa,1,4.41E-18,2.56E-26
108,versicolor,5.03E-48,0.999997482,2.52E-06
109,versicolor,6.19E-91,0.984178874,0.015821126
110,virginica,4.75E-142,0.000744236,0.999255764
111,versicolor,1.19E-72,0.998887244,0.001112756
112,setosa,1,4.12E-20,2.32E-28
113,setosa,1,2.21E-18,1.42E-26
114,virginica,1.02E-234,5.20E-10,0.999999999
115,versicolor,1.90E-52,0.99999629,3.71E-06
116,versicolor,1.37E-70,0.999876167,0.000123833
117,virginica,1.35E-172,1.62E-05,0.999983812
118,versicolor,1.62E-36,0.999998941,1.06E-06
119,setosa,1,1.38E-17,5.80E-26
120,virginica,2.24E-120,0.148497957,0.851502043
121,setosa,1,3.04E-18,1.02E-26
122,setosa,1,3.81E-18,3.56E-26
123,virginica,1.20E-193,2.71E-08,0.999999973
124,versicolor,6.21E-55,0.999972743,2.73E-05
125,setosa,1,9.17E-21,7.30E-29
126,setosa,1,5.01E-19,1.80E-27
127,setosa,1,8.00E-18,2.53E-26
128,versicolor,1.11E-89,0.996952294,0.003047706
129,virginica,2.13E-216,3.19E-09,0.999999997
130,setosa,1,9.00E-19,5.27E-27
131,setosa,1,6.54E-18,4.21E-26
132,setosa,1,4.23E-18,8.04E-27
133,setosa,1,3.45E-17,1.28E-25
134,virginica,3.49E-190,4.11E-07,0.999999589
135,versicolor,5.82E-85,0.988849427,0.011150573
136,virginica,4.54E-135,0.022553697,0.977446303
137,virginica,3.13E-269,2.01E-12,1
138,setosa,1,9.56E-15,3.65E-23
139,setosa,1,4.68E-17,1.56E-25
140,virginica,6.50E-147,0.000543706,0.999456294
141,virginica,3.47E-148,0.00209136,0.99790864
142,versicolor,4.52E-51,0.99999409,5.91E-06
143,virginica,3.56E-130,0.021670872,0.978329128
144,virginica,9.06E-247,2.00E-11,1
145,versicolor,7.38E-27,0.99999988,1.20E-07
146,setosa,1,1.22E-14,6.44E-23
147,versicolor,5.91E-87,0.988677042,0.011322958
148,virginica,1.70E-147,0.002277767,0.997722233
149,virginica,3.86E-130,0.430924106,0.569075894
150,setosa,1,2.13E-16,9.63E-25
