,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,survived,0.106312691,0.893687309
2,survived,0.301753807,0.698246193
3,survived,0.027142939,0.972857061
4,survived,0.4633767,0.5366233
5,survived,0.04772843,0.95227157
6,died,0.67460116,0.32539884
7,survived,0.091930637,0.908069363
8,died,0.674785587,0.325214413
9,survived,0.174472751,0.825527249
10,died,0.601891395,0.398108605
11,died,0.656302289,0.343697711
12,survived,0.083087509,0.916912491
13,survived,0.099666789,0.900333211
14,survived,0.102514595,0.897485405
15,died,0.541680284,0.458319716
16,died,0.554709656,0.445290344
17,survived,0.081842545,0.918157455
18,survived,0.109484286,0.890515714
19,died,0.671472542,0.328527458
20,died,0.568760448,0.431239552
21,survived,0.076546435,0.923453565
22,died,0.647775321,0.352224679
23,survived,0.114907238,0.885092762
24,survived,0.106312691,0.893687309
25,died,0.644289354,0.355710646
26,died,0.624411983,0.375588017
27,survived,0.084717647,0.915282353
28,survived,0.111973733,0.888026267
29,died,0.654121828,0.345878172
30,died,0.676343639,0.323656361
31,died,0.675512644,0.324487356
32,survived,0.107442479,0.892557521
33,survived,0.106055718,0.893944282
34,died,0.676404949,0.323595051
35,survived,0.114878754,0.885121246
36,survived,0.069532225,0.930467775
37,died,0.67605227,0.32394773
38,died,0.67460116,0.32539884
39,survived,0.114974925,0.885025075
40,survived,0.165381348,0.834618652
41,survived,0.103559975,0.896440025
42,survived,0.114743513,0.885256487
43,died,0.676343639,0.323656361
44,died,0.676404949,0.323595051
45,survived,0.111047436,0.888952564
46,died,0.588226127,0.411773873
47,survived,0.07656966,0.92343034
48,died,0.666439759,0.333560241
49,died,0.654121828,0.345878172
50,died,0.608592665,0.391407335
51,survived,0.3734728,0.6265272
52,survived,0.038521757,0.961478243
53,survived,0.476608509,0.523391491
54,survived,0.053529817,0.946470183
55,died,0.673644706,0.326355294
56,died,0.652294415,0.347705585
57,survived,0.070468965,0.929531035
58,died,0.65689972,0.34310028
59,survived,0.106024577,0.893975423
60,died,0.631336357,0.368663643
61,survived,0.102251652,0.897748348
62,survived,0.112644023,0.887355977
63,survived,0.107442479,0.892557521
64,died,0.676343639,0.323656361
65,died,0.631336357,0.368663643
66,survived,0.094892893,0.905107107
67,survived,0.096591724,0.903408276
68,died,0.675369372,0.324630628
69,survived,0.076358516,0.923641484
70,died,0.568760448,0.431239552
71,survived,0.049997904,0.950002096
72,survived,0.17188386,0.82811614
73,survived,0.498130928,0.501869072
74,survived,0.058042325,0.941957675
75,survived,0.065031732,0.934968268
76,died,0.655701695,0.344298305
77,survived,0.105379082,0.894620918
78,died,0.671163528,0.328836472
79,died,0.651052062,0.348947938
80,survived,0.110392314,0.889607686
81,died,0.642676983,0.357323017
82,survived,0.049093623,0.950906377
83,died,0.642676983,0.357323017
84,survived,0.081422194,0.918577806
85,died,0.563370263,0.436629737
86,survived,0.343957321,0.656042679
87,survived,0.07360218,0.92639782
88,died,0.653350027,0.346649973
89,survived,0.069194572,0.930805428
90,survived,0.105693128,0.894306872
