,Predicted_Type,FirstClassWineProbability,SecondClassWineProbability,ThirdClassWineProbability
1,2,5.07E-12,0.999999974,2.56E-08
2,2,2.97E-06,0.999997033,7.32E-22
3,2,1.83E-10,1,3.49E-11
4,1,1,1.04E-18,3.34E-60
5,1,0.999999943,5.74E-08,7.11E-22
6,2,6.08E-07,0.999999392,5.30E-16
7,3,5.57E-23,2.64E-17,1
8,3,1.75E-20,1.07E-13,1
9,1,1,7.93E-13,7.54E-43
10,1,0.999973186,2.68E-05,1.00E-28
11,2,2.99E-14,0.999909224,9.08E-05
12,2,0.002269154,0.997730846,1.98E-35
13,1,1,2.11E-12,8.29E-33
14,3,1.33E-18,4.55E-05,0.999954484
15,2,1.77E-11,1,7.79E-14
16,1,1,2.37E-10,1.13E-37
17,1,0.92374412,0.07625588,8.58E-19
18,1,0.999999997,3.33E-09,2.59E-37
19,2,5.99E-14,0.999999611,3.89E-07
20,2,1.17E-12,1,1.28E-10
21,1,0.999990163,9.84E-06,2.57E-28
22,2,2.60E-06,0.9999974,2.65E-23
23,3,1.54E-20,1.22E-15,1
24,3,1.24E-23,9.36E-10,0.999999999
25,1,1,5.26E-22,7.27E-57
26,3,3.56E-24,4.35E-15,1
27,1,0.998056582,0.001943418,1.96E-17
28,1,0.998999048,0.001000952,9.54E-17
29,1,0.999999902,9.81E-08,1.56E-37
30,2,4.94E-07,0.999999506,3.95E-19
31,1,0.999997955,2.04E-06,1.59E-34
32,2,1.02E-05,0.999989751,2.29E-16
33,1,0.999999999,1.30E-09,6.14E-31
34,3,2.66E-28,8.15E-09,0.999999992
35,3,6.06E-17,1.46E-05,0.999985417
36,2,3.95E-09,0.999999996,5.53E-16
37,2,2.57E-07,0.999999743,1.00E-17
38,1,0.99970268,0.00029732,2.99E-23
39,1,0.99999999,9.98E-09,2.69E-23
40,2,0.000494683,0.999505317,3.93E-21
41,2,0.01453991,0.98546009,5.68E-19
42,3,1.15E-18,9.92E-20,1
43,1,1,1.16E-14,9.87E-49
44,2,8.87E-10,0.999999999,1.34E-34
45,2,1.03E-12,0.999888308,0.000111692
46,2,5.91E-10,0.999999999,4.03E-59
47,2,0.053295873,0.946704127,3.04E-36
48,3,2.47E-19,5.52E-06,0.999994485
49,1,0.999999995,4.70E-09,8.00E-41
50,1,1,4.21E-10,6.37E-48
51,3,1.17E-13,0.014497858,0.985502142
52,2,2.10E-12,1,2.28E-12
53,3,2.91E-22,8.53E-06,0.999991471
54,3,6.40E-21,1.28E-07,0.999999872
55,1,0.999853814,0.000146186,2.62E-29
