,Predicted_Type,WindowFloatGlassTypeProbability,WindowNon-floatGlassTypeProbability,VehicleWindowGlassTypeProbability,ContainersTypeProbability,TablewareTypeProbability,VehicleHeadlampsTypeProbability
1,WinF,0.48770439847863,0.223820655115466,0.212713602798328,3.8216443910813e-20,0.0757613436075767,1.86049060593558e-17
2,WinF,0.501480421490905,0.23402836467319,0.197632880048985,4.44318484570386e-20,0.0668583337869199,2.15026096421486e-17
3,WinF,0.489608816358487,0.225197443987157,0.210673072993944,3.90000383000412e-20,0.0745206666604121,1.8971328166307e-17
4,WinF,0.540136561265548,0.266985442996914,0.150277306253919,7.2969719640687e-20,0.0426006894836194,3.46001537225983e-17
5,WinF,0.548805352155745,0.27578006427205,0.138179620536473,8.36745704860689e-20,0.0372349630357329,3.94446075855096e-17
6,WinF,0.570670498006578,0.41186828336123,0.0160411303165617,1.2391670375828e-18,0.00142008831563022,5.1371839074805e-16
7,WinF,0.568125544950286,0.299257392775898,0.107544467238488,1.22378020898581e-19,0.0250725950353288,5.67332830715316e-17
8,WinF,0.565782043549614,0.295983017118406,0.111649711357853,1.15883805072138e-19,0.0265852279741269,5.38537381590861e-17
9,WinF,0.539359060432335,0.266231344492644,0.151327678627024,7.21264224573678e-20,0.043081916447997,3.42171371292876e-17
10,WinF,0.563969544984694,0.293556295291959,0.114730164656727,1.1133224069243e-19,0.0277439950666202,5.18308568607769e-17
11,WinNF,0.351008473164019,0.64895824121578,3.31230186437998e-05,7.57493161784667e-16,1.62601331941837e-07,2.24901236764382e-13
12,WinF,0.574440531821881,0.309090807493883,0.0955935642158615,1.44643993191915e-19,0.0208750964683743,6.65511473232952e-17
13,WinNF,0.211652355420228,0.788347357170175,2.87227830042712e-07,7.78996705011886e-14,1.6365083464973e-10,1.80381777262686e-11
14,WinF,0.557659942162665,0.285688228903891,0.124926814701813,9.79525748560544e-20,0.0317250142316315,4.58602693087924e-17
15,WinF,0.588195939480714,0.34958375559654,0.0535991072829196,3.07216813642048e-19,0.00862119763982595,1.36449840917446e-16
16,WinF,0.588333359554821,0.361296533532474,0.043974054470102,3.90671621834314e-19,0.00639605244260235,1.71512798305026e-16
17,WinF,0.581773903800397,0.323790732655584,0.0789044085159493,1.87687685650018e-19,0.0155309550280694,8.53267047894292e-17
18,WinF,0.48770439847863,0.223820655115466,0.212713602798328,3.8216443910813e-20,0.0757613436075767,1.86049060593558e-17
19,WinF,0.48770439847863,0.223820655115466,0.212713602798328,3.8216443910813e-20,0.0757613436075767,1.86049060593558e-17
20,WinF,0.535773175921344,0.262817388358201,0.156106681969821,6.84429119953681e-20,0.0453027537506342,3.2541594524436e-17
21,WinF,0.542772332897958,0.269581479683034,0.146676490180749,7.59589186265147e-20,0.0409696972382587,3.59561340219292e-17
22,WinF,0.48770439847863,0.223820655115466,0.212713602798328,3.8216443910813e-20,0.0757613436075767,1.86049060593558e-17
23,WinF,0.545405000508765,0.272239756225329,0.143014627505155,7.91641382316825e-20,0.0393406157607514,3.74072785069194e-17
24,WinF,0.587287772691473,0.370236040344643,0.0374508563326555,4.72702261234215e-19,0.00502533063122806,2.05603763810131e-16
25,WinF,0.500077948997498,0.232961272168852,0.199203474379089,4.37360703981667e-20,0.0677573044545607,2.11791867536523e-17
26,WinF,0.538106347884862,0.455851293166422,0.00573228483018552,3.7855580759927e-18,0.000310074118528681,1.48262432500336e-15
27,WinF,0.588063405409821,0.348184041975527,0.0548300791358315,2.9873181590604e-19,0.00892247347882084,1.32859665446306e-16
28,WinF,0.57071022310844,0.303079254695131,0.102830327925089,1.30511055462406e-19,0.023380194271339,6.03289107549857e-17
29,WinF,0.588292122606315,0.361923737414473,0.043493052478123,3.95850739525536e-19,0.00629108750108819,1.7367527487171e-16
30,WinF,0.587798174984272,0.366856190915837,0.0398330816084457,4.39516540331251e-19,0.00551255249144506,1.91851839749024e-16
31,WinF,0.585624470310414,0.377901169341703,0.0324246185955195,5.59355856812134e-19,0.00404974175236299,2.41288193410612e-16
32,WinF,0.567631183805429,0.298552711034867,0.108422884324122,1.20944799828114e-19,0.0253932208355825,5.60984521388118e-17
33,WinNF,0.251750600096802,0.748248058137774,1.34023252274023e-06,1.76898499536991e-14,1.5284454319564e-09,4.43779633571942e-12
34,WinF,0.529881173785496,0.465361604444225,0.0045375284019288,4.85639527349114e-18,0.000219693368348599,1.87784057634186e-15
35,WinF,0.567630715483326,0.298552047166574,0.108423713192717,1.20943459008671e-19,0.0253935241573833,5.6097858063311e-17
36,WinF,0.49987058973209,0.232804073112254,0.199434979986148,4.3634530715601e-20,0.067890357169508,2.11319680201331e-17
