,Predicted_Species,SetosaSpeciesProbability,VersicolorSpeciesProbability,VirginicaSpeciesProbability
1,setosa,1,1.44824678090637e-19,5.33354713106805e-39
2,setosa,0.999999999999999,1.04556739407579e-15,1.84288539718212e-32
3,setosa,1,1.32528268186319e-19,6.46291440595272e-39
4,setosa,0.999999999997009,2.99090526600519e-12,1.24583784679318e-26
5,setosa,1,1.32080074977863e-19,4.8037028912683e-39
6,setosa,0.999999999999983,1.70232304763613e-14,9.27244305546599e-31
7,setosa,1,2.72194688973966e-19,1.72321329783097e-38
8,setosa,1,1.1470671870609e-18,1.59232631298955e-37
9,setosa,0.999999999999748,2.51803208068444e-13,2.45430009416179e-28
10,setosa,0.999999999999999,8.05000055952142e-16,1.18131856543343e-32
11,setosa,1,1.73662866360927e-19,5.53055367959292e-39
12,setosa,0.999999999999985,1.47219973279046e-14,1.28685046874382e-30
13,setosa,1,2.68029385519853e-18,9.62412245256988e-37
14,setosa,1,7.11465297080137e-20,4.72065361155484e-39
15,setosa,1,1.23680546233987e-19,4.01943613682773e-39
16,setosa,1,1.82832823992101e-19,4.23926414407938e-39
17,setosa,1,1.50297745677563e-19,4.38099057522384e-39
18,setosa,1,2.03901277482741e-19,8.31560160628258e-39
19,setosa,0.999999999999992,7.50070580931949e-15,2.25182320101524e-31
20,setosa,1,1.83947471031906e-19,6.16536086947795e-39
21,setosa,0.999999795022036,2.04977963589441e-07,9.48003100011442e-19
22,setosa,1,6.87102289145859e-19,5.08211507438085e-38
23,setosa,1,7.40036885912419e-20,4.39699878245424e-39
24,setosa,0.999973020388403,2.69796115939104e-05,3.5356787455023e-15
25,setosa,0.999981357509334,1.86424906634714e-05,2.15426494547281e-15
26,setosa,0.999994999278738,5.00072126208069e-06,2.78049634616127e-16
27,setosa,0.999999670986102,3.29013898528727e-07,2.32966539879098e-18
28,setosa,1,3.57590207502008e-19,2.03774646648315e-38
29,setosa,1,1.77582651434918e-19,7.15471644521424e-39
30,setosa,0.999999983243466,1.67565339541186e-08,2.15907887767191e-20
31,setosa,0.999999153274768,8.46725231856753e-07,1.52940307283381e-17
32,setosa,0.999999999998664,1.33607258614044e-12,1.76169012590311e-27
33,setosa,1,1.28518032534744e-19,4.22039764664251e-39
34,setosa,1,1.3655710730907e-19,4.10204539801842e-39
35,setosa,0.999999999990682,9.31767665883675e-12,7.27136768579309e-26
36,setosa,1,1.09100860479765e-19,4.66231641424635e-39
