,Predicted_AverageOzoneReading
5,4.99033836043923
6,5.89174595971894
7,4.3377285166165
8,4.02376972925503
9,-3.56717036707038
12,5.67613992010754
13,4.85535365628642
14,3.48261250831659
15,4.10774326373776
16,3.60110231429965
19,4.13084549851665
21,3.48460108857483
22,3.48255999915125
23,4.80694431740451
27,6.64967771636512
29,8.02387889968951
30,11.0589086471465
33,8.00685976156674
34,7.99128812869242
35,3.48220274523655
36,3.48220274523655
37,3.35738521210476
40,3.48252402474624
41,4.07333175250847
43,8.00040710309936
44,5.54960813270973
48,8.0218346506196
49,12.9969447092989
51,3.48221787080168
54,3.49799489515871
55,5.80223389662321
56,10.131247368833
57,9.20308869893329
58,22.6582011150133
61,3.48370817611919
62,3.48230804157179
63,3.49341912957416
65,3.48224030174761
68,7.24067955414686
69,3.48221057421151
70,3.48233131427075
71,3.48265400460966
72,8.04775328224679
75,16.5394568192673
76,9.0930137044458
77,24.0200394308449
78,11.8131748253546
79,-13.4498677545278
82,9.19213631456628
83,8.00221437820641
85,13.8766269574952
86,9.07936290116436
89,8.02387546092836
90,12.0087209161003
91,11.9905379128856
92,8.07724613172507
93,9.37732849661938
96,3.48222724396129
97,5.73261539604839
98,24.7293097371795
99,5.22762015502891
100,10.0154029287497
103,4.78481629743052
104,3.48541191697556
105,7.09353510897955
106,3.4927419375858
110,14.8845368435369
111,22.0631211705031
112,17.262694159017
113,6.91825094696589
114,9.99541777341904
117,11.7311282805143
118,6.26165532955477
119,8.79502289717862
120,18.8519457072917
121,24.7345798852275
125,6.57486427567109
127,3.4822091387649
128,12.049504942629
131,9.92342147161569
132,24.7293416858851
133,33.0744123826274
134,24.7363773333215
135,24.7197823140235
146,8.98243948198418
149,13.1348418925079
154,16.9421438972332
155,18.8650395447
156,-0.892362900378418
159,9.1879492574755
160,6.87401645028284
161,6.46753642802468
162,3.48220274523655
163,11.9261008715151
166,24.530978426802
167,24.7303294100986
168,24.7360844101097
169,10.8515926995181
170,23.3156452801562
173,24.7348136221792
174,13.1296488183319
175,14.955725511861
176,17.8196083884036
188,24.7363773337457
191,24.7363773337457
194,24.7363773337457
195,24.7363323825795
196,24.7363711633682
198,21.8871222346415
201,24.6887062358295
202,28.1692412017493
203,24.7363773337457
205,24.7356841271603
208,24.7363773337457
209,24.7363773337457
210,24.736369471953
215,8.89572821797071
216,11.8256134982542
222,24.7290220737745
224,24.7340451900737
225,24.7362109627402
229,3.49804249068645
230,6.76454451184717
231,11.9720919407292
233,14.884242876417
237,24.5595041800164
238,24.2405648797087
239,24.5763115388006
240,24.6729370595332
243,24.7340777196302
244,24.6928316900204
245,24.7363773337457
246,18.8682419734333
247,15.0119896133327
251,24.7360990090973
252,17.0859212499734
257,24.7277944831486
258,17.9061947134297
259,3.51003717651533
261,3.85758169312978
265,22.9503695341643
266,13.1460253495595
268,8.00767495496413
271,10.9752586890191
272,12.1517170246812
273,4.48131407369294
274,4.03884525358616
275,4.67272241163501
278,16.9602988721664
279,24.731413269239
280,24.7361164474907
281,24.7083572241841
282,15.0737785206299
286,27.5372350585695
287,24.7308294188378
288,22.2694636911104
289,17.7526439503519
292,10.0305659097286
293,14.1677752257175
294,8.7932613415603
295,11.90471703997
296,6.76482432585514
301,3.56216931469689
302,7.31516001621538
303,8.02387889968951
308,6.46602378276571
310,4.92757882921841
314,13.9847233868274
315,16.0911478185631
316,3.48262540844952
317,3.63623585084387
320,3.48242267409397
321,3.99971448624858
322,10.7477382198257
323,5.87777204419875
324,7.76265895601754
327,11.879311780896
328,8.01129157322793
329,8.0219867032112
331,4.13415626635317
334,8.02369943237556
335,3.08326413406757
336,3.49235426096434
337,-0.601198922605609
338,5.73257481393248
341,5.00488752350038
342,3.27768023988104
343,8.02093477675664
344,7.02386905639149
345,4.74546615016371
348,3.57802741317471
349,3.48235498442502
350,5.07000224518157
351,3.48485711902204
352,4.40777011116956
355,3.4824893377711
356,3.48574668480274
357,3.4822174839097
358,2.87891776866129
362,1.98871059835812
363,3.52886669213223
364,4.84023959922837
365,3.52868407121866
