,Predicted_TipAmount
1,3.34018271325507
2,1.71894036567018
3,3.76452537143643
4,3.21739475748679
5,3.94652875217926
6,3.49371295263693
7,1.95222417602512
8,3.69237582839668
9,2.31918819503594
10,2.27891155291321
11,1.80115073346776
12,4.91665118544105
13,2.37929285163451
14,2.92080521695736
15,2.79901459864584
16,3.93861553211448
17,1.63069010647932
18,3.7755576118479
19,2.95792263014497
20,3.25534386968201
21,2.90009175478765
22,3.48478806154334
23,2.40893923333528
24,8.36616724187702
25,2.58991146789382
26,2.50857021000158
27,2.22580041306412
28,2.13062494967067
29,4.18431239330794
30,3.1546103234619
31,1.32101314690717
32,2.33561124286005
33,2.88893516103911
34,5.16444548684214
35,2.98085689910314
36,3.1332256183755
37,2.28355928205492
38,3.0552164560265
39,2.56072767488228
40,8.04408615090132
41,2.54140326603199
42,2.55352122806486
43,2.18737346672647
44,1.40762226166818
45,5.23520830191819
46,2.52345336382977
47,4.64807053867235
48,5.39686283988286
49,2.93905865120875
50,2.53868877715614
51,2.33215623106461
52,2.51310819764252
53,4.9566228006905
54,1.54940290280537
55,3.53915145065048
56,2.38621957219541
57,3.03113318324178
58,1.55061731310852
59,1.7615340325603
60,9.09503942023967
61,3.63480925829536
62,1.48947933309906
63,1.94706778418906
64,3.74792289056378
65,2.30755465955955
66,3.11446126716074
67,2.21332708104796
68,0.97455718718663
69,2.78314536291895
70,2.26463451819569
71,2.60832421598099
72,2.91872468903128
73,3.0115002154551
74,5.01688025035408
75,3.21834047880901
76,1.30337201501936
77,3.10045575417404
78,4.17229278242542
79,3.36397502735845
80,3.06428141280136
81,3.97968401026952
82,3.0072288097579
83,1.82098512560317
84,4.98533127273905
85,2.16357487185256
86,3.25996967278667
87,2.02768837683939
88,2.81828179283441
89,5.64928374671987
90,2.62720448190792
91,3.11089880113307
92,3.46464134150794
93,1.01141625688229
94,4.18515067668557
95,3.27433755724736
96,4.64705340875381
97,2.55518458980649
98,1.53396798639739
99,2.79177296435406
100,1.49500615221343
101,2.5040152611264
102,3.08604406312707
103,2.48290479087114
104,3.28671394257583
105,3.86242872877936
106,2.51979424334602
107,3.56534774085027
108,2.71507347320485
109,2.73802102514322
110,4.09870505293894
111,3.15757332318926
112,1.00421301214315
113,2.96448783985006
114,2.83968080428598
115,3.66923270972835
116,3.55946649945461
117,5.00995086388708
118,1.67372955207166
119,2.05273402291046
120,3.0175031170715
121,1.36804456281677
122,2.29657077903354
123,1.0084907040324
124,2.10496096251559
125,2.07919479808524
126,4.087547067347
127,1.48346315123869
128,1.6609223424858
129,1.6719318580069
130,3.36589571587748
131,2.65383478899027
132,2.88826453386832
133,1.64870995893373
134,1.96417671134727
135,3.48121863598115
136,1.88491390209305
137,1.75811888361268
138,1.93036999749177
139,2.30927508010291
140,2.31848694612901
141,3.5984410977991
142,4.93565714392655
143,5.44383771149215
144,5.00386147937337
145,2.31552946622716
146,1.49917663646161
147,1.78214761617091
148,1.79459580469396
149,-2.12927194746444
150,1.7169873389805
151,2.1952974061328
152,2.21789242560925
153,3.00963509908798
154,3.34224097934609
155,2.02419091082536
156,3.79610055210525
157,4.84759871069761
158,3.88926839877795
159,2.83392586879763
160,2.07884510234459
161,3.01199336186535
162,2.30395779126286
163,2.42303708517112
164,2.18257712221825
165,3.06854981344069
166,3.30353573266064
167,2.58580698440773
168,5.39010729652875
169,1.76453839305013
170,1.76045668273005
171,9.97282256929968
172,2.88121167441365
173,5.15013647070918
174,2.89721944905313
175,3.14570485602662
176,2.89596673421704
177,2.99353152125057
178,1.74395795086557
179,4.00590609230005
180,2.89414663464782
181,4.27407615734045
182,2.89550766517989
183,3.63848134913641
184,6.50541450394185
185,3.01850752767712
186,4.96405673894313
187,3.27858133299923
188,2.7424630041554
189,3.64325970268868
190,3.01963804186096
191,1.83262064377327
192,3.16416728147199
193,2.96439220542675
194,1.02310709855358
195,3.84321273992756
196,1.7208177387085
197,1.98968776933679
198,5.06147602037375
199,2.39423791091116
200,0.388385532616741
201,3.7559155806873
202,1.93171793219477
203,2.39423791091116
204,2.52296669104999
205,4.03495950962986
206,3.28772454902286
207,3.02559062902612
208,3.03588199401135
209,2.79220472079886
210,1.79874944001004
211,3.03383359056117
212,5.11621169720721
213,9.11015287151972
214,2.14298476586576
215,6.48906009068483
216,1.86488157508998
217,3.2264540019062
218,1.50519430892999
219,1.4349707463733
220,2.71667785086022
221,2.17999328486255
222,3.48127694094231
223,1.91537825147589
224,2.84912104169103
225,-1.43511118123513
226,2.48915873397899
227,1.99123517706495
228,2.89578843617455
229,2.15269651367725
230,3.13043103655891
231,1.89522045308402
232,3.0894331811386
233,2.71255481706245
234,1.68576784876771
235,2.65313965245021
236,1.03203879007531
237,1.13643786069627
238,6.57989059084425
239,4.70870752726837
240,5.88145131569448
241,2.13587067419089
242,2.9844137399717
243,2.95722175305469
244,5.15645990005191
