,Predicted_censored,CensoredProbability,NonCensoredProbability
1,1,0.34,0.66
2,1,0.2,0.8
3,1,0.2,0.8
4,1,0.34,0.66
5,1,0.26,0.74
6,1,0.06,0.94
7,0,0.96,0.04
8,0,0.94,0.06
9,1,0,1
10,0,0.86,0.14
11,1,0.06,0.94
12,1,0.06,0.94
13,0,0.94,0.06
14,0,0.98,0.02
15,0,0.94,0.06
16,1,0.22,0.78
17,1,0.18,0.82
18,0,0.94,0.06
19,0,1,0
20,1,0.2,0.8
21,1,0.26,0.74
22,0,0.94,0.06
23,0,0.88,0.12
24,0,0.84,0.16
25,1,0,1
26,1,0.24,0.76
27,1,0.12,0.88
28,1,0.22,0.78
29,0,0.88,0.12
30,0,0.86,0.14
31,0,0.94,0.06
32,0,0.92,0.08
33,0,0.94,0.06
34,0,0.94,0.06
35,1,0.24,0.76
36,0,0.9,0.1
37,1,0.14,0.86
38,0,0.8,0.2
39,0,0.86,0.14
40,0,0.9,0.1
41,0,0.82,0.18
42,0,0.84,0.16
43,1,0.02,0.98
44,0,0.94,0.06
45,0,0.84,0.16
46,0,0.98,0.02
47,0,0.86,0.14
48,1,0.02,0.98
49,0,0.9,0.1
50,1,0.2,0.8
51,1,0.22,0.78
52,0,0.98,0.02
53,1,0.22,0.78
54,1,0.04,0.96
55,1,0.04,0.96
56,1,0.2,0.8
57,0,0.84,0.16
58,0,1,0
59,0,0.98,0.02
60,0,0.88,0.12
61,1,0.02,0.98
62,0,0.76,0.24
63,1,0.06,0.94
64,0,0.92,0.08
65,0,0.98,0.02
66,1,0.14,0.86
67,1,0.04,0.96
68,1,0.04,0.96
69,1,0.08,0.92
70,1,0.06,0.94
71,1,0.16,0.84
72,0,0.96,0.04
73,1,0.1,0.9
74,1,0.02,0.98
75,1,0.1,0.9
76,1,0.2,0.8
77,0,0.84,0.16
78,1,0.04,0.96
79,1,0.12,0.88
80,1,0.2,0.8
81,1,0,1
82,0,0.86,0.14
83,1,0,1
84,0,0.76,0.24
85,0,0.8,0.2
86,0,0.86,0.14
87,0,0.68,0.32
88,1,0.06,0.94
89,1,0.02,0.98
90,0,0.88,0.12
91,1,0.02,0.98
92,0,0.84,0.16
93,0,0.94,0.06
94,0,0.96,0.04
95,1,0.22,0.78
96,0,0.96,0.04
97,1,0.04,0.96
98,1,0.12,0.88
99,1,0.16,0.84
100,0,0.98,0.02
101,1,0.14,0.86
102,0,0.92,0.08
103,1,0.26,0.74
104,0,0.9,0.1
105,1,0.06,0.94
106,0,0.78,0.22
107,0,0.98,0.02
108,1,0.2,0.8
109,0,0.84,0.16
110,0,0.9,0.1
111,1,0.34,0.66
112,0,0.88,0.12
113,1,0,1
114,1,0.18,0.82
115,0,0.72,0.28
116,0,0.62,0.38
117,0,0.98,0.02
118,0,0.8,0.2
119,1,0.16,0.84
120,1,0.2,0.8
121,1,0.1,0.9
122,1,0.08,0.92
123,1,0.38,0.62
124,0,0.78,0.22
125,1,0.28,0.72
