,Predicted_RetailPrice
1,20476.4588396523
2,20690.3226949419
3,31561.3391053839
4,32683.1386871503
5,33784.307689357
6,32520.6079982614
7,33784.307689357
8,32427.1423639442
9,32369.391954019
10,27848.5212265656
11,28672.2654563945
12,27815.4825338454
13,27640.3803922371
14,25808.5185934863
15,27551.9309789037
16,28885.77926012
17,27596.7487789037
18,28243.0135854952
19,27596.7487789037
20,29593.1551393564
21,28522.4876189636
22,27551.9309789037
23,27596.7487789037
24,27672.1163046886
25,28903.28190564
26,28614.9645486933
27,29257.6770117294
28,28949.7900181565
29,27806.9301525962
30,28535.5544410743
31,34346.0413830511
32,33183.0119906563
33,34689.1090324162
34,33488.5160309738
35,31402.2276320506
36,32906.5679026044
37,33169.9234291788
38,28730.4250745763
39,29057.6433087436
40,29568.6003142023
41,27140.2373331119
42,28730.4250745763
43,26858.56016871
44,27164.3279158529
45,26218.6690920592
46,29865.2106885731
47,27098.8175066845
48,30353.080478689
49,27596.7487789037
50,27816.4197769223
51,27510.8047848322
52,27582.7069363473
53,29615.0235126897
54,29057.6433087436
55,27730.5749319613
56,29731.4101589417
57,29257.6770117294
58,27806.9301525962
59,29257.6770117294
60,28789.0840991089
61,28590.9878685956
62,16429.1353950871
63,16565.6043481018
64,16046.9077861982
65,15432.4863307509
66,15639.0048971459
67,16326.4091508483
68,15091.8981672259
69,40046.9464726789
70,43935.4976844222
71,43935.4976844222
72,40294.8603847341
73,40140.6557393456
74,41653.1825349011
75,40046.9464726789
76,12677.0729512869
77,13415.3641563315
78,13082.404549828
79,12573.3023124754
80,14974.0034234875
81,12373.7863334442
82,12464.9339715394
83,12620.947318849
84,13433.5858196649
85,12742.9062068424
86,12720.0541735091
87,13294.8718061723
88,13041.0542060185
89,13092.560829828
90,37666.9725385469
91,37174.5152658057
92,34099.9567814601
93,36799.3112140583
94,34242.3161814601
95,37654.6422385469
96,34669.412807661
97,27480.0766684908
98,28987.099302221
99,27553.3787801575
100,30453.5839827643
101,28531.2604529148
102,28501.701225137
103,27480.0766684908
104,13382.9218855815
105,13993.1637396923
106,13420.4075222482
107,13328.0151374276
108,13023.8533956316
109,13533.1732389148
110,12993.5944926905
111,19581.1043434349
112,20586.418971261
113,19581.1043434349
114,19510.5283745888
115,19581.1043434349
116,21419.5055226545
117,21399.1199276068
118,20574.735680848
119,19375.8622213295
120,20573.5774470762
121,21406.5691298678
122,19510.5283745888
123,20028.9739005209
124,21072.839314939
125,21632.5868226545
126,21949.0848840021
127,22090.6629380142
128,21562.0394962718
129,20331.9628026358
130,20309.2855229363
131,20402.5138649184
132,20331.9628026358
133,20520.7151857141
134,19659.9987028794
135,20352.793414603
136,21406.5691298678
137,21302.3720190662
138,21238.0296113493
139,38585.6965630758
140,38079.6531403474
141,37987.6530603842
142,39168.7383345431
143,37662.8040244754
144,38877.6897821735
145,39255.3312355957
146,37212.0106983271
147,38156.6980937175
148,36920.2212370303
149,37588.4570595631
150,39608.3103061118
151,39640.2045622624
152,37987.6530603842
153,16791.4663490126
154,16871.3586490126
155,15905.3793929772
156,15122.1795047521
157,15930.6789254131
158,17906.5528596271
159,17961.5238916473
160,18730.3050683953
161,18458.8756280494
