,Predicted_Type,WindowFloatGlassTypeProbability,WindowNon-floatGlassTypeProbability,VehicleWindowGlassTypeProbability,ContainersTypeProbability,TablewareTypeProbability,VehicleHeadlampsTypeProbability
28,WinF,0.9,0.06,0.04,0,0,0
137,WinNF,0.26,0.7,0.04,0,0,0
142,WinNF,0.18,0.76,0.06,0,0,0
60,WinF,0.96,0.02,0.02,0,0,0
143,WinNF,0.2,0.8,0,0,0,0
48,WinF,0.92,0.04,0.02,0,0.02,0
116,WinNF,0.1,0.86,0.04,0,0,0
179,Tabl,0,0.04,0.04,0,0.86,0.06
104,WinNF,0.2,0.74,0.04,0,0,0.02
162,Veh,0.24,0.16,0.6,0,0,0
65,WinF,0.94,0,0.06,0,0,0
59,WinF,0.92,0.08,0,0,0,0
204,Head,0,0,0,0,0,1
198,Head,0,0,0,0,0,1
208,Head,0,0.02,0,0.12,0.04,0.82
110,WinNF,0.02,0.68,0.04,0.1,0.1,0.06
195,Head,0,0,0,0,0,1
165,Con,0.02,0.14,0,0.82,0.02,0
55,WinF,0.78,0.12,0.06,0.04,0,0
57,WinF,0.62,0.26,0.1,0,0.02,0
8,WinF,0.9,0.08,0.02,0,0,0
122,WinNF,0.04,0.96,0,0,0,0
87,WinNF,0.08,0.9,0.02,0,0,0
177,Tabl,0,0.06,0.02,0,0.92,0
170,Con,0,0.04,0,0.94,0.02,0
4,WinF,0.92,0.04,0.04,0,0,0
58,WinF,0.84,0.16,0,0,0,0
81,WinNF,0.02,0.98,0,0,0,0
197,Head,0.02,0.02,0,0.08,0,0.88
108,WinNF,0,0.94,0.02,0.04,0,0
29,WinF,0.82,0.16,0.02,0,0,0
19,WinF,0.82,0.02,0.16,0,0,0
78,WinNF,0.02,0.98,0,0,0,0
15,WinF,0.98,0.02,0,0,0,0
73,WinNF,0.1,0.9,0,0,0,0
158,Veh,0.38,0.02,0.6,0,0,0
32,WinF,0.94,0.04,0.02,0,0,0
203,Head,0,0,0,0,0,1
71,WinNF,0.12,0.76,0.08,0,0,0.04
53,WinF,0.8,0.18,0.02,0,0,0
79,WinNF,0.1,0.8,0.1,0,0,0
136,WinNF,0.12,0.88,0,0,0,0
187,Head,0,0,0.02,0.06,0,0.92
3,WinF,0.78,0.2,0.02,0,0,0
171,Con,0,0.14,0,0.82,0.04,0
2,WinF,0.92,0.04,0.04,0,0,0
46,WinF,0.96,0.02,0.02,0,0,0
30,WinF,0.92,0.06,0.02,0,0,0
120,WinNF,0.04,0.9,0.06,0,0,0
91,WinNF,0.12,0.88,0,0,0,0
145,WinNF,0.12,0.82,0.06,0,0,0
80,WinNF,0.06,0.94,0,0,0,0
109,WinNF,0.02,0.78,0,0.1,0.04,0.06
