,Predicted_price
4,13630.5053333333
5,17130.6713333333
7,18814.7393333333
9,21441.3723333333
11,15544.1386666667
12,15714.0386666667
13,20656.793
14,20641.47
19,5748.067
20,6072.48166666667
21,6314.863
22,5644.67933333333
23,6123.31966666667
24,7957.93866666667
25,6431.39933333333
26,6919.71566666667
27,6919.71566666667
29,9030.86366666667
30,15237.8923333333
31,6399.41866666667
32,6908.469
33,5635.982
34,6716.29133333333
35,6890.176
36,7275.97066666667
37,7090.09266666667
38,8423.114
39,8729.93233333333
40,9451.53733333333
41,9891.446
42,11770.2383333333
43,9672.207
48,29404.5506666667
51,5880.19866666667
52,6274.86666666667
53,6388.54166666667
54,6919.24833333333
55,7095.28233333333
60,10043.53
61,9783.22
62,10043.53
63,9783.22
65,10265.0946666667
66,16696.806
68,28325.8894761905
69,29315.5084761905
70,27806.8281428571
71,30290.6733333333
73,30642.1653333333
77,5693.165
78,6290.85366666667
79,6436.33366666667
80,7764.315
81,9813.20233333333
82,8365.845
86,8084.17666666667
87,8297.74266666667
88,9578.507
89,9559.097
90,6277.72666666667
91,7079.44766666667
92,6656.17
93,6918.901
94,7490.82066666667
95,7112.869
96,7402.532
97,7244.79466666667
98,7609.893
99,7804.52566666667
100,9053.621
101,9149.96166666667
102,14600.931
103,14443.325
104,14961.1916666667
105,17241.654
106,18097.681
107,17199.4893333333
108,14840.2846666667
109,16091.327
112,15548.0776666667
113,16466.813
116,15244.0006666667
117,16466.813
118,17786.008
119,5691.59666666667
120,7887.447
121,6392.68733333333
122,6897.48166666667
123,7419.75033333333
124,8946.49966666667
126,18905.2306666667
133,12982.2183333333
134,13666.3963333333
135,14296.0896666667
136,14458.2236666667
137,17371.2536666667
138,17061.767
139,5793.842
140,7376.4
141,7509.05366666667
142,7376.33366666667
143,7866.52133333333
144,9614.829
145,9546.308
146,10715.2776666667
147,7892.02066666667
148,9878.79966666667
149,8788.223
150,11600.3143333333
151,5858.72933333333
152,6381.86533333333
153,6452.907
154,7150.42533333333
155,7923.645
156,9213.38866666667
157,7348.98733333333
158,7442.49733333334
159,7916.83133333333
160,7952.82166666667
161,7397.89566666667
162,8348.26266666667
163,8547.13633333333
164,8390.06433333333
165,8299.25533333333
166,9003.84233333333
167,9345.12566666667
168,9763.435
169,9803.667
170,10203.5096666667
171,11072.288
172,11866.5983333333
173,14784.546
174,9357.37366666667
175,10223.1426666667
176,10045.5863333333
177,10158.9763333333
178,10156.0226666667
179,16473.443
180,16473.443
181,16672.8276666667
183,7515.848
184,8483.867
185,7574.31333333333
186,8546.162
187,8758.75133333333
188,8314.16166666667
189,9480.71666666667
191,8988.94766666667
195,15032.0616666667
196,14499.8593333333
197,15032.0616666667
198,14499.8593333333
199,16237.0596666667
200,16566.708
201,15306.0653333333
202,17452.5136666667
203,17224.44
204,15821.3006666667
205,16426.7713333333
