,Predicted_TipAmount
1,2.41574002134482
2,2.17349028926769
3,3.28124874774028
4,3.38758393399193
5,3.69358060795929
6,3.91562287236809
7,2.20665234071323
8,3.86188590267112
9,2.38764532532121
10,2.46957389674979
11,1.96438781690371
12,4.79446508126377
13,2.27288731666321
14,2.98551077404533
15,2.53470461893361
16,3.50497578584379
17,2.37055106223526
18,2.82176289921765
19,2.89424104155104
20,3.2639997340789
21,3.20586561940828
22,2.87416342460589
23,2.49651292212566
24,5.60961380952381
25,3.03167347655113
26,2.99808843682264
27,2.16802427083212
28,2.12620427083212
29,3.70047909199405
30,2.88002199603446
31,1.87381149305434
32,3.0580562939655
33,2.55807958879233
34,3.19605604807473
35,3.07497061940828
36,3.65938199990486
37,2.50391565991292
38,2.90075819815106
39,2.80457216111423
40,4.36055974882261
41,2.37910177102403
42,2.79391872348177
43,2.47644021709611
44,1.95720948357037
45,4.56176995750517
46,2.95423935840241
47,3.63602578584379
48,4.95977541205063
49,3.36823636475289
50,2.89616269173574
51,2.28364670338759
52,2.1674422115262
53,4.79506508126377
54,1.97687448357037
55,3.91562287236809
56,2.96114792983098
57,4.04609926406926
58,2.88003609415856
59,2.02593851710814
60,6.61367571428571
61,3.21380298871496
62,2.13907034250496
63,2.0294051837748
64,3.4136719047619
65,2.83964930397137
66,2.98719216111423
67,2.60848871577646
68,1.44763501133787
69,2.94058776226542
70,2.23526869748332
71,1.98288639204424
72,2.82974183451469
73,3.4539680868408
74,3.78630642017413
75,2.509261255459
76,1.82178028093313
77,3.23777586750284
78,4.33974892857143
79,3.25400654977375
80,3.02576195148316
81,3.12384653221288
82,2.95376817858938
83,1.64705648680226
84,4.23126862745098
85,2.15963138500715
86,4.77631428571428
87,2.15425662310239
88,3.0454963959276
89,4.2491755973928
90,3.09281607358328
91,3.36847125597188
92,3.46878508861509
93,2.14112777777778
94,3.31021013538749
95,3.16990498316498
96,4.36404928571429
97,3.505772367083
98,1.87268680101508
99,3.40905742202805
100,1.79902993227203
101,2.31781777777778
102,2.78087373015873
103,3.55520375370661
104,3.57465642017413
105,3.2603691388916
106,2.19351703081665
107,3.50695177458026
108,3.95608129838978
109,3.17888561940828
110,2.94016505102041
111,2.46582707025492
112,1.40214163167659
113,3.99316232434885
114,3.36318393399193
115,3.53513663558663
116,2.82302004204875
117,4.55200995750517
118,1.82123686899679
119,1.94759001233006
120,3.62925642857143
121,2.05633132589959
122,2.09300986580992
123,2.20935471834048
124,2.15963138500715
125,2.09157924309929
126,4.68997095238095
127,1.84667569097896
128,2.14292800306482
129,1.91745610040865
130,2.89673523109244
131,2.68114663402284
132,2.83960227291157
133,1.85060520233012
134,1.93188092142097
135,2.933186201483
136,1.71777020233012
137,1.82452353566345
138,2.16764800306482
139,2.23461802380952
140,2.15627177057182
141,2.913066201483
142,5.59724523809524
143,5.38573857142857
144,4.54197761904762
145,2.42291904221572
146,1.72277020233012
147,2.15925362816922
148,1.93357117977373
149,1.87372235764562
150,1.93933569097896
151,2.49874021709611
152,2.27612527481616
153,2.87650098772055
154,3.32865230460252
155,3.05762861865686
156,4.55910152236652
157,5.46881351515151
158,3.93297156034024
159,2.44211652369551
160,2.80603277711753
161,3.46341717232739
162,2.29612527481616
163,2.65158212043631
164,2.32112065943155
165,3.18623621763857
166,3.29587165779319
167,3.16246886464052
168,4.75385541205063
169,2.22535707482993
170,2.2649537414966
171,7.18014297924298
172,2.4056564752611
173,3.39940372165
174,3.38659743346106
175,3.39025841002288
176,3.4398307667944
177,3.03449379463827
178,2.35677002957979
179,3.08327790764791
180,3.48107838584201
181,4.1244300873753
182,4.03749875824739
183,3.50545286547439
184,4.63262324754846
185,3.32696171917535
186,4.0748007162946
187,3.61580731379731
188,3.48875271895425
189,3.31653791985792
190,3.96227110723264
191,2.30984479148456
192,3.54448437017231
193,3.74347529411765
194,2.20804024603175
195,3.31021248459384
196,1.93933569097896
197,2.07691476984127
198,4.40321857142857
199,2.51756965739111
200,2.19235024603175
201,2.72516023809524
202,2.43703427277573
203,2.51756965739111
204,3.10682580179624
205,3.697045
206,2.75908997737557
207,3.90561315430601
208,4.54062593073593
209,3.93093129838978
210,2.61056421768707
211,4.0384558382887
212,3.979584316473
213,6.61367571428571
214,2.70715921768708
215,3.46777087491873
216,2.70105921768707
217,3.67392428571429
218,2.05014629488592
219,2.71431445304559
220,4.05923020391889
221,2.05516726984127
222,2.65452415847225
223,1.91959166666667
224,2.21433350023615
225,2.18101298412698
226,3.08459413512958
227,2.42054772990082
228,3.3803608052437
229,2.16172427083212
230,3.57085642017413
231,4.019634316473
232,2.57017857499643
233,1.98288639204424
234,1.8747969475998
235,2.27221203081665
236,1.80522149305434
237,2.09483343774306
238,3.70548766202615
239,3.86690545644831
240,3.86820308215594
241,3.48645380112651
242,3.81537082219931
243,3.07497061940828
244,2.76050757022164
