,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,survived,0,1
2,survived,0.12,0.88
3,survived,0.48,0.52
4,died,0.76,0.24
5,survived,0.3,0.7
6,died,0.84,0.16
7,survived,0.2,0.8
8,died,0.94,0.06
9,survived,0.02,0.98
10,died,0.96,0.04
11,died,0.86,0.14
12,survived,0,1
13,survived,0,1
14,survived,0,1
15,died,0.6,0.4
17,died,0.7,0.3
18,survived,0.02,0.98
19,survived,0,1
20,died,0.82,0.18
21,died,0.66,0.34
22,survived,0,1
23,died,0.76,0.24
24,survived,0.02,0.98
25,survived,0,1
26,died,0.76,0.24
27,died,0.58,0.42
28,survived,0,1
29,survived,0,1
30,died,0.82,0.18
31,died,0.92,0.08
32,died,0.9,0.1
33,survived,0,1
34,survived,0.02,0.98
35,died,0.92,0.08
36,survived,0.02,0.98
37,survived,0,1
39,died,0.92,0.08
40,died,0.84,0.16
42,survived,0.02,0.98
43,survived,0.02,0.98
44,survived,0.02,0.98
45,survived,0.02,0.98
46,died,0.92,0.08
48,died,0.92,0.08
49,survived,0.02,0.98
50,died,0.6,0.4
51,survived,0,1
52,died,0.86,0.14
53,died,0.82,0.18
54,died,0.84,0.16
55,survived,0.16,0.84
56,survived,0.02,0.98
57,survived,0.46,0.54
58,survived,0,1
59,died,0.86,0.14
61,died,0.84,0.16
62,survived,0.1,0.9
63,died,0.86,0.14
64,survived,0.02,0.98
65,died,0.68,0.32
66,survived,0,1
67,survived,0.04,0.96
68,survived,0,1
69,died,0.92,0.08
72,died,0.68,0.32
73,survived,0.04,0.96
74,survived,0,1
76,died,0.94,0.06
77,survived,0,1
78,died,0.66,0.34
79,survived,0,1
80,survived,0.02,0.98
82,died,0.88,0.12
83,survived,0.02,0.98
84,survived,0.04,0.96
85,died,0.86,0.14
86,survived,0.02,0.98
87,died,0.84,0.16
88,died,0.74,0.26
89,survived,0,1
90,died,0.82,0.18
91,survived,0.1,0.9
92,died,0.82,0.18
93,survived,0,1
94,died,0.76,0.24
95,survived,0.1,0.9
96,survived,0.04,0.96
97,died,0.76,0.24
98,survived,0.08,0.92
99,survived,0.02,0.98
100,survived,0.02,0.98
101,died,0.66,0.34
102,died,0.94,0.06
103,survived,0,1
104,survived,0.04,0.96
105,survived,0.02,0.98
106,survived,0.04,0.96
110,died,0.82,0.18
111,died,0.9,0.1
112,survived,0,1
113,survived,0,1
114,survived,0,1
115,died,0.82,0.18
116,died,0.92,0.08
117,survived,0,1
118,survived,0,1
120,died,0.66,0.34
121,died,0.8,0.2
123,survived,0,1
124,died,0.72,0.28
125,survived,0,1
127,died,0.86,0.14
128,survived,0,1
129,died,0.94,0.06
130,survived,0,1
131,survived,0,1
132,survived,0,1
133,died,0.84,0.16
134,died,0.66,0.34
136,died,0.96,0.04
137,died,0.82,0.18
138,survived,0,1
139,died,0.86,0.14
140,survived,0,1
141,died,0.56,0.44
142,survived,0,1
143,died,0.94,0.06
144,died,0.58,0.42
145,survived,0.02,0.98
146,died,0.66,0.34
147,survived,0.02,0.98
149,died,0.86,0.14
150,survived,0,1
151,died,0.9,0.1
152,died,0.74,0.26
154,survived,0,1
155,died,0.9,0.1
156,survived,0.02,0.98
157,died,0.92,0.08
159,died,0.96,0.04
160,survived,0,1
161,survived,0,1
162,survived,0.06,0.94
163,died,0.84,0.16
164,survived,0,1
165,died,0.8,0.2
166,died,0.86,0.14
168,survived,0,1
169,survived,0.04,0.96
170,survived,0.16,0.84
171,died,0.86,0.14
172,died,0.94,0.06
173,died,0.88,0.12
174,died,0.86,0.14
175,died,0.96,0.04
176,died,0.84,0.16
178,died,0.84,0.16
179,survived,0.02,0.98
181,survived,0.02,0.98
182,survived,0.04,0.96
183,survived,0,1
184,died,0.8,0.2
186,died,0.92,0.08
187,survived,0.02,0.98
188,survived,0,1
189,survived,0.02,0.98
190,died,0.9,0.1
191,survived,0,1
192,died,0.9,0.1
193,survived,0.02,0.98
194,survived,0,1
195,died,0.9,0.1
196,survived,0,1
198,died,0.82,0.18
199,survived,0,1
200,survived,0,1
201,died,0.94,0.06
202,died,0.86,0.14
203,died,0.82,0.18
204,died,0.82,0.18
206,died,0.96,0.04
207,died,0.86,0.14
208,survived,0,1
209,survived,0.02,0.98
210,died,0.8,0.2
211,died,0.96,0.04
212,died,0.94,0.06
213,died,0.8,0.2
214,survived,0,1
215,survived,0,1
216,died,0.92,0.08
217,survived,0,1
218,died,0.96,0.04
219,survived,0.02,0.98
221,survived,0,1
222,died,0.96,0.04
223,died,0.88,0.12
225,died,0.94,0.06
226,died,0.86,0.14
227,died,0.82,0.18
228,survived,0,1
229,died,0.86,0.14
230,survived,0,1
231,survived,0,1
232,died,0.8,0.2
233,died,0.94,0.06
234,survived,0,1
235,died,0.94,0.06
237,died,0.86,0.14
239,survived,0,1
240,died,0.84,0.16
241,died,0.92,0.08
243,survived,0,1
244,died,0.94,0.06
245,died,0.82,0.18
246,survived,0,1
247,died,0.92,0.08
248,survived,0.02,0.98
249,died,0.86,0.14
250,survived,0.3,0.7
251,survived,0.02,0.98
252,survived,0.02,0.98
253,died,0.94,0.06
254,survived,0,1
256,survived,0,1
258,survived,0,1
259,survived,0,1
260,died,0.82,0.18
261,survived,0.02,0.98
262,died,0.8,0.2
263,died,0.76,0.24
264,survived,0.02,0.98
265,died,0.94,0.06
266,died,0.82,0.18
267,died,0.94,0.06
268,died,0.94,0.06
269,died,0.72,0.28
271,survived,0,1
272,died,0.72,0.28
273,survived,0,1
274,survived,0.1,0.9
275,died,0.64,0.36
276,survived,0,1
277,died,0.92,0.08
279,died,0.84,0.16
280,died,0.96,0.04
281,died,0.7,0.3
282,survived,0.02,0.98
283,survived,0.02,0.98
285,survived,0.06,0.94
286,died,0.96,0.04
287,survived,0.2,0.8
288,died,0.96,0.04
289,survived,0.04,0.96
290,survived,0,1
291,died,0.92,0.08
292,survived,0,1
293,died,0.66,0.34
295,died,0.86,0.14
296,survived,0.46,0.54
297,survived,0,1
299,died,0.84,0.16
300,died,0.9,0.1
301,died,0.96,0.04
302,died,0.94,0.06
303,survived,0,1
304,died,0.96,0.04
305,survived,0.04,0.96
306,died,0.94,0.06
307,died,0.92,0.08
308,died,0.62,0.38
309,survived,0.02,0.98
310,survived,0.02,0.98
311,died,0.9,0.1
312,survived,0,1
313,died,0.92,0.08
314,died,0.84,0.16
315,survived,0.02,0.98
316,survived,0,1
317,died,0.96,0.04
318,died,0.62,0.38
320,survived,0,1
322,died,0.96,0.04
323,survived,0.04,0.96
324,died,1,0
325,survived,0.04,0.96
326,died,0.98,0.02
327,died,1,0
328,died,1,0
329,died,1,0
330,survived,0.04,0.96
331,died,1,0
332,died,1,0
333,died,1,0
334,survived,0,1
335,died,1,0
336,died,1,0
337,died,0.9,0.1
338,survived,0.04,0.96
339,died,1,0
340,survived,0.1,0.9
341,survived,0,1
342,survived,0.06,0.94
343,survived,0,1
344,died,0.98,0.02
345,survived,0.02,0.98
346,died,1,0
347,died,1,0
348,died,0.98,0.02
349,died,1,0
350,survived,0.06,0.94
351,survived,0.02,0.98
352,died,0.96,0.04
353,survived,0.06,0.94
354,survived,0,1
355,died,1,0
356,survived,0,1
357,died,1,0
358,died,0.98,0.02
359,survived,0.02,0.98
360,survived,0.06,0.94
361,died,0.68,0.32
362,survived,0,1
363,survived,0,1
365,died,0.96,0.04
366,survived,0.24,0.76
367,died,1,0
368,died,1,0
369,died,0.98,0.02
370,survived,0.02,0.98
371,survived,0.06,0.94
372,survived,0,1
373,died,1,0
374,survived,0.04,0.96
375,died,0.96,0.04
376,died,1,0
377,died,0.98,0.02
378,survived,0.02,0.98
379,died,0.96,0.04
380,survived,0.06,0.94
381,survived,0.06,0.94
382,survived,0,1
384,died,1,0
386,survived,0.08,0.92
