,Predicted_Type,FirstClassWineProbability,SecondClassWineProbability,ThirdClassWineProbability
12,1,0.92,0.06,0.02
110,2,0,1,0
98,2,0,1,0
67,2,0.06,0.92,0.02
25,1,0.9,0.1,0
115,2,0,1,0
135,3,0,0.2,0.8
79,2,0.06,0.92,0.02
60,2,0,0.9,0.1
93,2,0,0.98,0.02
103,2,0,1,0
7,1,0.98,0.02,0
99,2,0,1,0
162,3,0,0.08,0.92
43,1,0.98,0.02,0
107,2,0,1,0
13,1,0.96,0.04,0
102,2,0,0.98,0.02
73,2,0.02,0.9,0.08
119,2,0,0.92,0.08
31,1,0.94,0.06,0
3,1,1,0,0
66,2,0.06,0.92,0.02
117,2,0,1,0
105,2,0,1,0
129,2,0,1,0
55,1,0.98,0.02,0
164,3,0.02,0,0.98
53,1,1,0,0
32,1,1,0,0
104,2,0,1,0
74,2,0.38,0.62,0
130,2,0.02,0.9,0.08
95,2,0.02,0.98,0
163,3,0,0,1
155,3,0,0.1,0.9
114,2,0,1,0
58,1,1,0,0
83,2,0,1,0
14,1,0.98,0.02,0
10,1,0.96,0.04,0
131,3,0.02,0.14,0.84
70,2,0,1,0
100,2,0,1,0
78,2,0.02,0.92,0.06
166,3,0,0.04,0.96
156,3,0,0,1
33,1,1,0,0
24,1,0.98,0.02,0
17,1,0.94,0.02,0.04
16,1,1,0,0
85,2,0,0.98,0.02
69,2,0.04,0.8,0.16
42,1,0.98,0.02,0
76,2,0.02,0.98,0
108,2,0,1,0
121,2,0.04,0.96,0
173,3,0,0,1
123,2,0.02,0.96,0.02
169,3,0,0,1
40,1,0.94,0.04,0.02
159,3,0.06,0.02,0.92
118,2,0,1,0
63,2,0.04,0.9,0.06
94,2,0,1,0
140,3,0.02,0.08,0.9
19,1,1,0,0
120,2,0,0.98,0.02
8,1,1,0,0
165,3,0,0,1
39,1,0.96,0.04,0
49,1,1,0,0
72,2,0.1,0.86,0.04
35,1,0.98,0.02,0
106,2,0,1,0
20,1,1,0,0
125,2,0,0.96,0.04
101,2,0.06,0.94,0
128,2,0,0.98,0.02
21,1,1,0,0
97,2,0,0.98,0.02
127,2,0,0.96,0.04
126,2,0,1,0
172,3,0,0.14,0.86
146,3,0.04,0.02,0.94
68,2,0,1,0
57,1,1,0,0
137,3,0,0.14,0.86
92,2,0,1,0
153,3,0,0.04,0.96
168,3,0,0,1
134,3,0,0.08,0.92
62,2,0,0.8,0.2
44,1,0.86,0.1,0.04
37,1,0.98,0.02,0
113,2,0.04,0.96,0
158,3,0.02,0.02,0.96
5,1,0.7,0.26,0.04
148,3,0,0.02,0.98
41,1,1,0,0
145,3,0,0.1,0.9
90,2,0,1,0
143,3,0.02,0.08,0.9
167,3,0.02,0.06,0.92
141,3,0.02,0.08,0.9
87,2,0,1,0
22,1,0.94,0.06,0
45,1,0.98,0.02,0
26,1,0.84,0.16,0
175,3,0,0,1
52,1,1,0,0
23,1,1,0,0
30,1,0.98,0.02,0
133,3,0,0,1
132,3,0,0,1
46,1,1,0,0
111,2,0.02,0.86,0.12
96,2,0.16,0.84,0
2,1,1,0,0
11,1,1,0,0
4,1,0.98,0.02,0
59,1,0.98,0.02,0
144,3,0.02,0.06,0.92
82,2,0.02,0.98,0
174,3,0,0,1
160,3,0.04,0.02,0.94
34,1,1,0,0
56,1,1,0,0
64,2,0,1,0
161,3,0,0.06,0.94
124,2,0.04,0.86,0.1
9,1,1,0,0
84,2,0.06,0.7,0.24
65,2,0,0.98,0.02
151,3,0,0.16,0.84
15,1,1,0,0
61,2,0,0.94,0.06
81,2,0,1,0
150,3,0,0.06,0.94
122,2,0.1,0.86,0.04
27,1,1,0,0
88,2,0,1,0
147,3,0,0.12,0.88
116,2,0,1,0
86,2,0,1,0
89,2,0.02,0.98,0
47,1,1,0,0
51,1,0.96,0.04,0
71,2,0.02,0.68,0.3
54,1,1,0,0
77,2,0.02,0.92,0.06
29,1,1,0,0
176,3,0.06,0.04,0.9
136,3,0,0.1,0.9
170,3,0.02,0.02,0.96
149,3,0,0,1
139,3,0,0.1,0.9
91,2,0,1,0
112,2,0,1,0
75,2,0.32,0.68,0
48,1,0.98,0.02,0
1,1,1,0,0
177,3,0.04,0.02,0.94
50,1,1,0,0
171,3,0,0.24,0.76
28,1,0.88,0.08,0.04
152,3,0,0.22,0.78
109,2,0.02,0.98,0
6,1,1,0,0
154,3,0.04,0.04,0.92
18,1,0.9,0.06,0.04
142,3,0.18,0.04,0.78
178,3,0,0.02,0.98
138,3,0,0.18,0.82
157,3,0,0.02,0.98
80,2,0.08,0.9,0.02
38,1,0.88,0.08,0.04
36,1,0.98,0.02,0
