,Predicted_RetailPrice
1,20141.3178305731
2,22187.7624282755
3,35289.1123425878
4,35852.0116760924
5,38120.9681933295
6,35619.2619168704
7,38163.0483833619
8,35614.3890951166
9,35334.56627713
10,25784.9379335991
11,26972.5752628351
12,25511.2043803443
13,25287.3136084976
14,23047.7528220964
15,25178.1869912845
16,27255.7311785098
17,25129.6639013429
18,25774.155232891
19,25099.6641486404
20,27657.808400972
21,26329.7656571759
22,25223.2872906493
23,25164.6971695995
24,28384.0487568422
25,30059.6054144941
26,29567.7302745465
27,30284.1899010961
28,29883.1193817447
29,28671.7645059151
30,29439.2749576057
31,37923.7660313419
32,36324.5174694903
33,39228.3416152335
34,36875.7880929763
35,31798.6713167464
36,35716.4687905539
37,36615.7863488506
38,26812.1067869701
39,26838.4417616518
40,28208.0013204356
41,24722.0607891934
42,26716.8726726864
43,23671.193081206
44,24491.0520946593
45,21476.651300526
46,27799.4405512423
47,24013.6328326858
48,29434.1250625948
49,25111.9459265924
50,25331.6085453737
51,24481.1457573514
52,24688.3252575586
53,27676.5330788333
54,26733.9459787485
55,28441.0281529148
56,30363.2270727179
57,30229.2239112452
58,28667.1336716053
59,30246.9418859957
60,29787.2812455945
61,29326.5242091936
62,14830.8945866772
63,15692.5208018072
64,13956.069583373
65,13768.0767260639
66,14610.0425611334
67,16188.5834479984
68,12976.4544457805
69,37383.4820626444
70,43104.3745008226
71,42779.4107366494
72,39307.8060364026
73,39037.0925924803
74,40905.5335661656
75,37692.942598911
76,12583.0575155074
77,14927.9296850259
78,13358.6215920845
79,13015.9991369531
80,16608.2592338173
81,11156.9618887172
82,11763.1985020541
83,13141.6356851837
84,14893.9031198801
85,12551.4470378276
86,12577.0172968424
87,14174.2524524723
88,13586.1364951302
89,13421.4398661998
90,31466.415580116
91,31351.9644138378
92,25888.1839501635
93,30932.4602501361
94,27887.8990095
95,31377.2216844972
96,28973.2146558547
97,27098.1778303995
98,29369.7027296578
99,26647.3761773735
100,29926.006868698
101,28363.7152884359
102,27311.7105376271
103,26863.4146649558
104,12536.7975611711
105,13872.751873024
106,12793.1041731863
107,12048.1438711782
108,11701.0919223592
109,13102.564709453
110,11428.4767199487
111,19647.3176366705
112,20996.5011457939
113,19644.9015492046
114,19886.5102958018
115,19561.9492128729
116,23453.2187706217
117,24371.8463366689
118,21487.3289358088
119,18065.5857089473
120,20770.7576615259
121,21655.4890021379
122,19904.0269299301
123,20232.1714972362
124,21339.9882472064
125,23344.2934940308
126,22882.8614348519
127,21650.5264874954
128,22582.0178985165
129,20547.2695709234
130,19106.4270326483
131,19881.7897686033
132,20397.6734886553
133,18733.7455410221
134,19297.1862947267
135,19268.7075741128
136,21516.7653134667
137,21820.1449842465
138,21420.1218148278
139,41172.4796998125
140,40020.9010339211
141,40200.407176003
142,41654.6904898962
143,39556.7212069435
144,41393.3503623268
145,41785.1592130587
146,36700.7941744308
147,40275.5072280703
148,37359.8936785081
149,39837.4797271294
150,42547.3231608396
151,42987.1627273799
152,40151.0787235727
153,22220.4466347983
154,23075.9429383747
155,20322.5506464846
156,19410.7382524946
157,19975.4394138732
158,22103.6097901506
159,23172.7284938433
160,17374.9005360184
161,16652.893064937
162,19023.567243189
163,16211.9977492189
164,17864.4899282106
165,20226.6891083544
166,21506.9431237861
167,17327.5144888982
168,17727.0859310057
169,16730.8525325364
170,18131.0649119562
171,16395.3074082772
172,17368.0549548648
173,19872.4193062339
174,14090.423062149
175,12084.4664435255
176,13720.1474202633
