,Predicted_price
165,8060.78744991882
121,6635.43853595798
98,7638.44112491648
70,26682.1795332631
60,9782.59287853793
93,7118.79899933399
107,18503.637027782
100,9040.47932656158
152,6396.32393175249
186,8701.07348898432
25,6672.66271689484
30,12813.7000076551
139,5485.06571435713
22,5087.06372520252
99,7566.8393993194
203,19433.4445880702
171,11217.0332611295
34,7495.21232876391
200,19392.2906252794
55,7342.35443090975
103,15405.9989777987
188,10083.5431115148
195,15217.877164532
147,8142.55483075717
38,8592.82921194946
173,18711.1377018529
177,10071.7188981848
187,8977.5870404592
104,14702.7433835556
48,32250
5,17771.2565885244
189,8695.96218978937
197,15195.9628417668
19,3503.50353990565
94,7581.38277302484
201,17675.4091532173
29,8492.87956422606
120,9014.68060151775
101,9581.72955272324
180,16052.2370026434
33,7447.17812075465
198,15237.6884444575
138,17478.8950401575
4,14561.0270057906
142,7896.88385478727
170,10711.0643992202
39,8825.45172350769
145,7892.24872789447
176,9810.15068565864
32,6399.52865167428
119,5188.96036423943
26,7407.03351868975
199,19328.6195026304
51,5450.08894505734
66,16087.289067916
133,13041.0256212901
134,13912.2387752053
92,6520.82641391868
37,7354.18029050998
102,15040.5837856628
146,12161.0575058936
143,8144.73096438239
73,34013.8622981471
62,9782.59287853793
77,5128.62211036116
87,8180.90777394725
90,6393.5423981604
14,20774.4927807132
41,8797.85627829704
24,9100.14560851809
185,7866.51977241195
113,15973.0389610515
88,10824.2002366171
43,10693.6155986311
137,16601.9229566462
191,9634.91750119955
23,5340.48134012393
174,9764.27295170919
105,15706.9581961186
144,8815.42228145568
12,17573.0096926995
183,7555.4215895342
108,13396.5593449607
71,30840.4790634602
63,10229.6226503581
178,10003.2712612919
205,20373.2683529489
69,28791.9556776991
81,10635.8410813822
136,14188.7523266801
20,6805.29949064329
53,6528.89100914156
21,7712.19696945104
7,18741.6103447479
91,6258.45684778303
122,6493.47473985929
35,7565.43799263055
13,19965.0125643134
155,6281.38223719414
68,28303.5234274304
27,7407.03351868975
9,21911.106060937
184,8389.97530610656
82,7799.42804307915
36,8270.85725254804
95,6665.66684564362
124,8038.44575842547
156,9976.92916248621
151,5825.72967088591
109,15731.63824151
154,6013.3950856551
97,7263.63943105893
117,15973.0389610515
149,8548.12577800712
78,5493.13715067853
61,10229.6226503581
86,8005.34361428065
112,15265.0538618803
31,6531.3031720761
118,17340.6706295459
42,9466.83444377281
168,10606.947806288
172,11426.4883498616
79,5756.48339017842
40,8960.71493488434
175,10628.20481329
163,7966.50559370828
181,15575.4197372688
196,15325.4393270977
148,9058.91034246513
96,6793.27551663803
126,22018
89,8617.03659947549
11,17117.4849622739
52,6506.94548918323
135,16117.1652800208
141,5889.47172621769
65,9657.64869625481
54,7380.34234060442
204,19914.2384189941
159,6205.71922524811
150,11655.1773054414
202,21335.3619593734
166,8002.39851914306
161,8570.11832466282
169,10589.3913903214
160,6936.57679992487
80,8583.53103582262
116,13637.9600645023
167,7518.20664487304
179,15753.8091284033
153,6729.24968105404
162,7249.69120788002
140,5673.4257248409
157,7873.35651966951
158,7433.68937774828
123,7506.33100234577
164,8544.97932418883
106,19145.1602087797
