,Predicted_RetailPrice
1,20580.31039
2,20832.55726
3,34150.08534
4,34570.48271
5,36441.35757
6,34382.16343
7,36475.40491
8,34525.45837
9,34151.81442
10,26881.92997
11,27583.42759
12,26548.26087
13,26367.10945
14,24520.01886
15,26278.81442
16,28071.95796
17,26239.55409
18,26761.01604
19,26215.2811
20,28397.28114
21,27322.75348
22,26315.30536
23,26267.89972
24,28779.15688
25,30134.86022
26,29736.88098
27,30204.38335
28,29879.87469
29,29011.94949
30,29632.94698
31,36393.98965
32,35100.02767
33,37337.34031
34,35546.06416
35,31325.94775
36,34608.05169
37,35076.26799
38,27453.59155
39,27622.13691
40,28583.01852
41,26021.94945
42,27376.53703
43,24912.25869
44,25575.61173
45,23396.0684
46,28399.68702
47,25336.56639
48,29722.32045
49,26225.21836
50,26402.94876
51,25714.83401
52,25882.46424
53,28412.4314
54,27537.58872
55,28825.25927
56,30380.5224
57,30159.91003
58,29008.20265
59,30174.24575
60,29802.33146
61,29541.71965
62,15107.87386
63,15692.83142
64,14400.04749
65,14315.5038
66,15143.98118
67,16241.43637
68,13710.04527
69,33822.6256
70,38451.43534
71,38188.50513
72,35491.79771
73,35160.57219
74,36672.33943
75,34073.01205
76,12485.56285
77,14450.37604
78,13113.07658
79,12903.42112
80,15742.37865
81,11331.69998
82,11822.20981
83,13005.07443
84,14422.84494
85,12459.98661
86,12480.67567
87,13773.00859
88,13297.1603
89,13163.90323
90,29210.2163
91,29229.80272
92,24809.02388
93,28778.18971
94,26427.00581
95,29138.04896
96,27192.95188
97,26585.78203
98,28423.68698
99,26221.0356
100,28873.79613
101,27721.92585
102,26870.74225
103,26395.83368
104,13358.06776
105,14506.55922
106,13565.44703
107,12962.69501
108,12749.45562
109,13815.83348
110,12528.88096
111,20068.42217
112,21160.05496
113,20066.4673
114,20261.95444
115,19999.35005
116,23295.03808
117,24150.49495
118,21704.42435
119,18788.63301
120,21124.64207
121,21693.24614
122,20276.12726
123,20688.86865
124,21437.97252
125,23206.90596
126,22686.32083
127,21948.65809
128,22590.14402
129,20943.81646
130,19742.97379
131,20370.32461
132,20822.77734
133,19441.43487
134,19785.12872
135,19874.27599
136,21581.00394
137,21973.70789
138,21502.80909
139,39997.3943
140,38953.45525
141,39210.88436
142,40387.55406
143,38690.07403
144,40176.10213
145,40493.11712
146,36267.13609
147,39271.64828
148,36912.60718
149,38805.04792
150,40997.59914
151,41465.66565
152,39170.97241
153,21983.73645
154,22675.92385
155,20380.57447
156,19710.38388
157,20099.72461
158,21821.64053
159,22686.67114
160,18242.21771
161,17658.03697
162,19463.97465
163,17154.06825
164,18378.9204
165,20549.61763
166,21326.05199
167,17944.45022
168,18379.93554
169,17573.87689
170,18594.60788
171,17190.19566
172,18236.67891
173,20150.78614
174,14576.31623
175,12953.28423
176,14244.20939
177,15106.57511
178,15745.29164
179,15662.1473
180,16076.78066
181,19405.00269
182,19100.08046
183,20059.13239
184,17701.75806
185,18039.56271
186,20010.19831
187,20235.88535
188,26299.99176
189,26139.00297
190,25240.61435
191,26531.2805
192,26605.44042
193,24993.48602
194,24629.1906
195,51346.99541
196,52297.87746
197,45438.2336
198,48614.57387
199,49427.96329
200,51107.19785
201,50434.55917
202,21689.92541
203,19909.42565
204,20233.11977
205,18613.14527
206,20763.54156
207,16743.67427
