,Predicted_RetailPrice
1,20579.28871
2,20838.56579
3,34154.65785
4,34575.08254
5,36446.40003
6,34386.72463
7,36480.45436
8,34528.63454
9,34156.32837
10,26879.89955
11,27584.42881
12,26547.63534
13,26366.44677
14,24518.91842
15,26278.13363
16,28070.17161
17,26238.86525
18,26760.43415
19,26214.58728
20,28395.56153
21,27320.81347
22,26314.63205
23,26267.2167
24,28776.58183
25,30132.56323
26,29734.50236
27,30203.57395
28,29878.99874
29,29009.42218
30,29630.54704
31,36397.54906
32,35103.32168
33,37342.56654
34,35549.44966
35,31329.94101
36,34611.2448
37,35082.44488
38,27454.56613
39,27621.73164
40,28584.22476
41,26019.74264
42,27377.49581
43,24912.71203
44,25576.20113
45,23393.323
46,28399.44123
47,25335.69234
48,29722.34594
49,26224.52658
50,26402.29343
51,25714.03755
52,25881.70216
53,28410.71489
54,27537.16611
55,28822.69367
56,30378.27579
57,30159.09151
58,29005.67458
59,30173.43017
60,29801.4396
61,29539.301
62,15105.87124
63,15692.42212
64,14397.8997
65,14310.52355
66,15137.75642
67,16239.72517
68,13704.99974
69,33829.8941
70,38459.65324
71,38196.6691
72,35497.93523
73,35168.11511
74,36680.19242
75,34080.33191
76,12488.73718
77,14451.13825
78,13116.37962
79,12903.86603
80,15746.22098
81,11334.63766
82,11825.24809
83,13005.5402
84,14423.6015
85,12463.1557
86,12483.849
87,13776.44699
88,13300.5011
89,13167.2167
90,29216.23647
91,29234.35358
92,24812.66801
93,28784.12127
94,26430.98179
95,29144.05433
96,27198.5583
97,26589.87835
98,28428.16027
99,26225.05711
100,28878.36174
101,27724.78187
102,26873.42368
103,26399.89105
104,13360.03548
105,14505.94739
106,13567.4573
107,12964.58164
108,12748.48339
109,13817.8951
110,12527.86349
111,20068.76884
112,21160.62553
113,20066.81357
114,20262.34081
115,19999.68255
116,23294.63212
117,24148.79111
118,21703.69215
119,18788.71718
120,21123.79095
121,21693.92607
122,20276.51653
123,20687.92815
124,21438.60009
125,23206.48192
126,22687.20445
127,21946.50265
128,22589.59348
129,20942.92826
130,19741.78037
131,20369.25987
132,20821.86431
133,19440.17961
134,19785.41728
135,19873.1095
136,21581.66085
137,21973.03093
138,21503.44996
139,39995.79652
140,38953.11668
141,39209.12526
142,40386.0363
143,38688.20811
144,40174.541
145,40491.62101
146,36266.24654
147,39269.90165
148,36910.37669
149,38804.67892
150,40997.67984
151,41464.36902
152,39169.20512
153,21984.36599
154,22676.69535
155,20383.69031
156,19710.54714
157,20102.78285
158,21825.05194
159,22690.25997
160,18240.08507
161,17655.7845
162,19463.56593
163,17153.12684
164,18379.70355
165,20547.95824
166,21327.43961
167,17945.14426
168,18379.24557
169,17573.02159
170,18595.43527
171,17190.735
172,18234.54513
173,20150.51829
174,14571.38947
175,12948.02457
176,14242.08854
177,15101.75711
178,15742.07797
179,15657.50216
180,16070.74723
181,19404.58188
182,19098.12377
183,20060.26017
184,17700.92899
185,18037.3885
186,20009.90162
187,20237.04938
188,26299.21957
189,26139.67109
190,25239.62487
191,26532.02908
192,26604.73088
193,24992.44586
194,24629.54905
195,51352.83769
196,52303.91477
197,45442.86396
198,48619.85571
199,49433.41197
200,51112.99095
201,50440.21431
202,21684.74016
203,19905.28962
204,20229.05014
205,18610.21671
206,20759.58072
207,16738.88893
208,19505.56852
209,21027.69785
210,20864.23882
211,19612.70156
212,20174.18033
213,21250.56806
214,20185.59637
215,21742.47172
216,34693.67156
217,32509.33726
218,36241.62637
219,35609.41135
220,34236.16866
221,36846.58939
222,36198.40632
223,24409.58611
224,29065.24232
225,25702.79473
226,21491.82061
227,26201.59325
228,26503.1529
229,26025.75084
230,30370.5868
231,29562.92721
232,30688.83822
233,26799.93354
234,30471.28333
235,32390.38318
236,30319.45468
237,29032.07075
238,29131.44321
239,31865.56576
240,30300.87959
241,13269.70556
242,12957.9619
243,12461.81154
244,13751.84314
245,13777.54691
246,12944.31565
247,12010.83602
248,12076.98941
249,11595.82946
250,13348.52756
251,12394.55823
252,15682.79692
253,12736.24208
254,12507.47521
255,21334.39028
256,19203.6322
257,18680.75977
258,19706.65686
259,21621.02118
260,18806.06014
261,21788.20725
262,9320.508563
263,9960.340613
264,11751.22774
265,9907.782688
266,8394.850027
267,12091.77101
268,10513.21444
269,17058.93727
270,15356.87266
271,18001.90803
272,16875.95636
273,17324.69137
274,16837.54332
275,18108.26678
276,14051.15697
277,14268.16183
278,14351.74973
279,9900.4092
280,13906.42616
281,12443.31243
282,11399.64514
283,15322.69513
284,13340.37481
285,11510.23985
