,Predicted_RetailPrice
1,21193.66955
2,21477.59744
3,30251.58186
4,31877.72916
5,34553.42559
6,31551.21841
7,34620.36477
8,32102.47066
9,31155.16084
10,27871.59701
11,30110.90996
12,28020.32416
13,27725.51429
14,24524.45616
15,27581.83895
16,29323.30232
17,27518.0156
18,28365.1111
19,27478.58415
20,29657.96166
21,28442.32192
22,27641.19972
23,27564.09057
24,27786.14091
25,29447.55158
26,28988.67382
27,30121.66033
28,29693.57047
29,28085.50315
30,28863.57631
31,35717.54831
32,33211.6312
33,36224.06937
34,34092.09447
35,27790.96207
36,32258.52535
37,33452.25239
38,29937.34752
39,29701.71258
40,31210.46525
41,26712.09332
42,29831.4308
43,25846.0322
44,26951.7367
45,23835.79335
46,30746.86527
47,26092.73481
48,31957.33992
49,27494.72437
50,27783.86034
51,26675.81564
52,26941.81367
53,29672.72259
54,29576.98352
55,27845.54288
56,29711.67311
57,30064.42695
58,28080.70136
59,30082.9296
60,29588.03934
61,28752.27869
62,16336.82005
63,16086.20659
64,16044.67977
65,15334.89575
66,15898.60781
67,16700.22193
68,15531.90175
69,37038.60563
70,46217.72065
71,46074.943
72,41474.19019
73,40529.36232
74,44039.36485
75,37682.52595
76,12158.38312
77,13782.85221
78,12526.54795
79,12612.11183
80,15236.60385
81,11935.45809
82,11951.69971
83,12671.27273
84,13757.9193
85,12146.7483
86,12156.13831
87,13063.05237
88,12662.25766
89,12562.85457
90,38068.10801
91,36802.65342
92,30201.23148
93,37613.86
94,33427.50304
95,38002.26444
96,34869.22192
97,27731.22292
98,30319.41937
99,27169.29156
100,30801.25324
101,29671.38212
102,28679.28003
103,27438.13883
104,11779.17119
105,12026.00892
106,11844.53455
107,11699.91399
108,11476.70913
109,11944.08563
110,11481.68889
111,19054.49151
112,20672.4729
113,19051.8832
114,19319.02098
115,18963.14432
116,22746.89667
117,23610.64875
118,21150.5832
119,17692.51118
120,20611.04986
121,21528.99078
122,19338.86293
123,20248.10069
124,21117.04336
125,22660.2249
126,23099.25388
127,22614.10593
128,22039.76108
129,20455.17459
130,20543.18662
131,21019.16695
132,20354.89926
133,20344.87361
134,18691.0357
135,20636.2622
136,21347.6786
137,21416.03349
138,21221.49928
139,39711.02849
140,37502.83801
141,38270.66081
142,40360.36203
143,37264.54625
144,40015.21715
145,40526.04884
146,33060.94835
147,38386.30046
148,33944.06854
149,37232.85591
150,40895.10177
151,41797.4064
152,38194.43436
153,17714.51755
154,18291.03181
155,18886.04087
156,16071.47137
157,18627.52918
158,20323.60469
159,21165.13734
160,18280.08636
161,17880.07018
162,18950.5596
163,16850.65329
164,18048.27215
165,20534.69263
166,22428.76781
167,17417.0321
168,18152.95584
169,17243.22891
170,18376.682
171,16464.72733
172,18275.79433
173,19755.85794
174,15426.42879
175,15171.98524
176,15858.75694
177,15661.69733
178,15735.37253
179,16037.94428
180,16290.66177
181,18882.94429
182,19035.75845
183,20673.71364
184,17375.188
185,18128.94378
186,19589.69068
187,20940.11352
188,24047.66837
189,23580.18271
190,22680.17689
191,24177.01689
192,24457.12279
193,22388.87775
194,21505.77965
195,65982.13608
196,65262.42512
197,48787.35875
198,61022.53114
199,63416.00832
200,65944.79678
201,65385.96283
202,18129.11083
203,16356.87858
204,16717.57117
205,14959.86017
206,17344.48167
207,14574.06697
208,15731.224
209,21583.95282
210,20208.10297
211,18484.97078
212,19884.33148
213,20815.60118
214,19212.68628
215,21188.35773
216,32744.74798
217,28655.7803
218,34607.36772
219,34210.23699
220,31291.83313
221,36355.07613
222,34061.75804
223,24392.61466
224,30233.31282
225,26658.12052
226,23232.51895
227,26739.95954
228,27947.99409
229,27712.73543
230,30331.94009
231,28781.2228
232,30020.53942
233,25596.48375
234,30454.95695
235,32059.91499
236,29649.93899
237,28114.50635
238,25763.94759
239,28270.14105
240,29630.24276
241,12638.75835
242,12643.21091
243,12392.28542
244,13040.71297
245,13209.65103
246,12410.52967
247,11988.94372
248,12006.18677
249,11928.96097
250,12892.15625
251,12116.93902
252,14992.82164
253,12285.07415
254,12167.08244
255,22098.98715
256,19306.70328
257,18658.16799
258,19599.27587
259,23865.37517
260,18808.40086
261,21370.84361
262,10119.91748
263,10817.8595
264,11434.10484
265,10471.83718
266,10190.1079
267,11799.64517
268,10486.10462
269,16431.31509
270,15899.43375
271,16815.4554
272,16327.34072
273,16598.80352
274,15945.51473
275,17188.68256
276,14106.18276
277,13556.10975
278,13636.13436
279,10867.48344
280,14015.13016
281,12908.3076
282,10128.40808
283,15085.38048
284,13628.19572
285,12642.71779
286,12529.19773
287,12474.29032
288,12527.51237
289,14180.13917
