,Predicted_RetailPrice
1,-321044.382
2,-270553.4315
3,42563.77231
4,773079.4313
5,124013.7389
6,736716.2993
7,125932.8479
8,-119747.7064
9,683880.1055
10,821091.2963
11,-118153.3503
12,-898792.2129
13,-865177.2699
14,-363892.8961
15,-842284.8114
16,676840.5301
17,-830887.1256
18,-912749.2457
19,-823491.7664
20,614979.2634
21,792343.2941
22,-852221.6344
23,-839188.0111
24,374104.8107
25,177523.483
26,196462.2252
27,914299.627
28,915579.7315
29,327936.828
30,209034.0577
31,-79425.3559
32,-117804.3806
33,181760.1386
34,-103892.0218
35,-181980.8793
36,-120878.4598
37,-410099.9431
38,-118472.5393
39,-729526.8875
40,-119908.1671
41,790946.4984
42,-119009.1108
43,-209368.1371
44,-175763.513
45,439215.1357
46,-494008.0461
47,-466444.5985
48,-263814.1156
49,-826550.7031
50,-873309.8337
51,-629609.6926
52,-700944.7708
53,612153.7642
54,-757033.3672
55,365522.4184
56,185557.3398
57,915960.4174
58,328724.5526
59,915476.9963
60,912322.1724
61,222501.2239
62,-618236.7493
63,-764006.6598
64,-630503.3898
65,-1054871.341
66,-1812247.345
67,148229.186
68,-1376336.556
69,285339.745
70,464931.2012
71,528112.336
72,453056.0069
73,699276.6478
74,795562.3248
75,366240.4493
76,-285587.8152
77,109785.4626
78,-303128.9595
79,197119.5432
80,-59867.41391
81,-264423.4351
82,-268152.4902
83,199098.346
84,113457.8073
85,-284449.994
86,-285369.9317
87,-257341.9
88,-299341.9521
89,-302720.2273
90,808759.8598
91,587115.0996
92,454054.484
93,862424.5668
94,645495.2144
95,818367.531
96,889277.7064
97,203067.8951
98,399582.378
99,145528.0346
100,384024.8511
101,99502.20139
102,91240.09603
103,171919.259
104,-425553.5828
105,-1154960.338
106,-430965.405
107,-400259.824
108,-1253759.548
109,-426352.7362
110,-1215981.176
111,908741.5975
112,1027243.65
113,908265.8269
114,954390.7257
115,891838.9368
116,-57606.31836
117,-40468.32191
118,458.5216569
119,578966.326
120,49234.01035
121,908531.8639
122,957572.1449
123,96033.031
124,976445.8776
125,-61230.40384
126,589193.7516
127,183808.0105
128,-51524.76173
129,69372.34491
130,-287857.8207
131,-316997.8612
132,82610.90494
133,-271697.9126
134,838898.6525
135,-294509.6677
136,940239.2718
137,-14259.26511
138,960710.1001
139,-858357.0261
140,-320511.2047
141,-845097.8449
142,-769273.5826
143,-695468.0629
144,-822527.7689
145,-740180.3348
146,37036.8012
147,-857273.4991
148,-289699.9701
149,-320372.077
150,-425647.4468
151,-481136.3633
152,-836238.064
153,-1004770.694
154,-839389.0838
155,-284159.8785
156,-1086770.49
157,-302529.0285
158,-146548.3027
159,-42978.65094
160,658130.5002
161,511617.9296
162,642424.0903
163,-257234.9675
164,1427992.378
165,772072.0011
166,828424.0101
167,1286890.189
168,-189316.3774
169,-263112.0526
170,1476599.574
171,998795.5047
172,656750.505
173,600779.5989
174,-1045658.308
175,-1025968.602
176,18126.35142
177,-1041953.728
178,-1840922.502
179,-1685980.365
180,-1749765.274
181,645850.4583
182,811911.2058
183,1245902.317
184,-260042.5561
185,606957.5024
186,611998.8345
187,1187782.127
188,-225449.0005
189,390058.5963
190,-51151.47521
191,406327.2327
192,-203400.9869
193,-3532.951832
194,340184.9246
195,578661.6514
196,398050.8036
197,199711.0109
198,766886.6027
199,828409.5413
200,619926.2322
201,737931.0781
202,619281.2008
203,104505.2065
204,163297.8057
205,969804.2096
206,230746.4453
207,-71365.05332
208,1197951.069
209,-305186.6259
210,1042543.599
211,795567.3311
212,134656.4445
213,1014170.238
214,936718.3072
215,-1874.774682
216,-393920.6847
217,342894.712
218,658523.1612
219,-101853.7976
220,702892.0449
221,-300354.8477
222,113554.7788
223,-370493.3147
224,515784.7499
225,-624718.0051
226,404911.4705
227,-249167.6986
228,-892315.0899
229,-160470.9256
230,903968.0163
231,218809.0149
232,206435.5069
233,470229.0106
234,894918.3144
235,588943.9624
236,182645.2795
237,323157.61
238,-243853.6212
239,-85185.73161
240,181836.6876
241,-300439.7857
242,198351.5537
243,171916.4723
244,-260527.7969
245,180295.6657
246,-301656.9915
247,-270255.3807
248,-271410.1891
249,-266412.0094
250,196886.2204
251,-281468.3979
252,-19900.36059
253,-295852.4694
254,-286423.7007
255,-268387.0653
256,-218193.8513
257,-211341.925
258,811247.0962
259,379994.5919
260,-210840.3632
261,628839.4426
262,108441.9411
263,588156.9023
264,-100217.4498
265,494815.9389
266,136005.5536
267,-174798.8452
268,95919.30554
269,293375.4493
270,-39725.38252
271,-536742.4769
272,266338.9282
273,326240.3582
274,-645538.397
275,343070.9622
276,-434827.3011
277,7402.53068
278,-7862.238404
279,468690.7611
280,631861.5348
281,-106704.7761
282,-680451.7713
283,271925.7219
284,776533.132
285,640896.1971
286,-448909.4471
287,-367355.8322
288,-448348.4742
289,-427615.9834
290,575918.2266
291,820427.7617
292,710894.8083
293,854317.2087
294,731836.998
295,-543206.0918
296,345663.5599
297,-255458.1853
298,-148623.5623
299,-105522.1443
300,345179.7901
301,359738.165
302,325054.9161
303,370004.9086
304,-246047.4676
305,-196336.1777
306,249958.0691
307,359213.2656
308,304934.5856
309,-291909.7697
310,349059.2392
311,126795.6159
312,-262650.7918
313,-266317.1561
314,-53757.21319
315,-280315.5423
316,-118155.6471
317,-16675.45451
318,841509.2927
319,842139.3691
320,-561510.6691
321,805667.6759
322,-395122.8909
323,521376.7181
324,-563914.5383
325,813848.8226
326,156477.0107
327,140602.8195
328,523116.3895
329,281942.6031
330,-262729.7311
331,490754.2579
332,490597.753
333,490759.0306
334,-335704.1521
335,-386265.2975
336,467730.9969
337,490315.372
338,334420.2776
339,-349193.3834
340,-539670.9873
341,313269.539
342,-630895.0251
343,351678.8264
344,346891.0046
345,-366960.6722
346,433511.3917
347,-554638.8053
348,319015.5795
349,496379.7386
350,-584154.1257
351,316831.1932
352,810080.4994
353,-540229.6013
354,853832.0227
355,-333189.3037
356,-558046.0434
357,-487676.9551
358,845416.7738
359,-231734.1588
360,-264882.9686
361,-279872.3211
362,-262116.1171
363,-218480.4943
364,-87908.10913
365,294993.4744
366,-607666.2987
367,-346950.7946
368,4077.842362
369,305943.3121
370,332221.0884
371,74256.25612
372,303218.1277
373,655354.3498
374,710765.0613
375,-502724.5212
376,-415619.9313
377,-74142.14868
378,-433609.2764
379,-466598.1272
