,Predicted_Type
1,WinNF
2,WinF
3,WinNF
4,WinNF
5,WinF
6,WinF
7,WinNF
8,WinF
9,WinNF
10,WinF
11,WinNF
12,WinNF
13,WinF
14,WinF
15,WinNF
16,WinNF
17,Head
18,Tabl
19,WinNF
20,WinNF
21,Head
22,Con
23,WinF
24,WinF
25,Tabl
26,Con
27,Con
28,Head
29,WinNF
30,Tabl
31,Head
32,WinNF
33,WinNF
34,Tabl
35,WinF
36,WinF
37,WinF
38,WinF
39,WinNF
40,Tabl
41,WinNF
42,Head
43,WinF
44,WinF
45,Head
46,WinNF
47,WinF
48,WinNF
49,WinNF
50,Con
51,WinNF
52,Head
53,Head
54,WinNF
55,WinF
56,WinNF
57,WinNF
58,WinF
59,WinNF
60,WinNF
61,WinNF
62,WinF
63,Head
64,Con
65,Head
66,WinNF
67,WinNF
68,WinNF
69,WinF
70,WinNF
71,Head
72,WinF
73,WinNF
74,WinF
75,Con
76,WinNF
77,WinF
78,WinNF
79,Head
80,WinF
81,WinF
82,WinNF
83,WinF
84,WinF
85,WinF
86,Con
87,WinF
88,Head
89,Head
90,WinNF
91,Con
92,WinF
93,WinNF
94,WinNF
95,WinF
96,Head
97,WinF
98,WinNF
99,WinF
100,WinF
101,WinNF
102,WinNF
103,WinF
104,WinF
105,WinNF
106,WinF
107,WinF
108,WinNF
109,Head
110,WinF
111,WinF
112,WinNF
113,Con
114,WinNF
115,WinNF
116,WinNF
117,Head
118,WinF
119,WinNF
120,WinF
121,WinNF
122,WinF
123,Head
124,WinF
125,WinNF
126,Head
127,WinNF
128,WinNF
129,Head
130,WinF
131,WinNF
132,WinNF
133,WinF
134,WinNF
135,WinF
136,WinNF
137,WinF
138,WinF
139,WinNF
140,WinF
141,Head
142,WinNF
143,WinF
144,WinF
145,WinF
146,Head
147,WinF
148,WinNF
149,WinNF
150,WinF
151,Head
152,WinNF
153,WinNF
154,WinNF
155,WinNF
156,WinNF
157,WinNF
158,Head
159,WinNF
160,WinF
161,WinF
162,Tabl
163,WinNF
164,WinF
165,Head
166,WinF
167,WinF
168,WinF
169,WinNF
170,WinF
171,Con
172,WinNF
173,WinNF
174,WinF
175,WinNF
176,WinNF
177,WinF
178,WinF
179,WinNF
180,Head
181,Tabl
182,WinNF
183,WinNF
184,WinNF
185,WinNF
186,WinF
187,WinF
188,WinNF
189,WinNF
190,WinF
191,WinNF
192,Con
193,WinNF
194,WinNF
195,WinF
196,Con
197,Head
198,WinF
199,Veh
200,WinNF
201,WinNF
202,WinF
203,WinNF
204,Head
205,Head
206,WinNF
207,WinNF
208,WinNF
209,WinNF
210,WinF
211,WinF
212,Con
213,WinNF
214,WinF
