,Predicted_Type
1,WinNF
2,WinF
3,WinF
4,WinNF
5,WinNF
6,Head
7,WinNF
8,WinF
9,WinF
10,WinF
11,Head
12,WinF
13,WinNF
14,WinNF
15,WinNF
16,WinNF
17,WinF
18,WinF
19,WinNF
20,WinNF
21,WinF
22,WinNF
23,WinNF
24,WinNF
25,WinNF
26,WinF
27,WinNF
28,Con
29,WinF
30,WinNF
31,WinNF
32,WinNF
33,WinNF
34,WinNF
35,WinNF
36,WinF
37,WinNF
38,Head
39,WinNF
40,Head
41,WinNF
42,WinNF
43,Tabl
44,WinNF
45,WinNF
46,WinNF
47,WinNF
48,WinNF
49,WinF
50,WinNF
51,WinF
52,WinF
53,WinNF
54,WinNF
55,WinNF
56,Head
57,WinF
58,WinNF
59,WinF
60,WinNF
61,WinF
62,WinNF
63,WinNF
64,WinF
65,WinNF
66,Head
67,WinNF
68,WinNF
69,WinNF
70,WinF
71,WinF
72,WinNF
73,WinF
74,WinF
75,Head
76,WinNF
77,WinNF
78,WinF
79,WinF
80,WinF
81,WinF
82,WinNF
83,Tabl
84,WinNF
85,WinF
86,WinNF
87,Con
88,WinF
89,WinNF
90,WinF
91,WinNF
92,WinF
93,WinNF
94,WinNF
95,WinF
96,WinNF
97,WinF
98,WinNF
99,WinF
100,Con
101,WinF
102,Tabl
103,Head
104,WinF
105,WinNF
106,WinF
107,WinNF
108,WinF
109,WinF
110,WinNF
111,Tabl
112,WinF
113,WinF
114,WinNF
115,WinNF
116,WinF
117,Head
118,WinNF
119,WinNF
120,WinF
121,Tabl
122,Head
123,WinNF
124,Con
125,WinNF
126,WinNF
127,WinNF
128,Head
129,WinF
130,WinF
131,Head
132,Head
133,WinF
134,WinF
135,Tabl
136,WinNF
137,WinNF
138,Head
139,WinF
140,WinNF
141,WinF
142,WinF
143,Head
144,WinF
145,WinNF
146,WinNF
147,WinF
148,Tabl
149,Head
150,WinNF
151,WinNF
152,WinF
153,WinNF
154,WinNF
155,WinF
156,Con
157,Head
158,Head
159,WinNF
160,WinNF
161,WinNF
162,WinF
163,Head
164,WinF
165,Con
166,WinNF
167,Head
168,Head
169,WinF
170,WinF
171,WinF
172,WinNF
173,WinNF
174,Head
175,WinNF
176,WinF
177,WinNF
178,WinNF
179,Head
180,WinNF
181,WinNF
182,WinNF
183,WinF
184,Head
185,WinNF
186,WinF
187,WinF
188,Tabl
189,WinNF
190,WinF
191,WinNF
192,WinNF
193,Con
194,WinF
195,WinNF
196,WinF
197,WinF
198,WinNF
199,Head
200,Head
201,WinF
202,WinF
203,WinF
204,WinNF
205,WinNF
206,WinF
207,WinNF
208,WinF
209,WinNF
210,Head
211,WinNF
212,Head
213,WinF
214,WinNF
