,Predicted_Type
1,WinNF
2,WinNF
3,WinNF
4,Head
5,Head
6,Head
7,WinNF
8,Con
9,WinF
10,WinF
11,WinF
12,Head
13,WinNF
14,Con
15,WinF
16,WinNF
17,Head
18,WinF
19,WinF
20,WinF
21,WinNF
22,WinNF
23,Con
24,WinF
25,WinNF
26,WinF
27,WinF
28,Tabl
29,WinF
30,WinNF
31,Head
32,Tabl
33,WinNF
34,WinF
35,WinF
36,WinNF
37,Con
38,WinF
39,WinF
40,WinNF
41,WinNF
42,WinF
43,WinNF
44,Con
45,WinF
46,WinNF
47,Tabl
48,WinNF
49,WinF
50,Tabl
51,WinF
52,WinNF
53,WinF
54,WinF
55,WinF
56,WinNF
57,WinNF
58,WinF
59,Head
60,WinNF
61,WinF
62,WinNF
63,WinNF
64,WinF
65,WinNF
66,Head
67,Head
68,WinF
69,Head
70,WinNF
71,WinNF
72,WinNF
73,WinNF
74,WinNF
75,WinNF
76,WinNF
77,WinF
78,Head
79,Head
80,WinF
81,WinF
82,WinF
83,Head
84,WinF
85,Con
86,WinNF
87,Head
88,WinF
89,Head
90,WinNF
91,WinNF
92,WinF
93,WinF
94,WinNF
95,WinNF
96,WinF
97,WinF
98,Head
99,WinNF
100,Con
101,Con
102,WinNF
103,WinNF
104,WinF
105,WinF
106,WinNF
107,WinF
108,WinF
109,Veh
110,WinF
111,Con
112,WinF
113,Head
114,WinF
115,WinNF
116,WinNF
117,WinNF
118,WinF
119,WinF
120,WinNF
121,WinF
122,WinF
123,WinNF
124,WinNF
125,WinF
126,WinF
127,WinF
128,WinF
129,WinNF
130,WinNF
131,Head
132,WinNF
133,Head
134,Tabl
135,WinNF
136,WinNF
137,WinNF
138,WinF
139,WinNF
140,Head
141,WinF
142,Tabl
143,WinNF
144,WinNF
145,WinF
146,WinNF
147,WinNF
148,WinF
149,Head
150,Tabl
151,Tabl
152,WinNF
153,Head
154,Head
155,WinF
156,WinNF
157,WinF
158,WinNF
159,WinNF
160,WinNF
161,WinNF
162,WinF
163,WinNF
164,WinNF
165,WinNF
166,WinF
167,WinNF
168,WinNF
169,WinNF
170,WinNF
171,Con
172,Head
173,WinF
174,WinNF
175,WinNF
176,WinF
177,WinF
178,WinNF
179,WinNF
180,WinNF
181,WinF
182,WinNF
183,WinF
184,WinNF
185,WinF
186,WinNF
187,WinF
188,WinF
189,WinNF
190,WinNF
191,WinNF
192,WinNF
193,WinNF
194,WinNF
195,WinF
196,WinF
197,Head
198,Head
199,WinNF
200,WinF
201,WinF
202,WinNF
203,WinNF
204,WinNF
205,WinNF
206,Head
207,WinNF
208,WinNF
209,WinF
210,WinF
211,WinF
212,WinF
213,Head
214,WinF
