,Predicted_Type
1,WinF
2,WinNF
3,Head
4,WinNF
5,WinNF
6,WinNF
7,WinF
8,Head
9,WinF
10,WinNF
11,WinNF
12,WinNF
13,WinNF
14,WinF
15,WinNF
16,WinNF
17,WinNF
18,WinNF
19,WinNF
20,Head
21,WinNF
22,WinF
23,WinNF
24,WinF
25,WinF
26,WinF
27,WinNF
28,WinF
29,WinF
30,WinNF
31,WinNF
32,WinNF
33,WinNF
34,WinF
35,WinNF
36,WinNF
37,WinNF
38,WinNF
39,Con
40,WinF
41,WinF
42,WinNF
43,WinF
44,WinNF
45,WinF
46,WinF
47,WinF
48,Head
49,WinNF
50,Tabl
51,WinNF
52,WinF
53,WinF
54,WinNF
55,WinNF
56,WinNF
57,WinNF
58,WinF
59,WinF
60,WinNF
61,WinF
62,WinF
63,Head
64,WinNF
65,WinF
66,WinF
67,WinF
68,WinNF
69,WinNF
70,WinNF
71,WinF
72,WinNF
73,WinNF
74,WinNF
75,WinF
76,WinF
77,WinF
78,WinF
79,WinF
80,WinF
81,WinNF
82,WinNF
83,WinF
84,WinF
85,WinNF
86,Head
87,Con
88,WinNF
89,WinF
90,WinNF
91,WinNF
92,WinNF
93,WinNF
94,WinF
95,WinF
96,WinNF
97,WinNF
98,WinNF
99,WinNF
100,WinNF
101,Head
102,WinNF
103,WinF
104,WinF
105,WinF
106,WinF
107,Head
108,WinNF
109,WinNF
110,WinNF
111,WinNF
112,Head
113,Con
114,Head
115,WinF
116,WinF
117,Head
118,WinF
119,WinNF
120,WinNF
121,WinNF
122,WinNF
123,WinF
124,WinNF
125,WinNF
126,WinF
127,WinNF
128,WinNF
129,WinF
130,WinNF
131,WinNF
132,WinF
133,WinNF
134,WinNF
135,WinF
136,WinF
137,WinNF
138,WinNF
139,WinNF
140,WinNF
141,WinNF
142,WinF
143,WinNF
144,WinF
145,WinF
146,WinNF
147,WinF
148,WinF
149,WinNF
150,WinNF
151,Head
152,WinNF
153,WinF
154,WinNF
155,WinF
156,WinNF
157,Con
158,WinNF
159,WinF
160,WinNF
161,WinF
162,WinNF
163,WinNF
164,WinNF
165,WinF
166,WinNF
167,Head
168,WinF
169,WinF
170,WinF
171,WinNF
172,WinNF
173,WinF
174,WinNF
175,WinNF
176,WinF
177,WinNF
178,WinF
179,WinF
180,Head
181,WinNF
182,WinF
183,WinNF
184,Head
185,WinF
186,WinNF
187,WinNF
188,WinF
189,WinF
190,WinNF
191,WinF
192,Head
193,WinF
194,Head
195,WinNF
196,WinNF
197,WinF
198,WinNF
199,WinF
200,WinNF
201,WinNF
202,WinNF
203,Head
204,WinNF
205,WinNF
206,WinNF
207,WinNF
208,WinF
209,WinF
210,Tabl
211,WinNF
212,WinF
213,WinNF
214,WinF
