,Predicted_price
1,13359.58284
2,18038.91041
3,19362.62404
4,22847.18306
5,16578.89103
6,16922.83695
7,20379.86271
8,21436.72638
9,4562.183435
10,6420.917072
11,7166.517006
12,4980.880208
13,5277.801982
14,8746.788585
15,6818.792117
16,7282.979714
17,7282.979714
18,8670.785651
19,13249.30437
20,5891.83506
21,6390.072836
22,6650.406504
23,7118.363862
24,7238.653502
25,7599.797062
26,6702.356801
27,8440.259561
28,8838.718992
29,9032.533591
30,8678.172633
31,10901.12713
32,10933.84256
33,31662.55113
34,5832.271097
35,6515.020208
36,6552.610721
37,7284.360391
38,7206.737888
39,9890.418749
40,10424.50174
41,9890.418749
42,10424.50174
43,10238.48394
44,15093.66398
45,28506.92557
46,29374.85837
47,27230.71719
48,31011.20046
49,34465.67712
50,5136.154689
51,5628.502307
52,6079.588455
53,7399.208579
54,9541.364325
55,8120.308017
56,8476.84801
57,8777.572109
58,9867.831908
59,8687.737223
60,6240.504608
61,7165.37542
62,6458.52958
63,7217.690351
64,7147.744589
65,6706.626961
66,7208.566442
67,7465.787732
68,7245.479921
69,7429.130131
70,9949.604184
71,10082.99527
72,14578.55264
73,15107.37477
74,14091.36392
75,16608.03602
76,19215.36716
77,17807.34872
78,15302.09626
79,16943.4178
80,16171.71959
81,17356.91344
82,15715.59189
83,17356.91344
84,17561.58131
85,5268.309327
86,7838.786396
87,6819.223868
88,6511.632883
89,7926.378515
90,8406.189644
91,21429.53486
92,12441.88517
93,13247.51474
94,15627.85679
95,13721.15519
96,17208.71484
97,18029.3358
98,5707.301203
99,6464.094156
100,6931.081115
101,7717.225673
102,8383.91682
103,9368.268351
104,8642.470364
105,11848.68847
106,7932.161746
107,9459.692445
108,8604.216199
109,11588.99264
110,5424.748278
111,6137.246126
112,6517.761426
113,6384.711737
114,6308.796547
115,12531.25608
116,7093.504857
117,7045.850624
118,7309.153436
119,7762.832551
120,7401.909708
121,7040.376455
122,7474.491642
123,8264.827201
124,8229.171445
125,9888.820319
126,9853.164562
127,10745.15771
128,10715.0853
129,11173.19564
130,11790.17396
131,12398.64634
132,16727.35431
133,9537.091996
134,10830.96529
135,10100.91161
136,10196.55975
137,10431.70812
138,18847.74199
139,19248.48771
140,18744.07393
141,10120.05683
142,9681.150406
143,10624.65573
144,10185.74931
145,10659.38976
146,12290.31017
147,10961.45988
148,10480.94693
149,15324.18196
150,15508.02232
151,15397.0767
152,15468.14553
153,19409.16169
154,19517.82104
155,17232.71242
156,20377.78784
157,15978.21923
158,21760.06154
159,19106.34861
