,Predicted_price
1,13360.52497
2,18038.93172
3,19361.15627
4,22846.4705
5,16579.94031
6,16922.55348
7,20381.0267
8,21437.58345
9,4562.362636
10,6420.154458
11,7164.695668
12,4980.974608
13,5277.922633
14,8746.856252
15,6819.269978
16,7283.660314
17,7283.660314
18,8672.447158
19,13249.81344
20,5891.187371
21,6389.863519
22,6650.258138
23,7118.374534
24,7238.708059
25,7599.632912
26,6703.335328
27,8439.363992
28,8837.968793
29,9031.001196
30,8677.613022
31,10899.29428
32,10932.47017
33,31662.01552
34,5832.346678
35,6514.766304
36,6552.37053
37,7283.9087
38,7206.190202
39,9890.034877
40,10423.36312
41,9890.034877
42,10423.36312
43,10237.24406
44,15090.12402
45,28505.57668
46,29375.54798
47,27230.27849
48,31010.46675
49,34464.65919
50,5136.720466
51,5629.166896
52,6080.417615
53,7400.228079
54,9542.329597
55,8120.211356
56,8475.377126
57,8776.210938
58,9867.411985
59,8686.751663
60,6240.799417
61,7166.567704
62,6458.903932
63,7217.544188
64,7148.377252
65,6707.091827
66,7208.957042
67,7465.732084
68,7246.148241
69,7431.510058
70,9948.137053
71,10081.61019
72,14579.36521
73,15109.53595
74,14091.50226
75,16607.82054
76,19214.74353
77,17807.86432
78,15303.29661
79,16944.27238
80,16172.23616
81,17357.91887
82,15716.9431
83,17357.91887
84,17561.55739
85,5267.88446
86,7839.05489
87,6819.166516
88,6511.564233
89,7926.646406
90,8406.470744
91,21428.70894
92,12442.91306
93,13246.98835
94,15630.35568
95,13720.80161
96,17210.13344
97,18029.20685
98,5707.846163
99,6464.79625
100,6932.249325
101,7716.362808
102,8383.327123
103,9367.720269
104,8642.854364
105,11848.50709
106,7932.703948
107,9460.38021
108,8605.287279
109,11590.32838
110,5425.371292
111,6137.984123
112,6517.718273
113,6386.618847
114,6310.989342
115,12535.89403
116,7092.572535
117,7044.830044
118,7309.382336
119,7762.390219
120,7400.651151
121,7039.509107
122,7473.816062
123,8264.65405
124,8228.951898
125,9888.982981
126,9853.280828
127,10743.68911
128,10713.60573
129,11171.07706
130,11789.08661
131,12396.97484
132,16726.84037
133,9535.292441
134,10830.7522
135,10099.1611
136,10195.06494
137,10430.07829
138,18849.51686
139,19250.34976
140,18742.81673
141,10122.6796
142,9682.204379
143,10626.28013
144,10185.80491
145,10659.61816
146,12292.07165
147,10961.79015
148,10484.80805
149,15320.20719
150,15505.5432
151,15393.18754
152,15465.71086
153,19405.56463
154,19515.69218
155,17229.08771
156,20373.86329
157,15976.0006
158,21760.88101
159,19103.02402
