,Predicted_price
1,13359.93707
2,16996.91029
3,18302.87295
4,20340.74345
5,15840.14789
6,16333.38567
7,20380.50342
8,20516.16282
9,5741.948385
10,5702.795902
11,7166.065786
12,5975.791182
13,6369.060334
14,8547.680426
15,6819.826961
16,7016.043291
17,7016.043291
18,9511.333609
19,13555.87802
20,7069.330211
21,7444.331562
22,5626.401355
23,7121.25837
24,7126.927065
25,7887.45908
26,7884.893563
27,8484.061102
28,8548.05319
29,9436.378784
30,9704.773512
31,11582.74538
32,9752.687365
33,21892.23893
34,6579.81873
35,6205.052019
36,6205.832327
37,6899.317214
38,6803.73586
39,9600.027803
40,9777.562831
41,9600.027803
42,9777.562831
43,10033.18549
44,17071.42734
45,26143.07305
46,26133.17878
47,25565.09998
48,26078.11414
49,21816.37457
50,5980.767757
51,6360.173774
52,6385.038723
53,8221.822735
54,10430.96599
55,8751.085008
56,8039.736082
57,8105.540159
58,9867.357874
59,9871.007767
60,6692.190117
61,7691.823367
62,6697.238902
63,6951.071057
64,7403.324652
65,6706.489263
66,6801.248197
67,6961.267781
68,7408.186741
69,7658.179514
70,9163.010465
71,8957.473098
72,14752.84483
73,14421.80573
74,14087.96724
75,17789.51937
76,19107.96496
77,18281.30566
78,15981.91124
79,17263.77877
80,15554.74812
81,17360.84279
82,16042.1862
83,17360.84279
84,18061.03491
85,5903.037617
86,8292.943648
87,6819.704928
88,7280.323674
89,7416.563457
90,9509.656489
91,18578.70072
92,13715.37
93,14281.6595
94,14447.25605
95,14410.01123
96,17557.33763
97,18032.29868
98,5708.591187
99,6490.96973
100,7010.770374
101,7716.98756
102,8366.207289
103,9791.157626
104,9522.319987
105,11644.46132
106,7816.842894
107,9606.748068
108,8603.488439
109,11760.26001
110,5937.95962
111,6273.462063
112,6835.96218
113,7509.953325
114,8065.896144
115,9368.595265
116,7448.370586
117,7493.963944
118,8490.906774
119,8378.634335
120,7536.568381
121,7766.069338
122,7848.119897
123,8647.648097
124,8404.639094
125,9889.077349
126,9782.499417
127,10240.26884
128,10229.62039
129,10645.29511
130,10631.84011
131,11109.85295
132,12438.40723
133,9894.341707
134,11288.18682
135,10579.22409
136,10305.6558
137,10633.6356
138,18244.69131
139,18397.51172
140,16173.37191
141,9069.27084
142,9071.417285
143,9199.305843
144,9254.123855
145,9336.327525
146,9613.372037
147,10356.54351
148,12662.08487
149,15551.78604
150,15091.27141
151,15495.06791
152,15019.53609
153,17073.1338
154,16824.26188
155,16778.18403
156,18476.17341
157,16350.52241
158,18847.1104
159,17787.78963
